no,kode,sub_klasifikasi
496,5.05.01.05,Pemelihara Networking
497,5.05.01.06,Pemelihara Sistem Pemancar dan Penerima Radio dan Televisi
498,5.05.01.07,Pemelihara Kontrol dan Instrumen
499,5.05.02,Jasa Pemelihara Telekomunikasi Satelit
500,5.05.02.01,Pemelihara Sentral
501,5.05.02.02,Pemelihara Transmisi
502,5.05.02.03,Pemelihara Jaringan Telekomunikasi
503,5.05.02.04,Pemelihara Teknologi dan Sistem Informasi
504,5.05.02.05,Pemelihara Networking
505,5.05.02.06,Pemelihara Sistem Pemancar dan Penerima Radio dan Televisi
506,5.05.02.07,Pemelihara Kontrol dan Instrumen
507,5.05.03,Jasa Pemeliharaan Perangkat Keras
508,5.05.03.01,Pemelihara Komputer
509,5.05.03.02,Pemelihara Printer
510,5.05.03.03,Pemelihara Projector Multimedia
511,5.05.03.04,Pemelihara Input Devices
512,5.05.03.05,Pemelihara Alat Penyimpan Data
513,5.05.03.06,Pemelihara Networking Product
514,5.05.03.07,Pemelihara Accessoris dan Supplies
515,5.05.03.08,Pemelihara Perangkat Sistem Informasi Khusus
516,5.05.04,Jasa Pemeliharaan Konten
517,5.05.04.01,Pemelihara Konten Distance Learning
518,5.05.04.02,Pemelihara Konten Program TV Interactive
519,5.05.04.03,Pemelihara Konten Program Multimedia
520,5.05.04.04,Pemelihara Konten Program Portal
521,5.05.05,Jasa Pemelihara Aplikasi
522,5.05.05.01,Jasa Pemelihara Aplikasi Komputer
523,5.05.05.02,Pemelihara Aplikasi Komunikasi
524,5.05.05.03,Pemelihara Aplikasi Telemetrik
525,5.05.05.04,Pemelihara Aplikasi GIS
526,5.05.05.05,Pemelihara Aplikasi GPS
527,5.05.06,Jasa Penyedia Jaringan Satelit
528,5.05.07,Jasa Penyedia Layanan Berbasis Satelit
529,5.05.08,Jasa Pemeliharaan Perangkat Lunak
530,5.05.08.06,Jasa Pemeliharaan Perangkat Lunak: Pemeliharaan Networking Product
531,5.05.08.08,Jasa Pemeliharaan Perangkat Lunak: Pemelihara Perangkat Sistem Informasi Khusus
532,5.06.,Jasa Bidang Transportasi
533,5.06.01,Angkutan Barang Darat
534,5.06.02,Angkutan Barang Laut
535,5.06.03,Angkutan Barang Udara
536,5.06.04,Angkutan Multi Moda
537,5.06.05,VIDE 5.06.17 S/D 19
538,5.06.06,VOID
539,5.06.07,Angkutan Untuk BBM
540,5.06.08,Jasa Peluncuran Satelit
541,5.06.09,"Jasa Pengepakan, Ekspedisi dan Pengurusan Kepabeanan"
542,5.06.10,Jasa Bongkar Muat Barang
543,5.06.11,VIDE 5.06.20 S/D 23
544,5.06.12,VOID
545,5.06.13,Jasa Pengiriman Ekspres
546,5.06.14,Penyewaan Alat Angkutan Darat
547,5.06.15,Penyewaan Alat Angkutan Laut
548,5.06.16,Penyewaan Alat Angkutan Udara
549,5.06.17,Angkutan Penumpang Melalui Darat
550,5.06.18,Angkutan Penumpang Melalui Laut
551,5.06.19,Angkutan Penumpang Melalui Udara
552,5.06.20,Pemeliharaan Alat Angkutan Darat
553,5.06.21,"Pemeliharaan Alat Angkutan Laut, Termasuk Pemeliharaan dan Perbaikan Kapal dan Alat Apung Lainnya Serta Sarana Lepas Pantai"
554,5.06.22,Pemeliharaan Alat Angkutan Udara
555,5.06.23,Pemeliharaan Alat Berat
556,5.06.24,Jasa Penyewaan Alat Genset
557,5.06.25,Jasa Penyewaan/ Rental Kendaraan Bermotor
558,5.06.99,Subbidang Lainnya
559,5.07.,Jasa Bidang Lainnya
560,5.07.01,"Jasa Penyewaan Akomodasi, Perhotelan, Ruang MICE"
561,5.07.02,Jasa Exportir dan Importir
562,5.07.03,"Jasa Distribusi dan Pemasaran BBM, Petrokimia dan Pelumas"
563,5.07.04,Jasa Penyewaan Peralatan Kerja dan Peralatan Produksi
564,5.07.05,Jasa Penyewaan Peralatan Kerja Konstruksi
565,5.07.06,Jasa Penyewaan Alat Berat
566,5.07.07,Jasa Penyelaman Atau Pekerjaan Bawah Air
567,5.07.08,Jasa Asuransi dan Usaha Penunjang
568,5.07.09,VIDE 5.07.14 S/D 5.07.16
569,5.07.10,"Iklan, Film dan Pemotretan"
570,5.07.10.01,Periklanan
571,5.07.10.02,Film dan Pemotretan
572,5.07.11,Jasa Penulisan dan Penerjemahan
573,5.07.12,Penyediaan Tenaga Kerja
574,5.07.12.01,Penyedia Tenaga Kerja Lokal
575,5.07.12.02,Penyedia Tenaga Kerja Keamanan/Security
576,5.07.12.03,Pendidikan Keterampilan tenaga keamanan/security
577,5.07.12.04,Jasa Kawal Uang dan Barang Berharga
578,5.07.12.05,Penyedia Tenaga Ahli Bidang Pertambangan MIGAS
579,5.07.12.06,Penyedia Tenaga Kerja Asing
580,5.07.12.07,Pelatihan Ketrampilan/Kompetensi TKI sesuai standar luar negeri
581,5.07.12.08,Pemeriksaan Kesehatan (medical chek-up) TKI ke luar negeri
582,5.07.12.09,Jasa Penempatan Uang ke mesin ATM  (cash replacement-cash in transit)
583,5.07.12.10,Jasa Operator Call Center
584,5.07.13,Penyediaan Tenaga Kerja Inspeksi Teknik
585,5.07.14,Jasa Perawatan Komputer
586,5.07.15,Jasa Perawatan Alat Atau Peralatan Elektronik dan Telekomunikasi
587,5.07.16,Jasa Internet dan Jasa Jaringan
588,5.07.17,"Jasa Perbaikan Atau Perawatan Alat Kesehatan, Kedokteran dan Laboratorium"
589,5.07.18,Jasa Penerbitan (non pers)
590,5.07.19,Jasa Penyewaan Mesin Foto Copy
591,5.07.20,Jasa Design Interior / Exterior
592,5.07.21,Jasa Design Grafis
593,5.07.22,Jasa Penyewaan Gudang
594,5.07.23,Jasa Penyewaan Komputer
595,5.07.24,Jasa Pengelolaan Gedung
596,5.07.25,Jasa Pengurusan Dokumen/ Formalities dan Keimigrasian
597,5.07.26,Jasa Parkir
598,5.07.27,Jasa Pembuat Program Komputer
599,5.07.28,Jasa Penyedia layanan internet/ provider
600,5.07.29,Jasa Pemasangan dan perawatan pompa produksi
601,5.07.30,Jasa Pengisian dan perawatan tabung gas dan pemadam kebakaran
602,5.07.31,Jasa Pemindahan / Moving
603,5.07.32,jasa penyewaan mesin generator dan genset
604,5.07.33,jasa penyimpanan dan pengelolaan arsip/ data
605,5.07.34,jasa perwatan mesin ATM
606,5.07.35,penyewaan tanki bahan bakar
607,5.07.36,"jasa keselamatan, kesehatan kerja dan lingkungan"
608,5.07.37,jasa perawatan refrigerator
609,5.07.38,jasa pengawasan pengelasan
610,5.07.39,jasa pengelolaan gas beracun
611,5.07.40,Jasa Pengelasan
612,5.07.40.01,Jasa Pengelasan di Atas Air/ Darat
613,5.07.40.02,Jasa Pengelasan di Bawah Air
614,5.07.99,Subbidang Lainnya
