no,kode,sub_klasifikasi
128,1.10.,Bidang Kependudukan
129,1.10.01,Program Kependudukan dan Program Pengembangan Peran Wanita
130,1.10.02,Organisasi Program Kependudukan
131,1.10.03,Sistem Pelayanan Keluarga Berencana
132,1.10.04,Tenaga Medis Pelayanan Keluarga Berencana
133,1.10.05,"Penyuluhan, Pendidikan dan Komunikasi"
134,1.10.06,"Pemantauan, Evaluasi dan Penelitian"
135,1.10.99,Subbidang Lainnya
136,1.11.,Bidang Rekayasa Industri
137,1.11.01,Rekayasa Industri Transportasi
138,1.11.02,Rekayasa Industri Telekomunikasi
139,1.11.03,Rekayasa Industri Teknologi Informasi
140,1.11.04,Rekayasa Industri Mekanik
141,1.11.05,Rekayasa Industri Pengelolaan
142,1.11.06,Rekayasa Industri Bioteknologi
143,1.11.99,Subbidang Rekayasa Lainnya
144,1.MS.00,Jasa Konsultan Manajemen
145,1.MS.01,Perencanaan Sistem Akuntansi
146,1.MS.02,Pelatihan dan Pengembangan SDM
147,1.MS.03,Konsultansi Manajemen Fungsional
148,1.MS.04,Konsultansi Hukum Bisnis
149,1.MS.05,Jasa Bantuan Teknik Manajemen
150,1.MS.06,Konsultansi Manajemen Personalia
151,1.MS.07,Jasa Konsultansi Bidang Keamanan
152,1.MS.08,Jasa Konsultansi Penerapan Alat Keamanan
153,1.MS.09,Konsultansi Pendidikan dan Pelatihan Manajemen
154,1.MS.09.01,Konsultansi Diklat Manajemen Mutu
155,1.MS.09.02,Konsultansi Diklat Manajemen Lingkungan
156,1.MS.09.03,Konsultansi Diklat Manajemen Keselamtan dan Kesehatan Kerja
157,1.MS.09.04,Konsultansi Diklat Manajemen Resiko
158,1.MS.09.05,Konsultansi Diklat Manajemen Aset
159,1.MS.09.06,Konsultansi Diklat Manajemen Sumber Daya Manusia
160,1.SC.00,Jasa Khusus
161,1.SC.01,Jasa Teknologi dan Sistem Informasi
162,1.SC.02,Jasa Penilai /Appraisal/ Valuer
163,1.SC.03,Jasa Surveyor Independen
164,1.SC.04,Jasa Sertifikasi
165,1.SC.05,Jasa Inspeksi Teknik
166,1.SC.06,Jasa Kehumasan
167,1.SI.00,"Jasa Studi, Penelitian dan Bantuan Teknik"
168,1.SI.01,Studi Makro
169,1.SI.02,Studi Kelayakan dan Studi Mikro Lainnya
170,1.SI.03,Studi Perencanaan Umum
171,1.SI.04,Jasa Penelitian
172,1.SI.05,Jasa Bantuan Teknik Studi dan Penelitian
173,1.SI.06,Jasa Pengelolaan dan Analisia Dampak Lingkungan
174,1.SS.00,Jasa Survey
175,1.SS.01,Survey Teristis
176,1.SS.02,"Penginderaan Jauh, Fotogrametri"
177,1.SS.03,"Survey Hidrografi, Batimertri"
178,1.SS.04,Sistem Informasi Geografi
179,1.SS.05,Survey Registrasi Kepemilikan Tanah/Kadastral
180,1.SS.06,Survey Geologi
181,1.SS.07,Survey Pertanian
182,1.SS.08,Survey Tanah
183,1.SS.09,Survey Pemetaan
184,1.SS.09.01,Pemetaan Topografi
185,1.SS.09.02,Pemetaan Udara/ Satelit
186,1.SS.18,Survey Oseanografi
187,2.01.,"Bidang Logam, Kayu dan Plastik"
188,2.01.01,Pembangunan Kapal dan Alat Apung Lainnya Serta Sarana Lepas Pantai
189,2.01.02,Pengangkatan Kerangka (Salvage) Kapal dan Alat Apung Lainnya serta sarana Lepas Pantai
190,2.01.03,Pemotongan Kapal (Ship Breaking) dan Alat Apung Lainnya Serta Sarana Lepas Pantai
191,2.01.04,"Karoseri, Peti kemas (Container) dan Lain-Lain"
192,2.01.05,"Pengecoran Logam (Foundry) dan Pembentukan Logam (Forging, Casting, dan Lainnya)"
193,2.01.06,"Produk Kayu dan Rotan, Serta Pengawetannya"
194,2.01.07,"Bahan Baku dan Produk Plastik, Serta Kompositnya"
195,2.01.08,"Pembuatan Mesin dan Peralatan Industri, Mekanikal dan Elektrikal"
196,2.01.99,Subbidang Lainnya
197,2.02.,"Bidang Pertanian, Tanaman Pangan, Perkebunan, Peternakan, Perikanan, dan Kehutanan"
198,2.02.01,"Proses Pembibitan Pembenihan Tanaman Pangan, Perkebunan, Peternakan, Perikanan, dan Kehutanan"
199,2.02.01.01,"Pembibitan Tanaman Pangan, Perkebunan"
200,2.02.01.02,Pembenihan Peternakan
201,2.02.01.03,Pembibitan Perikanan
202,2.02.01.04,Pembibitan Pembenihan Perikanan
203,2.02.02,Reboisasi
204,2.02.03,Pembukaan dan Pengolahan Lahan
205,2.02.04,Pengolahan Hasil ertanian
206,2.02.05,Pengolahan Hasil Peternakan dan Perikanan
207,2.02.06,Pengolahan Hasil Perkebunan
208,2.02.07,Pengolahan Hasil Hutan
209,2.02.99,Subbidang Lainnya
210,2.03.,Bidang Pertambangan Umum
211,2.03.01,Eksplorasi Pertambangan
212,2.03.02,Penguapan
213,2.03.03,Penggalian/Penambangan
214,2.03.04,Pengolahan Pemurnian
215,2.03.99,Subbidang Lainnya
216,2.04.,"Bidang Pertambangan Minyak, Gas dan Panas Bumi"
217,2.04.01,Pemboran
218,2.04.02,Pemboran Berarah
219,2.04.03,Pengukuran Kemiringan Sumur
220,2.04.04,Pemboran Inti
221,2.04.05,Pekerjaan Pancing
222,2.04.06,Mud Logging
223,2.04.07,Well Logging dan Perforating
224,2.04.08,Penyemanan Sumur
225,2.04.09,Pengujian Lapis Bawah Tanah
226,2.04.10,Pengujian Produksi Sumur
227,2.04.11,Stimulasi Sumur dan Penambangan Sekunder
228,2.04.12,Perawatan Sumur
229,2.04.13,Pemboran Hidrolik
230,2.04.14,Pekerjaan Ulang/ Work Over
231,2.04.15,Pemboran Seismik
232,2.04.16,Pelayanan Casing dan Tubing
233,2.04.17,Mud Engineering
234,2.04.18,Perawatan Fasilitas Produksi
235,2.04.30,Pengelolaan Limbah Produksi
236,2.04.30.01,Pengelolaan Limbah Air Terproduksi
237,2.04.30.02,Pengelolaan Limbah Sludge
238,2.04.30.03,Pengelolaan Limbah B3 (Bahan Berbahaya Beracun)
239,2.04.40,Pelayanan Penyelaman (Diving Services)
240,2.04.99,Subbidang Lainnya
241,2.05.,Bidang Telematika
242,2.05.01,Jasa Teknologi Informasi
243,2.05.02,Komunikasi Multimedia
244,2.05.03,Telekomunikasi
245,2.05.04,Navigasi
246,2.05.05,Kontrol dan Instrumentasi
247,2.05.06,Penginderaan Jauh ( remote Sensing )
248,2.05.07,Jasa Pemborongan Telekomunikasi Darat
249,2.05.07.01,Sentral
250,2.05.07.02,Transmisi
251,2.05.07.03,Jaringan Telekomunikasi
252,2.05.07.04,Teknologi dan Sistem Informasi
253,2.05.07.05,Networking
254,2.05.07.06,Sistem Pemancardan Penerima Radio dan Televisi
255,2.05.07.07,Kontrol dan Instrumen
256,2.05.08,Jasa Pemborongan Telekomunikasi Satelit
257,2.05.08.01,Sentral
258,2.05.08.02,Transmisi
259,2.05.08.03,Jaringan Telekomunikasi
260,2.05.08.04,Teknologi dan Sistem Informasi
261,2.05.08.05,Networking
262,2.05.08.06,Sistem Pemancar dan Penerima Radio dan Televisi
263,2.05.08.07,Kontrol dan Instrumen
264,2.05.09,Jasa Pemborongan Perangkat Keras
265,2.05.09.01,Komputer
266,2.05.09.02,Printer
267,2.05.09.03,Projector Multimedia
268,2.05.09.04,Input Devices
269,2.05.09.05,Alat Penyimpan Data
270,2.05.09.06,Networking Product
271,2.05.09.07,Accessoris Supplies
272,2.05.09.08,Perangkat Sistem Informasi khusus
