no,reg number,name of establishment,address,products
82,DL 243,"GLOBAL SEA-PRODUCT CO.,LTD","17 Nguyen Trong Ky Street, Cam Linh Ward, Cam Ranh City, Khanh Hoa Province - Viet Nam",Frozen
83,DL 316,"Workshop 3, Long Shin Corporation (Long Shin Corp.)","Lot 4a, Suoi Dau Industrial Zone, Cam Lam District, Khanh Hoa Province",Frozen
84,HK 98,"Hoan My Co., Ltd.","45 Truong Son Street, Vinh Truong Ward, Nha Trang City, Khanh Hoa Province",Dried
85,DL 179,Bac Lieu Fisheries joint stock co - Branch Khanh Hoa,"Lot A9, Suoi Dau Industrial Zone, Dien Khanh District, Khanh Hoa Province",Frozen
86,DL 318,Hai Vuong Company Limited (HAVUCO),"Lot B, Road No.1, Suoi Dau Industrial Zone, Cam Lam District, Khanh Hoa Province",Frozen
87,DL 314,"Dragon Waves Frozen Food Factory Co., Ltd. (DRAGON WAVES)","Lot C3-c6, Suoi Dau Industrial Zone, Cam Lam District,  Khanh Hoa Province",Frozen
88,DL 361,"Workshop I & II, LONG SHIN CORPORATION","Lot B2-b3, Suoi Dau Industrial Zone, Cam Lam District,  Khanh Hoa Province",Frozen
89,DH 358,"Phillips Seafood (Viet Nam) Co., Ltd.","Lot B3-4 Suoi Dau Industrial Zone, Cam Lam District,  Khanh Hoa Province",Canned
90,HK 213,"Huy Quang Co., Ltd","Phuoc Thuong Hamlet, Phuoc Dong Village, Nha Trang City, Khanh Hoa Province",Dried
91,HK 112,Chin Tuy Private Enterprises Business,"69 Truong Son Street, Vinh Truong Ward, Nha Trang City, Khanh Hoa Province",Dried
92,HK 255,Dried seafood processing factory - Luong Son branch - TA SHUN CORPORATION (TASHUNCO),"Luong Hoa Hamlet, Vinh Luong Commune, Nha Trang City, Khanh Hoa Province",Dried
93,DL 448,Frozen seafood processing factory - Luong Son branch - TA SHUN CORPORATION (TASHUNCO),"Luong Hoa Hamlet, Vinh Luong Commune, Nha Trang City, Khanh Hoa Province",Frozen
94,DL 257,VN SEAFOOD COMPANY,"28b Phuoc Long Street, Nha Trang City, Khanh Hoa Province",Frozen
95,DL 373,"Factory 2, Truc An  Co., LTD.","Lot A1-14, Suoi Dau Industrial Zone, Cam Lam District,  Khanh Hoa Province",Frozen
96,DL 385,"Tin Thinh Co.,Ltd.","Lot F1, Suoi Dau Industrial Zone, Cam Lam District,  Khanh Hoa Province",Frozen
97,DL 394,NHATRANG SEAPRODUCT COMPANY (NHATRANG SEAFOODS) - Nhatrang Seafoods - F. 394,01 Phuoc Long Str. - Binh Tan - Nha Trang City- Khã¡nh Hã²a Province,Frozen
98,DL 526,"THINH HUNG CO., LTD","Lot F9-f10, Suoi Dau Industrial Zone, Cam Lam District, Khanh Hoa Province",Frozen
