no,reg number,name of establishment,address,products
624,3500/02388,"Dongshan Yuanlong Foods Co.,ltd","Maluan Village,kangmei Town,dongshan County,fujian,china",Fishery Products
625,3700/02850,"Yantai Haijie Foodstuffs Co.,Ltd","No.89 Huanhai Road,yantai,shandong",Frozen salmon fillet
626,2200/02078,Hunchun Paramout Food Ltd.,"No.14 District Hunchun Border Economic Cooperation Zone, Jilin",Fishery Products
627,3502/02074,"Longhai Pengxiang Foods Co., Ltd","No.3, Pingjiang Road, Pingning Industrial Zone, Bangshan Town, Longhai, Fujian, China",Fishery Products
628,3700/02947,"Weihai YuXiang Aquatic foodstuff Co.,Ltd","No.339-5,qingdao Southroad,weihai",Fishery Products
629,3700/02D49,"Shandong Haidu Ocean Product Co.,Ltd.",No.527 Shuangshan East Road Shidao Town Rongcheng City Shandong Province,Fishery Products
630,4404/02005,"Zhuhai Guangda Aquatic Food Co, Ltd","Industry District Baitenghu Doumen, Zhuhai",Frozen fishery
631,2100/02364,"Dalian Caiyang Aquatic Products Co.,Ltd","Dalian Wan Town, Ganjingzi District, Dalian, Liaoning, China",Fisheryu Products
632,3500/02304,"Fujian Haihun Aquatic Products Co.,Ltd","Dongqiao Village, Sidu Town, Zhaoan County, Zhangzhou City, Fujian, China",Fishery Products
633,3500/02306,"Debao (Fujian) Industrial Co.,Ltd",Industrial Area Hanjiang Town Shishi Fujian China,Fishery Products
634,3500/02307,Fuqing Longhua Cold Storage,"No. 58 Longjin Road, No. 2 Village, Longtian Town, Fuqing City, Fujian, China",Fishry Products
635,3500/02308,"Fuqing ChaoFa Aquatic Industry Co.,Ltd","Shangxue Village, Longtian Town, Fuqing City, Fujian, China",Fishery Products
636,3500/02309,"Fujian Xiapu Shengwei Industrial and Trade Co.,Ltd","No. 7 District O Dongguan Industrial Taoyuan, Songgang Street, Xiapu County, Fujian, China",Fishery Products
637,3500/02310,"Ningde Dongxing Fisheries Trade Co.,Ltd","No 18 Feiluan Road Feiluan Town Jiaocheng District Ningde(premises:no.1,feiluan Industry Park, Jiaocheng District, Ningde )",Fishery Products
638,3500/02312,"Zhaoan County Xinggang Aquatic Products Foods Co.,Ltd","Cishiwan Village, Meiling Town Zhaoan County, Fujian, China",Fishery Products
639,3502/01103,"Fujian Guantong Foods Co.,Ltd","New Industrial Zone, Yancuo, Longhai, Fujian, China",Fishery Products
640,3502/02058,"Fujian Jiazhong Biotechnology Development Co.,Ltd","Wenpu Industrial Zone, Jiaomei Industrial Development District Longhai City, Fujian, China",Fishery Products
641,3502/02061,"Zhangzhou Shunyi Food Co.,Ltd","Qiaozitou Village, Qianting Town, Zhangpu County, Zhangzhou City, Fujian Province, Chin",Fishery Products
642,3500/02333,"Ningde Qimin Nonggongshang Co.,Ltd.","No.10 Agricultural Products Processing Standard Factory,dongqiao Economic Development Zone,ningde,fujian,china",Fishery Products
643,3302/02078,"Ningbo Feirun Marine Bitechnology.,Ltd","Menqiantang Village Jinxing Shipu Xiangshan Ningbo Zhejiang,china",Aquatic product
644,3302/02072,"Ningbo Jinhe Food Co.,Ltd","Meijiaoqi Village,xiaotang,xiangshan Town,ningbo,zhejiang,china",Aquatic product
645,2100/02005,"Dalian Yanjie Foods Co., Ltd.","Jinlong Si, Yingchengzi Town , Ganjingzi District, Dalian",Fishery Products
646,2100/02399,"Dalian Changfeng Food Co., Ltd.",Xinhua Street Industrial Zone Zhuanghe Dalian,Fishery Products
647,3300/02168,"Zhejiang Xingwang Longsheng Food Co., Ltd","Jiaojiang Center Fishing Port, Xiapu Village, Qiansuo Street, Jiaojiang, Taizhouï¼zhejiang, China",Fishery Products
648,3302/02076,"Ningbo Yuanxiang Food Co., Ltd.","Beitang Development Zone,juexi,xiangshan,ningbo,zhejiang Province,china",Fishery Products
649,4500/02055,"Beihai Qiangyu Food Co.,Ltd.","No.12,hongkong Road,industrial Zone,beihai,",Fishery Products
650,2100/02856,"Dalian Donglin Food Co.,Ltd.","No. 18 Taihai Road, Shihe Street, Puwan New District, Dalian, China",Fishery Products
651,3300/02118,"Zhoushan Rongzhou Marine Food Co., Ltd.","Road 6, Fengdao Industrial Zone A, Zhanmao Street, Putuo District, Zoushan, Zhejiang, China",Fishery Products
652,3300/02535,"Pingyang Xinye Aquatic Products Co., Ltd. ","No.4 Road,mocheng Lingang Industrial Area, Aojiang Town, Pingyang, Wenzhou","Frozen Raw Sea Fish ï¼Free of Toxinsï¼ï¼ Frozen Raw Shrimp, Frozen Raw Crab, Frozen Cephalopoda Products"
653,3500/02358,"Shishi Huabao Mingxiang Foodstuff Co.,Ltd.","Central Fishing Port, Daobao Industrial Zone, Xiangzhi Town, Sishi City, Fujian Province, China",Fishery Products
654,4400/02338,"Raoping  Tengyue Foodstuff  Co.,  Ltd","The East Of Wushi Farm, Zhangxi Town, Raoping County, Guangdong, China",Fishery Products
655,3500/02353,"Fujian Lejifu Food Co.,Ltd","Taoyuan No.7,dongguan Industrial Zone,songguan Jiedao,xiapu,ningde,fujian,china",Fishery Products
656,3300/02111,"Zhoushan Pinskey Food Co., Ltd.","Marine Organisms Industry Zone, Shenjiamen, Putuo, Zhoushan, Zhejiang, China","Frozen Shrimp (Peeled), Frozen Cephalopods, Frozen Fish (Fillet) (In Histamine), Frozen Seafood Mix, Frozen (Cut) Swimming Crab"
657,3500/02133,Fujian Yuehai Aquatic Food Limited Company,"No.1 Feiluan Industry Park, Jiaocheng District, Ningde City, Fujian Province","Frozen Sardine, Frozen Pacific Mackerel"
658,3500/17001,Hui an nong xiang foodstuffs co.ltd,"Beside Chongwu Wharf, Huian County, Quanzhou City, Fujian, China",Normal
659,3500/02361,"Fujian Province Xiapu Huangyuguo Food Co.,Ltd.","No.2 Taibei Road, Longtou , Sansha Town, Xiapu, Ningde City, Fujian Province, China.",Frozen
660,5100/02004,"Chengdu Sea-light Food Co., Ltd.","No. 188, Xuefu Road, Wangsi Town, Dayi County, Chengdu City, Sichuan Province",Frozen Roasted Eel
661,5100/02005,"Sichuan Runzhao Food Co.,LTD","Tuanjie Village,sijing Town, Tianquan County, Ya’an City, Sichuan Province, China",sturgeon caviar;frozen freshwater fish and fish fillet ( sturgeonãrainbow trout)
662,3700/02906,"RONGCHENG SHIXIN AQUATIC PRODUCTS CO., LTD.","No.188ï¼yuehu Road,rongcheng City,weihai City,shandong Province",FROZEN AQUATIC PRODUCTS
663,3500/01161,"FUJIAN HAIYU FOODSTUFFS CO., LTD.",Erhuan Roadï¼guangde Villageï¼chengxiang Townï¼anxiï¼fujianï¼china,Fishery Products
664,3500/02246,"Baixian Food (Fujian) Co., Ltd.","No.7 Changfaroad, Changaninvestment Zone, Mawei District, Fuzhou City, Fujan, China",Fishery Products
665,3500/02313,"Pingtan Wanlong aquatic product CO.,LTD",No.168 Baitucheng Wucheng Villageï¼ Liushuitownï¼pingtan County,Fishery Products
666,3500/02372,"Shishi Jin Huang Chang Frozen Food Co.,Ltd","Xiangnong Dock, Xiangzhi Town, Shishi City, Quanzhou City Fujian, Province, Chinaï¼hongyuan Aquatic Frozen Processing Factoryï¼",Fishery Products
667,4500/02059,"BEIHAI JIAYING FROZEN FOOD CO.,LTD.","No.156 In The Third Lane Three Waisha Island Beihai,guangxi,china.",Fishery Products
668,3700/02A28,"Rongcheng Luyang Aquatic Foods Co.,Ltd",Hushan Town Industrial Parkï¼rongcheng Cityï¼shandong Provinceï¼china,Fishery Products
669,3700/18091,"Rongcheng Dongrong Foods Co.,Ltd",Hushan Townï¼rongcheng Cityï¼shandong Provinceï¼china,Fishery Products
670,3700/02E05,"Rushan City Jixiang Aquatic products Co.,Ltd.","Western Chuangye 1 Road, Industrial Park Of Rushankou Town, Rushan City(southern Haicheng Street)",Fishery Products
671,3700/02E32,"Weihai Wenming Food Co., Ltd.","No.298-2 Zheiqian Village,zeku Town,wendeng Districet,weihai City,shandong,china",Fishery Products
672,4400/02380,"Guangdong Yuehao Aquatic Products Co.,Ltd.","No.f2,the First District,jiangmen Industrial Transfer Industrial Park Enping Park Area,enping City,guangdong China",Fishery Products
673,3700/02987,"Rongcheng Hongwei Foods Co., Ltd.","No. 529, Longyun Road, Shidao Industrial Park, Rongcheng City",Fishery Products
674,3300/02762,"Zhoushan Haiyu Food Science And Technology Co., Ltd","No. 12-16 Xinchen Road, Donggan Street,  Putuo District, Zhoushan, Zhejiang, China",Fishery Products
675,3500/02405,"Fujian Huihuang Food Co., Ltd.","No.1 Western Erdu Shang Village,feiluantown,jiaochengarea,ningde,fujian,china",Fishery Products
676,3500/02356,"Fujian Zhenkai Industrial Co.,Ltd.","Green Island Road, Mawei District, Fuzhou , Fujian, Fuzhou Strait, 66 Fish Trading Center And Business Matching Processing Plant Ii-c 6-storey Block Processing Plant B District 01",Fishery Products
677,5300/02001,"Yunnan Ocean King Fisheries Co.,Ltd.","Puzuo Village, Lianzhu Town, Mojiang County, Yunnan, China",Fishery Products
678,3100/02098,"Shanghai Yangqi Foods Co., Ltd.","#1 Factory,no. 158 Shumin Road, Songjiang District, Shanghai China",Fishery Products
679,1300/02268,"QinHuangDaoLongYue Foods Co.,Ltd","The Middle Of Coastal Road Qinhuangdao To Shanhaiguan , Hebei Province",Fishery Products
680,6300/02002,Qinghai Minze Longyangxia Ecological Food Co.Ltd,"Longyangxia Town, Gonghe County, Hainan State, Qinghai Province",Fishery Products
681,6300/02001,Qinghai Minze Longyangxia Ecological Aqua Farming Co.Ltd,"Longyangxia Town, Gonghe County, Hainan State, Qinghai Province",Fishery Products
682,2100/02A37,Donggang Xinhong Aquatic Product factory,Bakeshu Village Xincheng District Donggang City Liaoning Province,Fishery Products
683,3500/02422,"Fujian Shenbiao Aquatic Products Co., Ltd.","No.66, Qingyu Road, Jinyu Industrial Zone, Jinyu Village, Shenhu Town, Jinjiang, Quanzhou, Fujian.",Fishery Products
684,3700/02E52,"Rongcheng Jiajie Aquatic Food Co.,Ltd.","Lengjia Village,xunshan Subdistrict Office,rongcheng City",Fishery Products
685,3700/02E66,"Rongcheng Baybest Sea Food Co., Ltd.    ","No.168 Shangshu Road,rongcheng,shandong",Fishery Products
686,3700/02F15,"Weihai Longheng Food Co.,LTD","No.8-1, Bukou Road, Bukou Port, Wendeng District Weihai City,shandong,china",Fishery Products
687,3700/02F23,"Weihai Xinyangyu Aquatic Food Co.,Ltd","No.1269-1ï¼1269-2 Changhuikou Village Zeku Town Wendeng District,weihai,shangdong",Fishery Products
688,3700/18204,"Weihai Runfutang Food Co.,Ltd","No.66 11-3ï¼11-4   Wenchang Road Wendeng Economic Development Zone,weihai,shangdong",Fishery Products
689,3500/02410,"Shishi Wanfeng Seafood Technology Co.,Ltd. ","Gufu Twenty District No.32, Xiangzhi Town, Shishi City, Quanzhou City, Fujian Province, China",Frozen Fishery Products
