no,reg number,name of establishment,address,products
503,3700/02887,"Qingdao Sanmu Aquatic Products Co.,Ltd.","Qingda Industrial Zone,chengyang District,qingdao, China",
504,3700/02995,"Rusan Baoxing Aquatic Foodstuffs Co.,Ltd","The North Of Nanhong Village, Haiyangsuo Town,rushan City",Fishery Products
505,3700/02B24,"Rongcheng Shidao Guangxin Food Co., Ltd.  ","No.227 Longteng North Road Shidao Industrial Park,rongcheng, Shandong China","Frozen or Breaded Fish, Cephalopoda, Shellfish and its products"
506,3700/02F56,"Shandong Lanrun Group Hailong Food Co.,Ltd","No.299 North  Longyu Road,shidao Industrial  District Rongcheng","Frozen or breaded fish, cephalopods, crustaceans and other products"
507,1300/02236,"Qinhuangdao Jiangxin Aquatic Food Products Co., Ltd","Nandaihe Second District, Beidaihe New District, Qinhuangdao City, Hebei Province, China","I.Q.F. Scallop Adductor, Frozen Breaded Shrimp, Frozen Breaded Scallop Adductor"
508,1300/02245,"Qinhuangdao Chengcai Foodstuff Co.,Ltd","Nandaihe Village, Funning County, Qinhuangdao City, Hebei Province, China","I.Q.F. Scallop Adductor, Frozen Boiled Short Neck Clams (VAC-PAC), Frozen Breaded Scallop Adductor"
509,2100/02884,"Donggang City Gangzhu Foodstuff Co.,Ltd",May 4th Farm Scott Ditch Factory Court Donggang City,Fishery Products
510,3500/02275,"Dongshan Tianyuan Aquatic Foodstuff Co.,Ltd","No.dx-b09 Aquatic Products Comprehensive Market, Kangmei Town, Dongshan County, Fujian China",Fishery Products
511,3500/01162,"Quanzhou Qiyuan Food Co.,Ltd","Successful Development Zone,nanan City, Quanzhou City,fujian,china",Canned
512,3500/02293,"Dongshan Yuxiang Foodstuff Co., Ltd","West Of Dawo Road, Tongxing Village, Tongling Town, Dongshan, Fujian Province, China",Fishery Products
513,4400/02299,"Leizhou Yunyuan Aquatic Products Co., Ltd","No. 138, Guanghainorth, Leichen Town, Leizhou, Guangdong, China",Fishery Products
514,3500/02276,"Dongshan Qichang Freezing Process Co.,Ltd","Gongqian Village, Chencheng Town, Dongshan County, Fujian, China",Fishery Products
515,1300/02259,"Qinhuangdao Gangwan Aquatic Products Co.,Ltd","Industrial Park, Changli County, Qinhuangdao City, Hebei Province China",Fishery Products
516,KID-046,The One Freezing,"240,gamcheonhang-ro, Saha-gu, Busan",Frozen Fish
517,2100/02810,"Dalian Taifu Food Co., Ltd",Industrial Zone Of Xinhua Street Zhuanghe City Dalian China,Fishery Products
518,4400/02360,"Chaozhou Dingcheng Aquatic Products Co., Ltd","Nan Di South, Wen Sheng Wei, Raoping City, Zhelin County, Chaozhou, Guangdong, China",Frozen Sea Wild Caught Fish
519,2100/02001,"Liaoyu Group Co., Ltd Ocean Food Branch","Dalianwan, Ganjingzi District, Dalian, Liaoning Province, P.r.china",Fishery Products
520,4500/02057,"Beihai quality aquatic products co., ltd","The Southside Of Xingye Avenue,hepuindustrial Zone,guangxi,china.","rozen Golden Pompano,Frozen Farmed Shrimp(PUD&PD),Frozen Farmed Cooked Shrimp(PUD&PD),Frozen Marine Shrimp(PUD&PD),Frozen Marine Cooked Shrimp(PUD&PD),Frozen Crab(Block),Frozen Cephalopoda,Frozen Marine Fish,Frozen Breaded Shrimp,Frozen Shellfish(Meat),Frozen Freshwater Farmed Fish(Tilapiaï¼Carpï¼Silver Carpï¼Daceï¼Bassï¼White Pompano)"
521,3700/02D04,"Rongcheng City Xinhui Aquatic Co., Ltd.","No.379 Fenghuanghu
Road,shidao Rongcheng",Frozen Fish & Squid
522,3500/02371,"Pingtan Runteng Aquatic Product Co.,ltd","No.624,liushui Village,liushui Town,pingtan,fujian,china",Fishery Products
523,3300/02206,"Zhoushan Putuo Huafa Sea Products Co., Ltd.","Marine Organisms Industry Zone, Putuo District, Zhoushan, Zhejiang",Fishery Products
524,3302/02091,"XIANGSHAN HONGHAI AQUATIC&FOOD CO.,LTD","Jinger Road Aquatic-industrial Zone Menqiantang Shipu Xiangshan ,ningbo,zhejiang, China",Fishery Products
525,3302/02057,"Xiangshan Kaiyuan Frozen Aquatic Co.,Ltd.","Aquatic-industrial Zone Menqiantang Shipu , Xiangshanï¼ningbo  , Zhejiang, China",Fishery Products
