no,merek dagang,cara pemakaian,pembuat
24 ,VERPECTION 400 EC,"Cabai: kutu daun Myzus persicae (Penyemprotan volume tinggi:
1,5 ml/l)",PT Bahtera Boniaga Lestari
25 ,VENTORY 865 SL,"Padi sawah: gulma berdaun lebar
Ludwigia octovalvis
Marsilea crenata
Monochoria vaginalis (Penyemprotan volume tinggi:
0,3-0,4 l/ha)",PT Alishan Nusa Indah
26 ,VEMOUSE 80 P*,Padi sawah : tikus sawah Rattus argentiventer (Pencampuran dengan umpan),CV Culture Agritech Interzona
27 ,VENATOR 550 SC,"Budidaya tanaman jagung (pra tumbuh) : gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata (Penyemprotan volume tinggi : 1 - 2 l/ha) Budidaya tanaman jagung (purna tumbuh) : gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata (Penyemprotan volume tinggi : 1 - 2 l/ha) Tebu : Gulma berdaun lebar Ipomoea triloba, Ageratum conyzoides, Euphorbia hirta, golongan rumput Eleusine indica (Penyemprotan volume tinggi : 1 -2 l/ha)",PT Dharma Guna Wibawa
28 ,ZYCHATE 200 SL,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 0,5 ml/l) Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi  : 225 - 300 ml/ha)",CV Abadi Jaya
29 ,ZINCKOL 70/6 WP,"Kentang: penyakit busuk daun
Phytophthora infestans (Penyemprotan volume tinggi:
1,5 g/l)",PT Santani Sejahtera
30 ,ZIPHOS 80 P*,"Tikus sawah : Rattus argentiventer (Pengumpanan siap pakai
)",PT Sinar General Industries
31 ,ZOLE 250 EC,"Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 3 ml/l) Cabai : penyakit bercak daun Cercospora capsici (Penyemprotan volume tinggi : 2 ml/l) Cabai : penyakit antraknosa Colletotrichum capsici (Penyemprotan volume tinggi : 1 ml/l) Jagung : penyakit hawar daun Helminthosporium turcicum (Penyemprotan volume tinggi : 3 l/ha) Padi : penyakit busuk batang Helminthosporium sigmoideum (Penyemprotan volume tinggi : 0,4 l/ha) Padi : penyakit hawar pelepah daun Rhizoctonia solani (Penyemprotan volume tinggi : 2 l/ha)",PT Petrokimia Kayaku
32 ,ZHAVITRON 20 WP,"Kelapa sawit  gulma berdaun lebar Ageratum conyzoides Borreria alata Mikania micrantha Praxelis clematidea
 (Penyemprotan volume tinggi 75 - 100 g/ha
) Kelapa sawit  gulma golongan rumput Ottochloa nodosa
 (Penyemprotan volume tinggi 75 - 100 g/ha
)",PT Foragro Mitra Sejati
33 ,ZETVAL 200 EC,"Cabai : ulat grayak Spodooptera litura (Penyemprotan volume tinggi  : 2,5 ml/l)",PT Excel Meg Indo
34 ,ZETTAZEB 80 WP,"Tomat: penyakit busuk daun
Phytophthora infestans
 (Penyemprotan volume tinggi:
2 g/l
)",CV Asritani Utama
35 ,ZESSNOIT 60 WP,"Padi sawah: siput murbei
Pomacea canaliculata (Penyemprotan volume tinggi:
375 g /ha)",PT Bahtera Boniaga Lestari
36 ,ZETRO 75 WG,"Kentang: penyakit busuk daun
Phytophthora infestans
 (Penyemprotan volume tinggi:
1,5 kg/ha
) Padi:  penyakit hawar pelepah
Rhizoctonia solani
 (Penyemprotan volume tinggi:
1 g/l
) Tomat: penyakit antraknosa
Colletrotichumsp.
 (Penyemprotan volume tinggi:
1 g/l
)",PT Catur Agrodaya Mandiri
37 ,ZESBAN 480 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Indoin Business Group
38 ,ZERAM 250 EC,"Bawang merah: gulma berdaun lebar
Portulaca oleracea
gulma berdaun sempit 
Digitaria ciliaris (Penyemprotan volume tinggi:
1 - 1,5 l/ha)",PT Petrosida Gresik
39 ,ZENITH 75 WP,"Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 2 - 3 g/l) Cabai : penyakit antraknosa Colletotrichum capsici (Penyemprotan volume tinggi : 3 g/l) Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 3 g/l) Tomat: penyakit hawar daun 
Phytophthora infestans (Penyemprotan volume tinggi:
1,5 g/l)",PT Nufarm Indonesia
40 ,ZENICORE 70 WP,"Kentang : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris (Penyemprotan volume tinggi:
0,75 - 1 ml/l)",CV Artha Buana Mandiri
41 ,"ZEBRA 0,03 MC","Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pembakaran)",PT Kuda Raya Karyanusa
42 ,ZEBINDO 80 WP,"Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 1,5 g/l) Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi  : 1,5 g/l)",PT Inti Everspring Indonesia
43 ,ZAPARIS 240 SL,"Karet (TBM) : gulma berdaun lebar 
Ageratum conyzoides
golongan rumput
Digitaria ciliaris
teki 
Cyperus kyllingia
Cyperus rotundus (Penyemprotan volume tinggi: 
4 - 6 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar Mikania micrantha, Ageratum conyzoides ; golongan rumput Axonopus compressus (Penyemprotan volume tinggi : 4 - 6  l/ha) Kelapa sawit (TBM) : gulma berdaun lebar kacangan penutup tanah ; golongan rumput Ottochloa nodosa (Penyemprotan volume tinggi :  2 - 4  l/ha)",PT Andall Hasa Prima
44 ,Z-ZIMOX 64/8 WP,Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 2 g/l),CV Abadi Jaya
45 ,ZAMPRO 525 SC,"Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 400 - 500 ml/ha) Tomat: penyakit busuk daun 
Phytophthora infestans (Penyemprotan volume tinggi:
500 ml/ha)",PT BASF Indonesia
46 ,Z-ZIMOX 20 WP,Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 3 g/l),CV Abadi Jaya
47 ,Z-OFF 550 EC,"Kedelai penggerek polong Etiella zinckenella
 (Penyemprotan volume tinggi 1,5 ml/l
)",PT Global Agrotech
48 ,YUDA 50 EC,"Cabai : hama trips Thrips parvispinus, kutu daun Myzus persicae (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Sekawan Maju Bersama Prima
49 ,YORKOOL 55 LN,"Di dalam ruangan: nyamuk
Aedes aegypti
Anopheles acocnitus (Kelambu siap pakai)",PT Agri Kemia Natura
50 ,YOSAN 575 EC,Cabai : hama tungau Polyphagotarsonemus latus (Penyemprotan volume tinggi : 1 ml/l),PT Petrosida Gresik
51 ,XTRAIL 500 SC,"Bawang merah: hama kutu daun
Myzus persicae
 (Penyemprotan volume tinggi:
1 ml/l
)",CV Raja Grafika
52 ,YASITHRIN 30 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 3 - 4 ml/l) Cabai : lalat buah Bactrocera ferrugineus (Penyemprotan volume tinggi : 2 - 4 ml/l) Jagung : belalang Patanga succincta (Penyemprotan volume tinggi : 1 - 2 ml/l) Kedelai : penggulung daun Lamprosema abstitalis (Penyemprotan volume tinggi : 2 - 4 ml/l) Kubis : perusak daun Plutella xylostella, ulat krop Crocidolomia pavonana (Penyemprotan volume tinggi : 0,5 - 1 l/ha)",PT Yasida Makmur Abadi
53 ,"XILAW 007 0,005 BB",Bangunan bukan perumahan : tikus rumah RRattus rattus diardii (Pengumpanan siap pakai),PT Dharma Guna Wibawa
54 ,"XILAW 0,005 BB",Tikus belukar : Rattus tiomanicus (Pengumpanan siap pakai),PT Dharma Guna Wibawa
55 ,X-TRAIL 480 SL,"Karet: meningkatkan produksi lateks dan produksi karet kering (Pengolesan pada bidang sadap:
1 ml/pohon)",CV Golden Farm Indonesia
56 ,WRAPUP 480 SL,"Karet (TBM) : gulma berdaun lebar Calopogonium mucunoides ; gulma berdaun sempit Ottochloa nodosa (Penyemprotan volume tinggi  : 3 - 4,5 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Elephantophus scaber, Mikania micrantha, gulma berdaun sempit Axonopus compressus, Paspalum conjugatum (Penyemprotan volume tinggi  : 2,25 - 3  l/ha) Teh (TM) : gulma berdaun lebar Ageratum conyzoides, Drymaria cordata, Commelina diffusa ; gulma berdaun sempit Eleusine indica, Setaria plicata (Penyemprotan volume tinggi : 1 - 2 l/ha) Teh (TM) : gulma berdaun lebar Synedrella nodiflora ; gulma berdaun sempit Axonopus compressus, Paspalum conjugatum (Penyemprotan volume tinggi : 2 - 4 l/ha)",CV Tani Lestari
57 ,WOLKY 60 WG,"Padi sawah : gulma berdaun lebar Lindernia crustacea, Ludwigia octovalvis, Marsilea crenata, Monocharia vaginalis, teki Fimbrystylis miliacea (Penyemprotan volume tinggi : 7,5 - 12,5 g/ha)",PT Rainbow Agrosciences
58 ,WOODPRO 50 EC,"Kayu gergajian : rayap tanah 
Coptotermes gestroi (Peracunan tanah:
0,025%
Penyemprotan:
0,025%) Kayu gergajian: bubuk kayu kering 
Heterobostrychus aequalis (Penyemprotan:
0,025%) Kayu gergajian: rayap kayu kering 
Cryptotermes cynocephalus (Pengumpanan:
0,025%)",PT Nufarm Indonesia
59 ,WISH 590 EC,"Padi sawah: gulma berdaun lebar Monochoria vaginalis, gulma berdaun sempit, Echinochloa crusgalli; teki Cyperus diformis (Penyemprotan volume tinggi:
1 - 1,5 l/ha)",PT Douta Utaman Indonesia
60 ,WISESA PHOSPHIDE 56 TB*,"Beras:  hama gudang
Sitophilus oryzae
Tribolium castaneum (Fumigan:
1 tablet/m3) Jagung: hama gudang
Sitophilus oryzae
Tribolium castaneum (Fumigan:
1 tablet/m3) Tembakau: hama gudang
Lasioderma serricorne
 (Fumigan:
1 tablet/m3
)",PT Fortuna Prospek Perkasa
61 ,WINYARD 70 WP,"padi sawah : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 0,75 - 1,5 ml/l)",PT Dwiagri Makmur Intertrade
62 ,WIPER 50 EC,"Kentang : hama kutu daun Myzus persicae, pengorok daun Liriomyza huidobrensis (Penyemprotan volume tinggi : 0,45 ml/l) Padi : penggerek batang padi kuning Scirpophaga incertulas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 0,45 ml/l)",PT Nufarm Indonesia
63 ,WINTAG 490 SL,"Kelapa sawit (TBM): gulma berdaun lebar
Synedrella nodiflora
golongan rumput
Ottochloa nodosa (Penyemprotan volume tinggi:
2,25 - 3 l/ha)",PT Dwiagri Makmur Intertrade
64 ,"WINGRAN 0,5 GR","Padi : wereng coklat Nilaparvata lugens, penggerek batang Tryporyza innotata (Penaburan pada tanah : 6 - 12 g/ha)",PT Multi Sarana Indotani
65 ,WINGRAN 70 WS,"Jagung: lalat bibit 
Atherigona exigua (Perlakuan benih:
4 - 6 g/kg) Padi : penggerek batang Scirpophaga incertulas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 0,5 - 0,75 g/l) Padi : wereng hijau Nephotettix virescens, wereng coklat Nilaparvata lugens (Perlakuan benih : 1,5 - 3 g/kg benih)",PT Multi Sarana Indotani
66 ,WINGLOS 150 SL,"Kelapa sawit (TBM): gulma berdaun lebar Asystasia gangetica, Mikania micrantha; gulma berdaun sempit Ottochloa nodosa, Setaria plicata (Penyemprotan volume tinggi:
1,5 - 2 l/ha)",PT Dwiagri Makmur Intertrade
67 ,WINFON 480 SL,"Nenas : merangsang pembungaan (Penyiraman : 1,75 - 2 ml/l)",PT Dwiagri Makmur Intertrade
68 ,WINFOS 525 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Melastoma affine, golongan rumput Axonopus compressus (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha)",PT Kristalindo Karunia Internasional
69 ,WINDER 25 WP,"Cabai : kutu daun 
Myzus persicae
hama trips 
Thrips sp. (Penyemprotan volume tinggi: 
200 g/ha) Padi : penggerek batang 
Tryporyza incertulas (Penyemprotan volume tinggi: 
100 g/ha)",PT Tanindo Intertraco
70 ,WILBO 200 EC,"Cabai : ulat grayak Spodotera litura (Penyemprotan volume tinggi : 1,5 ml/l)",PT Yanno Agro Science Indonesia
