no,merek dagang,cara pemakaian,pembuat
535 ,SIKATIN 865 SL,"Padi sawah : gulma berdaun lebar Ludwigia hysophifolia, Monochoria vaginalis, teki Cyperus iria, Fimbristylis littoralis (Penyemprotan volume tinggi : 0,75 - 1 l/ha)",CV Tani Lestari
536 ,"SIKLON 5,7 WG","Bawang merah : pengorok daun Liriomyza chinensis, ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 0,1 g/l) Cabai : hama kutu daun Myzus persicae, penggerek buah Helicoverpa amigera (Penyemprotan volume tinggi : 0,3 g/l) Kubis: hama perusak krop 
Crocidolomia pavonana (Penyemprotan volume tinggi:
1 g/l) Padi: penggerek batang kuning 
Scirpophaga incertulas
wereng batang coklat
Nilaparvata lugens (Penyemprotan volume tinggi:
1 g/l)",PT Nufarm Indonesia
537 ,NOMOS 0.105 MC,"Nyamuk nyamuk
Aedes aegypti
Culex quinquefasciatus
 (Pembakaran
)",PT Fumakilla  Nomos
538 ,NOMOS 0.105 MC,"Nyamuk Di dalam ruangan:
nyamuk
Aedes aegypti
Culex quinquefasciatus
 (Pembakaran
)",PT Fumakilla  Nomos
539 ,SIDAZOL 250 EC,"Padi: penyakit hawar daun
Rhizoctonia solani (Penyemprotan volume tinggi:
0,75 ml/l)",PT Petrosida Gresik
540 ,SIDIN 50 EC,Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 3 - 4 ml/l) Kubis : perusak daun Plutella xylostella (Penyemprotan volume tinggi : 2 - 4 ml/l),PT Agrokimindo Kurniabuana
541 ,NOMOS 0.08 MC,"Nyamuk Di dalam ruangan:
nyamuk
Aedes aegypti
Culex quinquefasciatus
 (Pembakaran
)",PT Fumakilla  Nomos
542 ,NOMOS 0.08 MC,"Nyamuk Aedes aegypti
Culex quinquefasciatus
 (Pembakaran
)",PT Fumakilla  Nomos
543 ,"NOMOS 0,555 AE","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus, kecoa Blatella germanica, Periplaneta americana, lalat Musca domestica, semut Anoplolepis gracilipes (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
544 ,"NOMOS 0,09 AE","Di dalam ruangan : Aedes aegypti
Culex quinquefasciatus (Penyemprotan terbatas dan siap pakai)",PT Fumakilla  Nomos
545 ,"NOMOS 0,025 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla  Nomos
546 ,"NOMOS 0,015 MC","Di dalam ruangan : nyamuk
Aedes aegypti
Culex quinguefasciatus (Pembakaran)",PT Fumakilla  Nomos
547 ,NOMINEE 100 OF,"Padi sawah : gulma berdaun sempit Paspalum distchum, Leptochloa nodosa, Echinochloa crus-galli, teki Cyperus iria (Penyemprotan volume tinggi : 200 - 250 ml/ha)",PT Petrokimia Kayaku
548 ,NOMIN EXTRA 200 SC,"Padi: gulma berdaun lebar Ludwigia perennis, Monochoria vaginalis, Sphenoclea zeylanica; golongan rumput Leptochloa chinensis, Fimbristylis miliacea (Penyemprotan volume tinggi:
150 - 200 ml/ha)",PT Maju Makmur  Utomo
549 ,NOMAD 495 SL,"Karet (TBM) : gulma berdaun lebar Ageratum conyzoides, Tetracera adscendens, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 2 - 3 ml/l) Karet (TBM) : gulma berdaun sempit Cynodon dactylon (Penyemprotan volume tinggi : 2,5 - 3 ml/l) Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Chromolaena odoratum, Mikania micrantha, gulma berdaun sempit Ischaemum timorense (Penyemprotan volume tinggi : 0,75 - 1,5 l/ha) Padi sawah (TOT) : gulma berdaun lebar Ludwigia hysophyfolia, gulma berdaun sempit Paspalum conjugatum, Echinochloa colona, teki Fimbristylis littoralis (Penyemprotan volume tinggi : 3 - 4 l/ha)",PT Petrokimia Kayaku
550 ,NOBELS 485 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Chromolaena odorata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Rekayasa Agri Utama
551 ,NESTOR 25 EC,"Cabai : hama trips Thrips parvispinus, kutu daun Myzus persicae (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Kentang : pengorok daun Liriomyza huidobrensis (Penyemprotan volume tinggi : 0,75 ml/l) Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 0,75 ml/l)",PT Dharma Guna Wibawa
552 ,NETOXIN 400 SL,"Padi sawah : wereng coklat 
Nilaparvata lugens
penggerek batang 
Scirpophaga incertulas (Penyemprotan volume tinggi: 
1 ml/l)",PT Surat Tani
553 ,NEVWEB IGR 200 EC,"Gandum: hama
Tribolium castaneum (Penyemprotan: 1 ppm
setara dengan 0,001 ml/l) Pakan ternak: hama
Cryptolestes sp. (Penyemprotan: 1 ppm
setara dengan 0,001 ml/l)",PT Biotek Sarana Industri
554 ,NEWTEX 10 PA,"Karet : meningkatkan produksi karet kering (Pengolesan pada bidang sadap : 0,08 g/pohon)",PT Anugrah Sentana Agro
555 ,NEWTEX 5 PA,"Karet : meningkatkan produksi karet kering (Pengolesan pada bidang sadap : 0,08 g/pohon)",PT Anugrah Sentana Agro
556 ,NICLOSAN 250 EC,"Padi sawah : siput murbei Pomacea cannaliculata (Penyemprotan volume tinggi  : 1,5 ml/l)",PT Bio Agritech Nusantara
557 ,NICLOSTOP PLUS 70 WP,Padi sawah : siput murbei Pomacea canaliculata (Penyemprotan volume tinggi : 375 - 500 g/ha),PT Biotek Saranatama
558 ,NICOZIN 550 SC,"Jagung: gulma berdaun lebar Bidens pilosa, Ipomoea triloba; golongan rumput Cynodon dactylon, Echinochloa colona, Panicum repens; teki Cyperus rotundus (Penyemprotan volume tinggi:
1,5 - 2 l/ha)",PT Maju Makmur  Utomo
559 ,NISSOZIN 20 SP,"Cabai: kutu kebul
Bemisia tabaci (Penyemprotan volume tinggi:
0,5 kg/ha)",PT Mitsubishi Corporation Indonesia
560 ,NEOTRIN 50 EC,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 ml/l),PT Intec
561 ,NEPOREX 2 WG,Kandang ayam : larva lalat Musca spp. (Penyemprotan : 500 g/5 l air/20 m2 permukaan manur),PT Novindo Agritech Hutama
562 ,NEOPOWER 30 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
2 ml/l)",CV Sinar Agro Kimia Indonesia
563 ,NEOBAN PLUS 540/60 EC,"Kedelai: ulat penggulung daun Lamprosema indicata, hama penggerek polong Etiella zinckenella  (Penyemprotan volume tinggi:
3 ml/l)",PT Centa Brasindo Abadi Chemical Industry
564 ,NEOFOXS 200 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
2 ml/l)",CV Sinar Agro Kimia Indonesia
565 ,NEMAGUARD 10 GR,"Kentang ulat tanah Agrotis ipsilon
 (Penaburan 5 kg/ha
)",PT Mitra Kreasidharma
566 ,NELUMBO 250 EC,"Padi : penyakit hawar pelepah Rhizoctonia solani (Penyemprotan volume tinggi : 0,75 ml/l)",PT Ria Indo Agri
567 ,"NEBIJIN 0,3 DP",Kubis : penyakit akar ganda Plasmodiophora brassicae (Pencampuran dengan tanah : 225 kg/ha),PT Agricon
568 ,NAZOLE 50 SC,"Cabai merah : penyakit antraknosa 
Colletotrichum capsici (Penyemprotan volume tinggi: 
0,5 ml/l) Padi : penyakit hawar upih daun 
Rhizoctonia solani (Penyemprotan volume tinggi: 
0,5 ml/l) Teh : penyakit cacar daun 
Exobasidium vexans (Penyemprotan volume tinggi: 
2 ml/l)",PT Catur Agrodaya Mandiri
569 ,NAVIGATOR 200 SL,"Cabai : kutu daun Myzus persicae, hama trips Thrips parvispinus (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Delta Giri Wacana
570 ,NAVOX 60 EC,"Cabai: kutu daun
Myzus persicae (Penyemprotan volume tinggi:
0,75 ml/l)",PT Dalzon Chemicals Indonesia
571 ,NAUTILE 68/5 WG,"Bawang merah: penyakit bercak ungu
Alternaria porri (Penyemprotan volume tinggi:
1 g/l) Cabai: penyakit antraknosa
Colletotrichum capsisi (Penyemprotan volume tinggi:
1 g/l) Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 2 g/l)",PT UPL Indonesia
572 ,NATIVO 75 WG,"Anggrek : penyakit bercak daun Cercospora dendrobii, penyakit antraknosa Colletotrichum gloeosporioides (Penyemprotan volume tinggi  : 200 g/ha) Apel : penyakit barcak daun Marssonina coronaria, penyakit embun tepung Podosphaera leucontricha (Penyemprotan volume tinggi : 300 g/ha) Bawang merah: bercak daun
Alternaria porri
 (Penyemprotan volume tinggi:
0,24 g/l
) Cabai merah : penyakit bercak daun Cercospora capsici, penyakit antraknosa Colletotrichum capsici (penyemprotan volume tinggi : 100 - 150 g/ha) Jagung : penyakit bulai Peronosclerospora maydis (Penyemprotan volume tinggi  : 0,4 - 0,8 g/l) Jagung : penyakit bulai Helminthosporium turcicum. (Penyemprotan volume tinggi : 0,8 - 1,2 g/l) Jeruk : penyakit embun tepung Oidium tingitaninum, penyakit antraknosa Colletotrichum gloeosporioides (Penyemprotan volume tinggi  : 200 g/ha) Kacang hijau : penyakit bercak daun Cercospora canescens (penyemprotan volume tinggi : 150 - 200 g/ha) Kacang hijau : penyakit karat Uromyces phaseoli (penyemprotan volume tinggi : 100 - 150 g/ha) Kacang panjang : penyakit karat Uromyces vignaee (Penyemprotan volume tinggi : 150 - 200 g/ha) Kacang tanah : penyakit karat Puccinia arachidis (Penyemprotan volume tinggi  : 150 - 225 g/ha) Kakao : penyakit pembuluh kayu Oncobasidium theobromae (Penyemprotan volume tinggi : 0,25 - 0,5 g/l) Karet : penyakit bidang sadap Ceratocystis fimbriata (Penyemprotan volume tinggi : 200 g/ha) Kedelai : penyakit karat Phakopsora pachyrhizi (Penyemprotan volume tinggi : 100 - 150 g/ha) Krisan : penyakit karat Puccinia chrysanthemi (Penyemprotan volume tinggi  : 150 - 225 g/ha) Mangga : penyakit antraknosa Colletotrichum gloeosporioides (Penyemprotan volume tinggi : 200 g/ha) Melon : penyakit embun bulu Pseudoperonospora cubensis, penyakit antraknosa Colletotrichum gloeosporioides (Penyemprotan volume tinggi  : 200 g/ha) Melon : penyakit busuk batang Didymella bryoniae (Penyemprotan volume tinggi : 0,75 - 1 g/l) Mentimun : penyakit embun bulu Pseudoperonospora cubensis (Penyemprotan volume tinggi : 1 g/l) Mentimun : penyakit antraknosa Colletotrichum lagenarium (Penyemprotan volume tinggi : 0,5 - 1 g/l) Padi: penyakit blas
Pyricularia oryzae
penyakit hawar daun
Xanthomonas campestris
 (Penyemprotan volume tinggi:
150 - 225 g/ha
) Pembibitan kelapa sawit : penyakit busuk tunas Marasmius palmivora (Penyemprotan volume tinggi : 200 g/ha) Pisang : penyakit sigatoka Mycosphaerella musicola (Penyemprotan volume tinggi  : 200 g/ha) Tembakau : penyakit rebah semai Rhizoctonia solani (Penyemprotan volume tinggi : 200 g/ha) Tomat : penyakit busuk kering Alternaria solani, penyakit bercak daun Septoria lycopersici (penyemprotan volume tinggi : 100 - 150 g/ha)",PT Bayer Indonesia
573 ,NARCIM 80 WP,"Bawang merah: penyakit antraknosa
Colletotrichum spp. (Penyemprotan volume tinggi:
1,5 g/l)",PT Samudera Utama Narapati
574 ,NARKIS 100 SC,"Padi: gulma berdaun lebar Marsilea crenata, Ludwigia perennis, Spenochlea zeylanica; gulma berdaun sempit Echinochloa colona, Leptochloa chinensis; teki Cyperus difformis, Fimbristylis miliacea (Penyemprotan volume tinggi:
100 - 200 ml/ha)",PT Royal Agro Indonesia
575 ,NARAXONE 320 SL*,"Kelapa sawit (TBM): gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Setaria plicata (Penyemprotan volume tinggi : 1 - 1,5 l/ha)",PT Samudera Utama Narapati
576 ,NARATRIN 300 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 0,375 - 0,500 ml/l)",PT Samudera Utama Narapati
577 ,NARATAN 65 WP,"Padi Sawah siput murbei Pomacea cannaliculata
 (Penyemprotan volume tinggi 375 g/ha
)",PT Samudera Utama Narapati
578 ,NARAREL 550 EC,"Kedelai : penggulung daun Lamprosema indicata (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Samudera Utama Narapati
579 ,NARAPON 10 PA,"Karet : meningkatkan produksi karet kering (Pengolesan pada bidang sadap : 0,9 g/pohon)",PT Samudera Utama Narapati
580 ,NARALLY 20 WP,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Chromolaena odorata, Mikania micrantha, Synedrella nodiflora (Penyemprotan volume tinggi : 75 - 150 g/ha)",PT Samudera Utama Narapati
581 ,NARAHYPO 505 SL,"Padi : penggerek batang Scirpophaga incertulas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 2 - 3 ml/l)",PT Samudera Utama Narapati
582 ,NARAGENT 50 SC,"Padi : penggerek batang Scirpophaga interculas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Samudera Utama Narapati
583 ,NARA UP 490 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Samudera Utama Narapati
584 ,NAPIRTOP 300/5 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
1,5 ml/l)",PT Agro Sejahtera Indonesia
585 ,NANOFOS 480 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 ml/l) Kedelai : lalat bibit
Agromyza sp (Penyemprotan volume tinggi:
2 ml/l)",PT Rainbow Agrosciences
586 ,NAIF 600 SL,"Jagung : gulma berdaun lebar Ageratum conyzoides, Borreria ap., gulma berdaun sempit Digitaria adscendens (Penyemprotan volume tinggi : 1 - 2 l/ha)",PT Global Agrotech
587 ,NAKARAZ 490 SL,"Budidaya kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha)",PT Bahtera Boniaga Lestari
588 ,MYTHIC 240 SC,"Di dalam dan di luar ruangan : nyamuk Aedes aegyoti, Culex quinquefasciatus, lalat Musca domestica, kecoa Blatella germanica, Periplaneta americana (Penyemprotan residual s/d 8 minggu : 10 - 20 ml/l)",PT BASF Indonesia
589 ,MUNJUL 80 SL,"Kakao penghisap buah Helopeltis antonii
 (Penyemprotan volume tinggi 2 ml/l
)",PT Makmur Jaya Agro
590 ,MUPXONE 276 SL*,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 1 - 2 l/ha) Peny.lahan bududaya padi sawah pasang surut (TOT): gulma berdaun lebar
Monochoria vaginalis (Penyemprotan volume tinggi:
2 - 3 l/ha) Peny.lahan bududaya padi sawah pasang surut (TOT): gulma berdaun sempit
Leptochloa chinensis (Penyemprotan volume tinggi:
1,5 - 2 l/ha)",PT Agrotech Pesticide Industry
591 ,MUSI 67 WP,"Padi sawah: siput murbei
Pomacea sp. (Penyemprotan volume tinggi:
1,5 g/l)",PT Petrosida Gresik
592 ,MUSUHAMA 500 EC,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 0,5 ml/l)",CV Abadi Jaya
593 ,MR 20 PA,Karet : penyakit bidang sadap moldy rot Ceratocystis fimbriata (Pengolesan pada bidang sadap : 20 mg/cm2),PT Indagro
594 ,MSBROM 98 GA*,"Beras hama gudang Tribolium castaneum
 (Fumigasi 24 g/m3
)",PT Medphos Citra Mandiri
595 ,MULTITOMIL 40 SP,"Bawang merah pengorok daun Liriomyza huidobrensis
 (Penyemprotan volume tinggi 2 g/l
)",PT Multi Sarana Indotani
596 ,MOVE-UP 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Clidemia hirta, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Indoin Business Group
597 ,MOSPILAN 30 EC,"Cabai : lalat buah
Bactrocera sp.
kutu daun
Myzus persicae (Penyemprotan volume tinggi:
0,75 l/ha) Jeruk: Phyllocnistis citrella (Penyemprotan volume tinggi:
0,75 l/ha) Kubis : ulat daun
Plutella xylostella (Penyemprotan volume tinggi:
0,5 l/ha) Teh : ulat penggulung pucuk Laspeyresia leucostoma (Penyemprotan volume tinggi:
0,5 l/ha)",PT MC Indonesia
598 ,MOSA BN P,"Padi wereng coklat Nilaparvata lugens
 (Penyemprotan volume tinggi 30 g/10 l
)",CV Mosa Mandiri Corporation
599 ,MORTEIN 1 FU,"Di dalam dan di luar ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pembakaran)",PT Reckitt Benckiser Indonesia
600 ,"MORTEIN 0,2 AE","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus, lalat Musca domestica, semut Anoplolepis gracilipes, kecoa Blatella germanica, Periplaneta americana (Penyemprotan terbatas dan siap pakai.)",PT Reckitt Benckiser Indonesia
601 ,"MORTEIN 0,16 AE","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus, lalat Musca domestica (Penyemprotan terbatas dan siap pakai)",PT Reckitt Benckiser Indonesia
602 ,MORFIUS 500 FS,"Jagung penyakit bulai Peronosclerospora maydis 
 (Perlakuan benih 3 ml/kg benih
)",PT Agro Guna Makmur
603 ,MONUMENT 75 WG,"Lapangan golf : gulma berdaun lebar Euphorbia hirta, Hypericum japonicum, gulma berdaun sempit Axonopus compressus, teki Cyperus kylingia (Penyemprotan volume tinggi  : 22,5 - 30 g/ha)",PT Syngenta Indonesia
604 ,MONTANA 230 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
2 ml/l)",CV Artha Buana Mandiri
605 ,MONEY 865 SL,"Padi sawah : gulma berdaun lebar Monochoria vaginalis, Ludwigia octovalvis, Lindernia crustacea, teki Cyperus iria (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha)",PT Sinar General Industries
606 ,MONDO 490 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi  : 1,5 - 2 l/ha)",PT Dalzon Chemicals Indonesia
607 ,MOLUSKIL 10 GR,"Padi sawah : siput morbei Pomacea cannaliculata (Penaburan : 37,5 - 50 kg/ha)",PD Garuda
608 ,MOLTOVIN 345/35 SC,"Cabai : penyakit antraknosa Colletotrichum capsici (Penyemprotan volume tinggi : 2,25 - 3 ml/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 3 ml/l)",PT Nufarm Indonesia
609 ,MOLLIENT 75 SP,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 g/l)",PT Delta Giri Wacana
610 ,MITSUFURON 20 WG,"Padi sawah: gulma berdaun lebar Lymnocharis flava, Monochoria vaginalis (Penyemprotan volume tinggi : 15 - 30 g/ha)",PT Surat Tani
611 ,MITISUN 570 EC,"Teh: tungau jingga
Brevipalpus phoenicis (Penyemprotan volume tinggi:
0,5625 l/ha)",PT Adil Makmur Fajar
612 ,MITIGATE 18 EC,"Cabai : tungau kuning Hemitarsonemus latus (Penyemprotan volume tinggi :0,05 - 0,1 ml/l) Jeruk : tungau karat Eriohyidae spp. (Penyemprotan volume tinggi : 0,06 - 0,125 ml/l) Kentang : pengorok daun Liriomyza huidobrensis (Penyemprotan volume tinggi : 0,25 - 0,5 ml/l) Kubis : perusak daun Plutella xylostella, ulat krop Crocidolomia pavonana (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Indagro
613 ,MITIDA 200 SL,"Kayu gergajian : rayap tanah Coptotermes curvignathus (Proses vakum tekan : 2,5 ml/, retensi : 0,12 kg/m3; Peracunan tanah : 2,5 ml/l )",PT Sinar General Industries
614 ,MIPCINTA 50 WP,"Jagung : belalang Locusta sp. (Penyemprotan volume tinggi : 2 g/l ) Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi :0,75 g/l) Kedelai: lalat bibit
Agromyza sp.
Penggerek polong 
Etiella zinckenella
 (Penyemprotan volume tinggi:
2 kg/ha
) Lada: penghisap daun
Dasynus piperis
 (Penyemprotan volume tinggi:
1 kg/ha
) Padi: Hama putih palsu 
Cnaphalocrosis medinalis 
 (Penyemprotan volume tinggi:
3 g/l
) Padi: wereng hijau
Nephotetix virescens
 (Penyemprotan volume tinggi:
0,25 kg/ha
) Padi: wereng coklat
Nilaparvata lugens 
walang sangit
Leptocorisa oratorius
 (Penyemprotan volume tinggi:
2 kg/ha
)",PT Kimika Usaha Prima
615 ,MIPCINDO 50 WP,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi :1 - 2 g/l) Jagung : belalang Locusta sp. (Penyemprotan volume tinggi :2 - 4 g/l) Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 1 - 1,5 g/l) Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi :1 - 2  g/l) Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1,5 - 2 g/l) Padi : belalang Locusta sp. (Penyemprotan volume tinggi : 2 - 4 g/l )",PT Inti Everspring Indonesia
616 ,MIPCIN 50 WP,"Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 0,25 g/l) Kedelai : penggulung daun 
Lamprosema indicata (Penyemprotan volume tinggi  : 4 g/l) Kedelai: ulat grayak
Spodoptera litura (Penyemprotan volume tinggi:
2 g/l) Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi  : 2 kg/ha)",PT Petrokimia Kayaku
617 ,MIO 200 EC,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 0,5 ml/l)",CV Abadi Jaya
618 ,MILAMEX 40 SP,Cabai : ulat grayak Spodotera litura (Penyemprotan volume tinggi : 1 g/l),PT Mekar Warna Sari
619 ,MILAN 10/5 WP,"Kedelai : hama lalat bibit Ophiomya phaseoli (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Santani Agro Perkasa
620 ,MIGUEL 200 SC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
0,375 ml/l)",PT Jirona Agritama
621 ,MIATI 200 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyempotan volume tinggi : 0,75 ml/l)",PT Alishan Nusa Indah
622 ,MEXICAN 300 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT Sari Kimia Unggul
623 ,METSULINDO PLUS 80 WP,"Padi sawah : gulma berdaun lebar Monochoroa vaginalis, Marsilea crenata, Ludwigia octovalvis, teki Fimbristylis miliacea, Cyperus iria (Penyemprotan volume tinggi : 320 - 480 g/ha)",PT Inti Everspring Indonesia
624 ,METSUN 60 WG,"Budidaya padi sawah tanam pindah : gulma berdaun lebar Ludwigia hyssophyfolia, teki Cyperus iria, Fimbristyllis litoralis (Penyemprotan volume tinggi : 7,5 g/ha) Kelapa sawit (TBM) : gulma berdaun lebar Assystasia gangetica, Ageratum conyzoides, Calopogonium mucunoides, Hyptis rhomboidea (Penyemprotan volume tinggi : 30 - 60 g/ha)",PT Biotek Saranatama
625 ,METRAZINE 560 SC,"Jagung: gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, Richardia brasiliensis, Synedrella nodiflora; golongan rumput Eleusine indica, Digitaria ciliaris (Penyemprotan volume tinggi:
1,5 - 2,5 l/ha)",PT Petrosida Gresik
626 ,METRON 20 WG,"Jagung (TOT) : gulma berdaun lebar Ageratum conyzoides, Alternanthera sessilis, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris, Eleusine indica (Penyemprotan volume tinggi : 1,5 - 2,5 g/ha) Padi sawah : gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica, teki Fimbristylis litoralis (Penyemprotan volume tinggi : 15 - 20 g/ha)",PT Catur Agrodaya Mandiri
627 ,METRA UP 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar 
Chromolaena odorata
Mikania micrantha
golongan rumput
Ottochloa nodosa
Paspalum conjugatum (Penyemprotan volume tinggi: 
1,5 - 3 l/ha)",PT Sigma Utama
628 ,METPLUS 40 SP,"Kacang panjang: kutu daun
Aphis cracivora (Penyemprotan volume tinggi:
1,5 g/l)",PT Agrokimindo Kurniabuana
629 ,METINDO PLUS 42 WP,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
2 g/l)",PT Mitra Kreasidharma
630 ,METINDO 80 SL,"Bawang merah : perusak daun Spodoptera exigua (Penyemprotan volume tinggi : 3 - 4 ml/l) Jagung : lalat bibit Atherigona exigua (Penyemprotan volume tinggi : 2 - 3 ml/l) Jagung : penggerek batang Ostrinia furnacalis, penggerek tongkol Helicoverpa armigera (Penyemprotan volume tinggi : 7,5 ml/l) Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 3 - 4 ml/l) Kapas : penggerek buah Helicoverpa armigera (Penyemprotan volume tinggi : 2 - 4 ml/l) Kedelai : lalat bibit Agromyza spp, penggulung daun Lamprosema indicata, perusak daun Plusia sp., penggerek polong Etiella zinckenella (Penyemprotan volume tinggi : 1 - 2 ml/l) Teh : pengisap daun Helopeltis antonii (Penyemprotan volume tinggi  : 2 - 4 ml/l)",PT Inti Everspring Indonesia
631 ,METINDO 25 WP,"Bawang merah : perusak daun Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 g/l) Cabai : ulat buah
Helicoverpa armigera (Penyemprotan volume tinggi:
2 g/l) Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 2 - 5 g/l) Kapas : penggerek buah Heliothis armigera (Penyemprotan volume tinggi : 1 - 2 g/l) Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 - 2 g/l) Kubis : perusak daun Plutella xylostella (Penyemprotan volume tinggi : 2 - 4 g/l) Kubis : perusak daun Crocidolomia binotalis (Penyemprotan volume tinggi : 1 - 2 g/l) Teh : pengisap daun Helopeltis antonii (Penyemprotan volume tinggi : 1,25 - 2,5 g/l) Tembakau : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 - 2 g/l) Tembakau : penggerek pucuk Helicoverpa spp. (Penyemprotan volume tinggi : 0,5 - 1 g/l) Tomat : penggerek buah Heliothis armigera (Penyemprotan volume tinggi : 1 - 2 g/l)",PT Inti Everspring Indonesia
632 ,METIN 40 SP,Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 2 g/l),PT Sari Kimia Unggul
633 ,METIL-GAS 98 LG*,"Beras di penyimpanan: Sitophilus oryzae (Fumigasi:
18 g/m3) Jagung di penyimpanan: Sitophilus zeamais (Fumigasi:
18 g/m3)",PT Yanno Agro Science Indonesia
634 ,METHOX 42 SP,"Bawang merah: pengorok daun
Liriomyza huidobrensis (Penyemprotan volume tinggi:
1,5 g/l)",PT Persada Agro  Sukses
