no,nama kapal,pemilik,keterangan
57,"NEW WINNER, GENERAL PURPOSE (WO)",Waruna Group,DWT: 19161 YOB: 2000
58,"BULL KALIMANTAN, LARGE RANGE (CO)",Buana Lintas Lautan (BULL),DWT: 106548 YOB: 2002
59,"OCEANIA, LARGE RANGE (CO)",Buana Lintas Lautan (BULL),DWT: 106560 YOB: 2002
60,"BULL DAMAI 1, LARGE RANGE (CO)",Buana Lintas Lautan (BULL),DWT: 115000 YOB: 2004
61,"ERAWAN 99, LARGE RANGE (CO)",Arcadia Shipping,DWT: 105715 YOB: 1999
62,"MT Phoenix Alpha XXXV, LARGE RANGE (CO)",Soechi Group,DWT: 104707 YOB: 2003
63,"OCEAN LI, LARGE RANGE (CO)",Soechi Group,DWT: 105051 YOB: 1999
64,"SC CHAMPION XLV, LARGE RANGE (CO)",Soechi Group,DWT: 109325 YOB: 2001
65,"CSK VALIANT, LARGE RANGE (CO)",Waruna Group,DWT: 107200 YOB: 2003
66,"DEFIANCE, LARGE RANGE (CO)",Waruna Group,DWT: 105538 YOB: 2002
67,"ALPHA POINT, LARGE RANGE (CO)",Waruna Group,DWT: 106029 YOB: 2005
68,"SEABORN PETRO, LARGE RANGE (CO)",Waruna Group,DWT: 106638 YOB: 2003
69,"NECTAR, LARGE RANGE (CO)",Waruna Group,DWT: 105317 YOB: 2005
70,"PETROLEUM 115, LARGE RANGE (CO)",Suasa Benua Sukses,DWT: 109280 YOB: 2000
71,"NUSA MERDEKA, LARGE RANGE (CO)",PT Mahameru Nusa Mentari,DWT: 117709 YOB: 2003
72,"SC WARRIOR L, LARGE RANGE (WO)",Soechi Group,DWT: 105426 YOB: 1997
73,"MT.SAMBU, MEDIUM RANGE (AVTUR)",Pertamina International Shipping,DWT: 29775 YOB: 2011
74,"MT.SEI GERONG, MEDIUM RANGE (AVTUR)",Pertamina International Shipping,DWT: 29775 YOB: 2011
75,"MT.SEI PAKNING, MEDIUM RANGE (AVTUR)",Pertamina International Shipping,DWT: 29775 YOB: 2011
76,"FORTUNE GLORY XLI, MEDIUM RANGE (BO)",Soechi Group,DWT: 33540 YOB: 1997
77,"CHAMPION ONE, MEDIUM RANGE (BO)",Waruna Group,DWT: 36362 YOB: 1993
78,"EXPLORINDO 1, MEDIUM RANGE (CO)",Buana Lintas Lautan (BULL),DWT: 35751 YOB: 2001
79,"GRIYA CIREBON, MEDIUM RANGE (CO)",Humpuss,DWT: 44995 YOB: 2003
80,"MARLIN 88, MEDIUM RANGE (CO)",Arcadia Shipping,DWT: 46986 YOB: 1998
81,"SUCCESS DALIA XLVIII, MEDIUM RANGE (CO)",Soechi Group,DWT: 37419 YOB: 2001
82,"ALIA XVII, MEDIUM RANGE (CO)",Soechi Group,DWT: 35669 YOB: 2003
83,"UNION TRUST, MEDIUM RANGE (CO)",Waruna Group,DWT: 37383 YOB: 2004
84,"ARTEMIS, MEDIUM RANGE (CO)",Waruna Group,DWT: 36997 YOB: 2004
85,"GREEN PLUS, MEDIUM RANGE (CO)",Waruna Group,DWT: 37229 YOB: 2001
86,"GREEN STARS, MEDIUM RANGE (CO)",Waruna Group,DWT: 36038 YOB: 2001
87,"EMMANUEL, MEDIUM RANGE (CO)",Waruna Group,DWT: 37113 YOB: 2002
88,"TENDER HARMONY, MEDIUM RANGE (CO)",PT Global Maritim Industri,DWT: 37217 YOB: 2004
89,"NAVIGATOR ARIES, MEDIUM RANGE (LPG)",Mahameru Kencana Abadi Group,DWT: 23330 YOB: 2008
90,"NAVIGATOR GLOBAL, MEDIUM RANGE (LPG)",Mahameru Kencana Abadi Group,DWT: 16687 YOB: 2011
91,"LPG/C NAVIGATOR PLUTO, MEDIUM RANGE (LPG)",Mahameru Kencana Abadi Group,DWT: 23485 YOB: 2000
92,"DECORA, MEDIUM RANGE (LPG)",Nusantara Bright Internasional Grup,DWT: 23276 YOB: 2011
93,"MARINER EKS NAVIGATOR MARINER, MEDIUM RANGE (LPG)",Nusantara Bright Internasional Grup,DWT: 23273 YOB: 2000
94,"APODA Exs KURZEME, MEDIUM RANGE (LPG)",Nusantara Bright Internasional Grup,DWT: 17294 YOB: 1997
95,"RAGGIANA, MEDIUM RANGE (LPG)",Nusantara Bright Internasional Grup,DWT: 23479 YOB: 1997
96,"MATHRAKI, MEDIUM RANGE (LPG)",Soechi Group,DWT: 19621 YOB: 2003
97,"RATU RUWAIDAH, MEDIUM RANGE (WO)",Armada Samudra Global,DWT: 37025 YOB: 2005
98,"OLYMPUS I, MEDIUM RANGE (WO)",Buana Lintas Lautan (BULL),DWT: 34826 YOB: 2001
99,"BULL FLORES, MEDIUM RANGE (WO)",Buana Lintas Lautan (BULL),DWT: 37383 YOB: 2002
100,"PETRO SAMUDRA, MEDIUM RANGE (WO)",Buana Lintas Lautan (BULL),"DWT: 37329,9 YOB: 2004"
101,"MAHAKAMAH I, MEDIUM RANGE (WO)",Pelita Bara Samudera,DWT: 31690 YOB: 2001
102,"MT.FASTRON, MEDIUM RANGE (WO)",Pertamina International Shipping,DWT: 30770 YOB: 2005
103,"SC EXPRESS LV, MEDIUM RANGE (WO)",Soechi Group,DWT: 37270 YOB: 2001
104,"SC ESTEEM LII, MEDIUM RANGE (WO)",Soechi Group,DWT: 37320 YOB: 2003
105,"SC EXPLORER LIII, MEDIUM RANGE (WO)",Soechi Group,DWT: 37321 YOB: 2003
106,"SAAMIS ADVENTURER, MEDIUM RANGE (WO)",Waruna Group,DWT: 30929 YOB: 1996
107,"AMBERMAR, MEDIUM RANGE (WO)",Waruna Group,DWT: 31491 YOB: 2002
108,"MADONNA SUN, MEDIUM RANGE (WO)",Waruna Group,DWT: 30561 YOB: 1999
109,"SHIP TRINITY, MEDIUM RANGE (WO)",Waruna Group,DWT: 35834 YOB: 2000
110,"HIPPO, MEDIUM RANGE (WO)",Waruna Group,DWT: 45992 YOB: 1997
111,"RHONE, MEDIUM RANGE (WO)",Waruna Group,DWT: 35769 YOB: 2000
112,"AIKATERINI, MEDIUM RANGE (WO)",Waruna Group,DWT: 35769 YOB: 2001
113,"GLOBAL TOP, MEDIUM RANGE (WO)",Waruna Group,DWT: 41109 YOB: 1995
114,"OVERSEAS PETROMAR, MEDIUM RANGE (WO)",Waruna Group,DWT: 35769 YOB: 2001
115,"LOMBA MAS, MEDIUM RANGE (WO)",Waruna Group,DWT: 35841 YOB: 2000
116,"TANKER VICTORY, MEDIUM RANGE (WO)",Waruna Group,DWT: 40485 YOB: 1997
117,"TB.PERMATA POWER 1/OB PERMATA SUCCESS 5003, SATGAS (CO)",Permata Lautan Mandiri,DWT: 0 YOB: 2014
118,"TB ELANG NUSANTARA/ OB BB SAS 9, SATGAS (WO)",Armada Samudra Global,DWT: 0 YOB: 2016/2007
119,"TB. RAJAWALI NUSANTARA / OB RATU JUWITA, SATGAS (WO)",Armada Samudra Global,DWT: 0 YOB: 2016/2011
120,"TB. NURI NUSANTARA / OB. RATU INTAN, SATGAS (WO)",Armada Samudra Global,DWT: 0 YOB: 2017/2016
121,"TB.SEA MASTER/OB PATIH GAJAH MADA, SATGAS (WO)",Armada Samudra Global,DWT: 0 YOB: 2010/2010
122,"TB ALBATROSS 2/OB FLAMINGO 8, SATGAS (WO)",Odyssey Shipping Lines,DWT: 0 YOB: 2014/2007
123,"TB. ALBATROSS 5/OB. FLAMINGGO 9, SATGAS (WO)",Odyssey Shipping Lines,DWT: 0 YOB: 2014
124,"TB PANCARAN III 815/OB PMT III 815, SATGAS (WO)",Pancaran Maritim Transportindo,DWT: 0 YOB: 2017
125,"TB OCEAN POWER 02 / OB ANDALAN 02, SATGAS (WO)",Pancaran Maritim Transportindo,DWT: 0 YOB: 2013
126,"TB.PATRA 1204/OB PATRA 2304, SATGAS (WO)",Pertamina Trans Kontinental,DWT: 0 YOB: 2011/2011
127,"TB.BINTANG MAULANA 08/OB TRANSKO RANAU, SATGAS (WO)",Pertamina Trans Kontinental,DWT: 0 YOB: 2011/2016
128,"TB.OSCO IX/OB.OSCO PETRO V, SATGAS (WO)",PT. Osco Utama,DWT: 0 YOB: 1996
129,"TB.GOLDEN HAND/OB.SANCHUAN NO.1, SATGAS (WO)",Rezeki Energi Nautika,DWT: 0 YOB: 2004/2005
130,"TB MARTHA IV/OB SENTANA IV, SATGAS (WO)",Waruna Group,DWT: 0 YOB: 2012/2011
131,"TB.MEDELIN ULTRA/OB.SENTANA AGRO, SATGAS (WO)",Waruna Group,DWT: 0 YOB: 2012/2011
132,"TB OCEAN KILO/ OB SWR 1801, SATGAS (WO)",Jalur Anugerah Indonesia,DWT: 0 YOB: 1998/2015
133,"TB RP 96/ OB UDJU BESAR, SATGAS (WO)",PT Pelayaran Baharimas Kalimantan,DWT: 0 YOB: 2000/2003
134,"MARGARETHA I, SMALL - 1 (ASPHALT)",Aspindo Bahari Luas,DWT: 1305 YOB: 1995
135,"TRANSKO BIMA, SMALL - 1 (ASPHALT)",Pertamina Trans Kontinental,DWT: 4923 YOB: 2008
136,"DEWAYANI, SMALL - 1 (AVTUR)",Buana Lintas Lautan (BULL),DWT: 3560 YOB: 1999
137,"MPMT XI, SMALL - 1 (AVTUR)",Maritim Prima Mandiri,DWT: 4999 YOB: 2017
138,"MPMT XII, SMALL - 1 (AVTUR)",Maritim Prima Mandiri,DWT: 4999 YOB: 2019
139,"SRIKANDI, SMALL - 1 (AVTUR)",Parnaraya Nusantara,DWT: 3582 YOB: 1997
140,"FORTUNE SPIRIT, SMALL - 1 (AVTUR)",Soechi Group,DWT: 3636 YOB: 2018
141,"GAS INDONESIA, SMALL - 1 (LPG)",Berlian Laju Tanker (BLT),DWT: 3607 YOB: 1990
142,"AE GAS, SMALL - 1 (LPG)",Bumi Perkasa Bahtera Grup,DWT: 2601 YOB: 1995
143,"ASIAN GAS II, SMALL - 1 (LPG)",Bumi Perkasa Bahtera Grup,DWT: 2609 YOB: 1995
144,"LPG/C ELEANOR I, SMALL - 1 (LPG)",Bahari Nusantara,DWT: 4316 YOB: 1990
145,"GAS PATRA 2 Ex GAS CZAR, SMALL - 1 (LPG)",Pertamina Trans Kontinental,DWT: 3034 YOB: 1995
146,"GAS PATRA 3, SMALL - 1 (LPG)",Pertamina Trans Kontinental,DWT: 3034 YOB: 1995
147,"GAS PATRA EX LADY BARBARA, SMALL - 1 (LPG)",Pertamina Trans Kontinental,DWT: 3953 YOB: 1990
148,"GAS SOECHI XXVIII, SMALL - 1 (LPG)",Soechi Group,DWT: 4199 YOB: 1995
149,"SC DISCOVERY XLVI, SMALL - 1 (LPG)",Soechi Group,DWT: 3499 YOB: 1996
150,"GAS LAURA, SMALL - 1 (LPG)",Waruna Group,DWT: 4313 YOB: 2001
151,"JABBAR ENERGY, SMALL - 1 (LPG)",Jalur Anugerah Indonesia,DWT: 3847 YOB: 2000
152,"GAS SUASA Ex. GAS ENCHANTED, SMALL - 1 (LPG)",Suasa Benua Sukses,DWT: 0 YOB: 2006
153,"ANGGRAINI EXCELLENT Ex DASA SAMUDERA, SMALL - 1 (WO)",Adovelin Raharja,DWT: 3565 YOB: 1997
154,"BANGUN REJO EX PETRO MARINE I, SMALL - 1 (WO)",Ardila Segara Intan Lines,DWT: 3668 YOB: 2004
155,"LAMIWURI 01, SMALL - 1 (WO)",Ardila Segara Intan Lines,DWT: 3783 YOB: 2006
156,"ELISABET SATU, SMALL - 1 (WO)",Arta Samudera Line,DWT: 3500 YOB: 2017
157,"SAMUDERA BIRU 168, SMALL - 1 (WO)",Bahtera Arung Samudera,DWT: 3390 YOB: 1996
158,"DEWI SRI, SMALL - 1 (WO)",Buana Lintas Lautan (BULL),DWT: 3560 YOB: 1999
159,"NOER POPPY, SMALL - 1 (WO)",Hanlyn Jaya Mandiri,DWT: 3300 YOB: 2001
160,"KAPUAS MARINE EX AS MARINE TIGA, SMALL - 1 (WO)",Kapuas Armada Nusantara,DWT: 3500 YOB: 2013
161,"MT.JASMINE, SMALL - 1 (WO)",Bahari Nusantara,DWT: 3203 YOB: 1993
162,"MARGARET XI, SMALL - 1 (WO)",Bahari Nusantara,DWT: 5483 YOB: 1990
163,"MPMTXV, SMALL - 1 (WO)",Maritim Prima Mandiri,DWT: 4999 YOB: 2019
164,"FALCON 18, SMALL - 1 (WO)",Odyssey Shipping Lines,DWT: 2990 YOB: 1994
165,"TRANSKO ARAFURA, SMALL - 1 (WO)",Pertamina Trans Kontinental,DWT: 0 YOB: 2017
166,"PATRA TANKER 2 Ex CAMAR MAS, SMALL - 1 (WO)",Pertamina Trans Kontinental,DWT: 3502 YOB: 1998
167,"PATRA TANKER 3 Ex CAMAR SAKTI, SMALL - 1 (WO)",Pertamina Trans Kontinental,DWT: 3502 YOB: 1998
168,"SUKSES GLOBAL, SMALL - 1 (WO)",Rezeki Energi Nautika,DWT: 3794 YOB: 2006
169,"MAHOGANI BANDA, SMALL - 1 (WO)",Segara Laju Perkasa,DWT: 4164 YOB: 2017
170,"GEGER LINTANG, SMALL - 1 (WO)",Segara Laju Perkasa,"DWT: 4163,9 YOB: 2016"
171,"ANGELIA XVI, SMALL - 1 (WO)",Soechi Group,DWT: 3545 YOB: 1995
172,"PRIBUMI, SMALL - 1 (WO)",Tridarma Wahana,DWT: 3726 YOB: 1995
173,"TRIAKSA 17, SMALL - 1 (WO)",Tridarma Wahana,DWT: 0 YOB: 2017
174,"OLYVIA, SMALL - 2 (AVTUR)",Sumber Kencana Patria,DWT: 7224 YOB: 2009
175,"Andhika Vidyanata, SMALL - 2 (AVTUR)",Adnyana,DWT: 6698 YOB: 2018
176,"BAHARI MAJU I, SMALL - 2 (AVTUR)",PT Pelayaran Bahari Maju,DWT: 5306 YOB: 2014
177,"TRANSKO TAURUS, SMALL - 2 (BO)",Pertamina Trans Kontinental,DWT: 6299 YOB: 2009
178,"GAS ARTEMIS, SMALL - 2 (LPG)",Arcadia Shipping,DWT: 4999 YOB: 1995
179,"GAS NURI ARIZONA, SMALL - 2 (LPG)",Samudera Shiping Services,DWT: 5590 YOB: 1995
