no,Nama Perusahaan,Alamat,Telepon,Komoditi
8409,"FERRON PAR FARMACEUTICALS, PT","Jl. Jababeka  Vi Blok  J N (009b), Bekasi, Jawa Barat",,Farmasi
8410,FERRON PAR PHARMACEUTICALS PT,"Kawasan Industri Jababeka I Jl. Jababeka Vi Blok J No. 3, Bekasi, Jawa Barat",,Farmasi
8411,"FERTILINDO AGROLESTARI, CV","Jl. Raya Mojosari-trawas Km. 5, Desa Mojorejo, Mojokerto, Jawa Timur",0321 - 598456,Pupuk Organik
8412,FERYAL SARUNG TENUN,"Jl. Banjir Kanal I No. 2, Surakarta, Jawa Tengah",,Sarung Tenun
8413,FESTO PT,"Jl. Jababeka Vii B, Bekasi, Jawa Barat",,Komponen Otomotive
8414,"FESTO, PT","Jl. Jababeka  Vii B, Bekasi, Jawa Barat",,Komponen Automotif
8415,FETRA BABY SET,"Jl. Raya Bukittinggi-payakumbuh Km. 7, Agam, Sumatera Barat",,Kasur Bayi/baby Set
8416,"FEVA INDONESIA, PT","Jl. Raya Banyuglugur Km. 145, Situbondo, Jawa Timur",853362,Hotmix Dan Beton
8417,FI RDPACIFIC INTERNATIONAL,"Jl. Babe Palar, Bitung, Sulawesi Utara",,Ikan Kaleng
8418,FIANS BORDIR,"Desa Darmakradenan, Banyumas, Jawa Tengah",815639,Kebaya Bordir
8419,FIBER ,"Jl. Re Soemanta Diredja, Bogor, Jawa Barat",,Bemper Mobil
8420,"FIBER GLASS AQUARIUS, PT","Jl. Pangeran Sogiri, Bogor, Jawa Barat",251 - 8313888,Fiber Glass
8421,FIBER GLASS PT ,"Kebon Singkong Dusun 1 Satriajaya, Bekasi, Jawa Barat",,Tangki Air
8422,"FIBERBOAT INDONESIA, PT","Safe And Lock Blok V1 3257 Lingkar Timur, Sidoarjo, Jawa Timur",,Kapal
8423,"FIBERINDO INTI PRIMA, PT","Jl. Raya Serang Km 12, Tangerang, Banten",021 -,Benang Pintal
8424,"FIBERINDOMAS CEMERLANG, PT","Jl. Industri Keroncong No. 2, Tangerang, Banten",021 - 590077,Kapas Sintetis
8425,FIBERTECH INTERNUSA PT,"Kampung Rawaningkik, Bogor, Jawa Barat",,Tangki Fiber
8426,"FIBRITE FIBREGLASS, PT","Jl. Tanjung Sanyang No.5-6, Jakarta Timur, DKI Jakarta",021 - 809387,Kapal Fiber/fiberglass
8427,FICAPINDO SENTOSA JAYA PT,"Kp Kembang Kuning, Bogor, Jawa Barat",,Genteng Asbes
8428,FIDHA BORDIR,"Perum Kalirejo Permai H6, Pasuruan, Jawa Timur",813923,Jasa Mukena
8429,"FILADELFIA, CV","Jl. Tanjung Merah, Bitung, Sulawesi Utara",,Pembekuan Ikan
8430,"FILAMENDO SAKTI, PT","Jl. Gajah Tunggal, Tangerang, Banten",021 - 590130,Benang Celup
8431,"FILAMENINDO LESTARI TEXTILE, PT","Kampung Cipandan Rt.04/04  Km. 3, Bandung, Jawa Barat",022 - 794900,Kain Grey
8432,"FILASTA INDONESIA (PT. DJARUM), PT","Jl. Raya Kudus-jepara Km. 6,5, Kudus, Jawa Tengah",,Sigaret Kretek
8433,"FILASTA INDONESIA, PT","Jl.  Kudus-jepara Km. 7, Kudus, Jawa Tengah",,Rokok Kretek
8434,"FILCO, PT","Desa Langon Rt 07 Rw 04, Jepara, Jawa Tengah",,Furniture
8435,"FILET IKAN  ""AJ"" (AYAMTO)","Jl. Raya Sigandu Rt. 01/04, Batang, Jawa Tengah",,Filet Ikan
8436,FILET IKAN  ,"Jl. Blanak No. 07 B-2, Tegal, Jawa Tengah",,Fillet Ikan
8437,FILET IKAN (HERMANTO),"Jl. Raya Sigandu Rt. 02/04, Batang, Jawa Tengah",,Filet Ikan
8438,FILET IKAN ,"Jl. Wangsa-kecipir, Brebes, Jawa Tengah",,Ikan Gesek Kapasan
8439,FILET IKAN ARDHA JAYA,"Alasdowo Rt. 06 Rw. 03, Pati, Jawa Tengah",,Daging Ikan
8440,FILET IKAN HAK PUTRA,"Jl. Yos Sudarso Kr Utara Wukirsari, Batang, Jawa Tengah",,Filet Ikan
8441,FILET IKAN JP SYAHPUTRA ,"Jl. Yos Sudarso Wukirsari, Batang, Jawa Tengah",,Filet Ikan Giling
8442,FILET IKAN ROJIUN,"Jl. Yos Sudarso Kr Utara Wukirsari, Batang, Jawa Tengah",,Filet Ikan
8443,"FILET IKAN ROJIUN/ RJS, UD/ UD TAMBA","Jl. Yos Sudarso, Karangasem Utara, Wukirsari, Batang, Jawa Tengah",,Filet Ikan Kuniran
8444,"FILET SBA (SINAR BAHARI ASRI), UD","Jl. Yos Sudarso Boom Batang, Batang, Jawa Tengah",,Filet Ikan
8445,"FILET SBA (SINAR BAHARI ASRI), UD (BP.","Jl. Yos Sudarso Boom Batang  Dk. Wungkirsari Karangasem Ut, Batang, Jawa Tengah",,Fillet Ikan Segar
8446,"FILL SURYA MEGAH, PT","Jl. Berbek Industri Ii/5, Sidoarjo, Jawa Timur",843197,Kulit Domba/kambing
8447,FILLET < HJ. ASIH >,"Kluwut, Brebes, Jawa Tengah",,Daging Ikan Fillet
8448,FILLET AGUS MUNIP,"Desa Kluwut, Brebes, Jawa Tengah",858701,Ikan Giling Kuniran
8449,FILLET ANI JAENAL,"Jl. Layang, Tegal, Jawa Tengah",081 - 542003,Fillet Ikan
8450,FILLET ANI JAENAL,"Jl. Layang, Tegal, Jawa Tengah",,Ikan Asin
8451,FILLET IKAN  ,"Jl. Jongor, Tegal, Jawa Tengah",,Filet Ikan
8452,FILLET IKAN < AGUS MUNIP >,"Kluwut, Brebes, Jawa Tengah",,Fillet Ikan
8453,FILLET IKAN ,"Jl. Blanak No. 18 Tpi Pelabuhan, Tegal, Jawa Tengah",,Ikan Fillet
8454,FILLET IKAN ,"Jl. Blanak No. 20, Tegal, Jawa Tengah",,Ikan Filet
8455,FILLET IKAN CARIMAH,"Jl. Blanak Kompleks Ppp Jongor Blok D, Tegal, Jawa Tengah",0283 - 352452,Fillet Ikan
8456,FILLET IKAN CARITI,"Jl. Blanak Komplkes Ppp Blok B Jongor, Tegal, Jawa Tengah",0283 - 342173,Fillet Ikan
8457,FILLET IKAN CAROL,"Jl. Blanak Komplek Ppp Blok D Jongor, Tegal, Jawa Tengah",818039,Fillet Ikan
-,-,-,-,-
8459,FILLET IKAN ERLIN,"Jl. Layang No. 76, Tegal, Jawa Tengah",0878 - 300011,Fillet Ikan
8460,FILLET IKAN IMAM SADRA,"Jl. Yos Sudarso Utara, Batang, Jawa Tengah",,Fillet Ikan
8461,FILLET IKAN JAYA MAJU (JM) ZA,"Jl. Yos Sudarso, Batang, Jawa Tengah",,Fillet Ikan Segar
8462,FILLET IKAN KASANAH,"Jl. Jongor No. 27, Tegal, Jawa Tengah",081 - 902735,Fillet Ikan
8463,FILLET IKAN KEMI,"Jl. Jongor Blok D 22-23, Tegal, Jawa Tengah",877303,Fillet Ikan
8464,FILLET IKAN MIDI (JP SAPUTRA),"Jl. Yos Sudarso, Batang, Jawa Tengah",,Filet Ikan Kuniran
8465,FILLET IKAN MITRI,"Jl. Blanak (belakang Kud Karya Mina), Tegal, Jawa Tengah",0878 - 302840,Fillet Ikan
8466,FILLET IKAN NUR,"Bakalan Rt. 08 Rw. 01, Pati, Jawa Tengah",,Daging Ikan
8467,FILLET IKAN NURAENI/YUYUNG,"Jl. Jongor No.3, Tegal, Jawa Tengah",878300,Filet Ikan
8468,FILLET IKAN SAIFUL,"Alasdowo Rt 04 Rw 04, Pati, Jawa Tengah",,Daging Ikan
8469,FILLET IKAN SODIKIN,"Desa Kluwut, Brebes, Jawa Tengah",858692,Vilet Ikan Coklatan
8470,FILLET IKAN SUKEROH CAROL,"Jl. Blanak Kompleks Ppp Jongor, Tegal, Jawa Tengah",818309,Fillet Ikan
8471,FILLET IKAN TANIJAH,"Jl. Jongor Blok D No. 23, Tegal, Jawa Tengah",0283 - 341224,Fillet Ikan
8472,FILLET IKAN UMI,"Jl. Blanak No. 18, Tegal, Jawa Tengah",857270,Fillet Ikan
8473,FILLET IKAN VILLA KURNIA BAHA,"Jl. Yos Sudarso Gang Singa, Batang, Jawa Tengah",,Filet Ikan
8474,FILLET IKAN WARYUNI,"Desa Kluwut, Brebes, Jawa Tengah",878301,Vilet Ikan Coklatan
8475,FILLET IKAN WASTO,"Jl. Jongor No. 16, Tegal, Jawa Tengah",0857 - 427678,Fillet Ikan
8476,FILLET IKAN ZAENAL ARIFIN (IPIN),"Jl. Yos Sudarso, Batang, Jawa Tengah",,Fillet Iakn
8477,FILLET SEMBILAN PUTRA JAYA,"Jl. Yos Sudarso Seturi, Batang, Jawa Tengah",,Ikan Awetan
8478,FILLET SUKEMI,"Jl. Jongor No. 28-29d, Tegal, Jawa Tengah",877309,Fillet Ikan
8479,FILLET WASJANUDIN ,"Jl. Layang Gg. 7 No. 8, Tegal, Jawa Tengah",81902737444,Fillet Ikan
8480,FILLOMATIC GLOBAL INDUSTRIES,"Jl Industri Selatan 3a Blok Gg 2c, Bekasi, Jawa Barat",,Mesin Pembungkus
8481,"FILLOMATIC GLOBAL INDUSTRIES , PT","Jl. Berbek Industri Vii/i, Sidoarjo, Jawa Timur",,Robot Mesin Industri
8482,FILMA MALANG,"Jl. Raya Tlogomas 33, Jawa Timur, Jawa Timur",,Filter Rokok
8483,"FILMA UTAMA SOAP, PT","Jl. Gresik 1-3-5, Surabaya, Jawa Timur",031 - 352585,Hand Body
8484,"FIMACO, CV","Jl. Krakatau K-5 Perum Puri Indah, Tuban, Jawa Timur",,Pupuk Organik
8485,"FIMACO, CV","Jl. Raya Merakurak- Montong Km. 6, Tuban, Jawa Timur",,Pupuk Organik/petroganik
8486,"FIN KOMODO TEKNOLOGI, PT","Jl. Kolonel Masturi 106-a Warung Muncang, Cimahi, Jawa Barat",,Mobil Nasional Pedesaan
8487,"FINA 99, UD","Jl. Abdullah Silondae Lingkungan 1, Konawe Selatan, Sulawesi Tenggara",,Kepiting Rajungan
8488,FINA GRAFIKA PRATAMA,"Jl. Kebon Jeruk Raya No.60a, Jakarta Barat, DKI Jakarta",021 - 532288,Percetakan Digital
8489,"FINAUSOL PRIMA FARMA INTERNASIONAL, PT","Jl. Raya Bekasi Km. 28,5, Bekasi, Jawa Barat",,Cairan Infus
8490,"FINDECO JAYA, PT","Jl. Raya Bekasi Km. 20 Kip, Jakarta Timur, DKI Jakarta",021 - 460292,Kimia
8491,"FINDORA INTERNUSA, PT","Jl. Pahlawan No.66 Desa Arjawinangun, Cirebon, Jawa Barat",0231 - 357334,Kursi Rotan
8492,"FINDOTAMA LESTARI, PT","Jl. Raya Pangkaln Ii Rt. 01/01 No. 111, Bogor, Jawa Barat",0251 -,Mebeul
8493,"FINE CONCEPT FURNITURE, PT","Desa Bawu Rt. 40/rw. 08, Jepara, Jawa Tengah",,Furniture
8494,"FINE PRECISION, PT","Komp. Lobindo Industrial Park No. 3, B A T A M, Kepulauan Riau",,Perakitan Komponen Sepeda
8495,"FINE SINTER INDONESIA, PT","Blok E 1-6 Tt  Techno Park Kim Ii, Karawang, Jawa Barat",,Suku Cadang Kendaraan R 2 Dan 4
8496,"FINEXCO PRIMA, PT","Rt. 03 Rw. 07, Kudus, Jawa Tengah",,Calcium Carbonat
8497,"FINEXCO PRIMA, PT","Jl. Gunung Gangsir Km. 28, Pasuruan, Jawa Timur",0343 - 631868,Kalsium Carbonate
8498,"FININDO BATAM, PT","Komplek Harbour View Blok A No.07, B A T A M, Kepulauan Riau",0778 - 458130,Sirip Ikan Hiu Beku
8499,"FININDO FOODS INDONESIA, PT","Jl. Ir H Juandano 40, Bandung, Jawa Barat",022 - 420362,Sambal
8500,"FININDO, CV","Jl. Pekojan Raya, Jakarta Barat, DKI Jakarta",,Pakaian Jadi
8501,FINISHING KASTURI,"Jl. Ratu Kalinyamat, Jepara, Jawa Tengah",,Finishing Mebel
8502,FINISHING MEBEL (SAIFUL),"Dukuh Randusari Rt. 03 Rw. 01, Jepara, Jawa Tengah",,Finishing Furniture
8503,FINISHING MEBEL ZAINUL A,"Desa Jambu Rt. 01 Rw. 01, Jepara, Jawa Tengah",,Finishing Mebel
8504,FINISHING MURDIYANTO ,"Jl. Ratu Kalinyamat Rt. 02 Rw. 05, Jepara, Jawa Tengah",,Insdustri Mebel
8505,FINISHING SINAR DUNIA,"Desa Jambu Rt.02 Rw. 01, Jepara, Jawa Tengah",,Finishing Mebel
8506,"FINISHING, CV","Jl. Kepu Timur Dalam No.38c, Jakarta Pusat, DKI Jakarta",021 - 428787,Percetakan Brosur
8507,FINUSOL PRIMA FARMA INTERNASIONAL PT,"Jl. Raya Bekasi Km. 285, Bekasi, Jawa Barat",,Alat Kesehatan 
8508,"FIRA UTAMA PERKASA ENGINERING, PT","Jl. Utama Iii No. 8 Rt02/02 Sewan Sinar Rawa Kucing, Tangerang, Banten",021 - 551342,Jasa Bubut Mesin Cruisher
8509,"FIRAFIT, PT/FINE RATTAN FURNITURE, PT","Jl. Wicaksana, Pasuruan, Jawa Timur",0343 - 656131,Meubel
8510,"FIRDAUS AMIN, INDUSTRI LAMMING","Jl. A Koro Maroanging, Wajo, Sulawesi Selatan",852422,Tabire/lamming
8511,FIRDAUS PRATAMA,"Desa Wono Sari Rt. 01 Rw. 01, Lampung Timur, Lampung",,Kue Kacang Umpat
8512,FIRDILA ZENAB,"Kp Bobojong, Bandung, Jawa Barat",,Konveksi Pakaian Jadi Kaos Dan Kemeja
8513,"FIRMA INDONESIA, PT","Jl. Gunung Sahari Raya No.17a, Jakarta Pusat, DKI Jakarta",021 - 639717,Kemeja Priia
