no,Nama Perusahaan,Alamat,Telepon,Komoditi
1, KOTA UDANG,"Jl. Kalijaga No. 36, Cirebon, Jawa Barat",0231 - 209057,Sohun
2,"""BUDI"" (CAP JEMPOL/UNTA)","Jl. Kh Zainal Arifin, Cirebon, Jawa Barat",,Soun
3,"""CHANDRA KIRANA""/ INTAN SEJATI","Jl. Ki Beledug Jaya, Cirebon, Jawa Barat",,Soun
4,"""GAOS P""","Jl. Buyut, Cirebon, Jawa Barat",,Sohun
5,"""HASAN""","Jl. Bandengan, Cirebon, Jawa Barat",,Soun
6,"""IRAWAN/IRWAN""","Jl. Leiwung, Cirebon, Jawa Barat",,Soun
7,"""PRIMA""/PERINA","Jl. Suparjo Rustam Km. 4, Banyumas, Jawa Tengah",,Mie Dan Snack
8,"""ROCHYADI""/ DARMA KARYA","Jl. Ki Bledug Jaya, Cirebon, Jawa Barat",,Soun
9,"""SA"" SUGIH AREN. AGUS","Kp Pasir Baros  Campaka Malangbong, Garut, Jawa Barat",,Bahan Sapu Injuk
10,"""SA"" SUGIH AREN. AGUS","Kp Pasir Baros  Campaka Malangbong, Garut, Jawa Barat",,Bahan Sapu Injuk
11,"""SUMBER SARI""","Jl. Desa Luwung, Cirebon, Jawa Barat",0231 - 510318,Soun
12,(NENG TIA),"Kp.cirorek, Garut, Jawa Barat",,Cimol
13,101 PRINTING,"Jl. Simpang Suropati Timur No. 47, Malang, Jawa Timur",,Percetakan Offset
14,"13 PUTRA, PD","Jl. Bendungan, Cirebon, Jawa Barat",,Garam Kristal
15,1368 PT,"Jl. Yos Sudarso No. 72 Lingkungan Tanjung, Banyuwangi, Jawa Timur",,Ikan Kering
16,"160 GOURMET CITRA MAKMUR, PT","Wijaya 2 No. 122 Jalan, Jakarta Selatan, DKI Jakarta",,Roti Dan Kue
17,2 M ADVERTISING,"Jl. Arif Rahman Hakim, Lampung, Lampung",,Papan Reklame
18,2 SIDE (ARYANI),"Desa Karangjati Rt. 12, Sragen, Jawa Tengah",,Pakaian Jadi
19,"3 KENCANA, CV","Kawasan Industri Terboyo Blok G No. 39, Semarang, Jawa Tengah",,Thiner
20,3 SINTERNATIONAL PT ,"Kapuk Kencana No. 8a-b, Jl., Jakarta Utara, DKI Jakarta",,Alat Ukur Peserget
21,"3D NETWORK INDONESIA, PT","Jl. Letjen S Parman Kav 106 A, Jakarta Barat, DKI Jakarta",,Penyedia Alat-alat It
22,"3M INDONESIA, PT","Jl. Diponegoro Tambun, Bekasi, Jawa Barat",,Alat Kedokteran 3m Scotch
23,486 JEANS,"Kp. Bobojong, Bandung, Jawa Barat",,Jaket Jeans
24,"52 SUPER FOOD, PT","Jl. Kebon Manis 100 Mangunsari, Semarang, Jawa Tengah",024 - 707910,Roti
25,555,"Dusun Umbulrejo Rt.04 Rw. Iii, Banyuwangi, Jawa Timur",0333 - 592517,Kerupuk
26,"689, PT","Jl. Raya Deandles Kemantren, Lamongan, Jawa Timur",,Pembekuan Ikan
27,"7SEVEN, PT","Desa Pulodarat Rt.10 Rw. 02, Jepara, Jawa Tengah",0291 - 751001,Furniture
28,"99, CV","Dusun Iii Tinakin Laut, Banggai Laut, Sulawesi Tengah",0462 - 21001,Filet
29,,"Jl. Yos Sudarso No. 4a, Binjai, Sumatera Utara",,Makanan Ringan
30,"A  ONE PRECISION ENGINEERING, PT","Jl. Asoka Lot Sd 62-63 Biie, Bintan, Kepulauan Riau",0770 - 696188,Komponen Otomotif Dan Elektronik
31,"A & K DOOR INDONESIA, PT","Jl. Permata Raya Lot C 38, Bekasi, Jawa Barat",,Wooden Door
32,"A J  RASMA MULIA, PT","Jl. Kembang Rogo, Palu, Sulawesi Tengah",0451 - 470592,Sirtu
33,A KARTA WIJAYA,"Jl. Karta Miharja No.44, Bandung, Jawa Barat",022 - 604061,Alat-alat Dapur
34,"A PLUS PACIFIC/ A HONG, PT","Jl. Prof Dr.ir Soetami Km. 6, Lebak, Banten",0252 - 528283,Internit/papan Gypsum
35,"A SURYA SEJAHTERA ALAMI, CV","Jl. Industri No.56 Rt.02/01, Malang, Jawa Timur",,Rokok Kretek
36,"A&K DOOR INDONESIA, PT/ABE KOGYO  INDO","Kawasan Industri Kiic, Karawang, Jawa Barat",0267 - 640948,Wooden Door
37,"A&P INDUSTRY INDONESIA, PT","Jl. Jababeka Vi Blok J-5a Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 -,Komponen Tv
38,"A. AMIN FURNITURE, CV","Desa Mambak Rt. 03 Rw. 04, Jawa Tengah, Jawa Tengah",,Furniture
39,"A. SHULMAN PLASTICS, PT","Jl. Surabaya-malang Desa Ngerong, Pasuruan, Jawa Timur",0343 - 854240,Master Bacth
40,A.R.G.S (JAKET TOURING  SYAMSUDIN),"Kampung Rawa, Garut, Jawa Barat",,Jaket Touring
41,AA,"Jl. Mayjen Sungkono Gang 3, Malang, Jawa Timur",0341 - 723986,Rokok Kretek Tangan
42,AA TEKNIK,"Dukuh Rambat, Desa Banaran, Sragen, Jawa Tengah",,"Bis Beton, Batako"
43,AA TEX,"Kp Sukaeurih, Jawa Barat, Jawa Barat",,Kain Asahi
44,AALBORG INDUSTRI PT ,"Rawa Sumur, Jakarta Timur, DKI Jakarta",,Boiler
45,AAN MIE/ MIE YY,"Jl. Paniis No. 2, Sumedang, Jawa Barat",585222,Mie Pedas
46,"AARTI JAYA, PT/PT. UNITRA MANDIRI KNIT","Jl. Kopo Bihbul Km. 6.5 No.12, Bandung, Jawa Barat",022 - 543132,"Jaket,sajadah"
47,AAS PASBER/ SUPER PASBER,"Jl. Pelabuan Ii Km. 9 Lio Cipeundeuy, Sukabumi, Jawa Barat",816987,Genteng Dan Bata Merah
48,ABA COLECTION,"Jl. Kh Abdul Fatah Gang. I Rt4/3, Tulungagung, Jawa Timur",0355 - 770723,Kaos Trening
49,"ABACUS CASH SOLUTION, PT","Dusun Binangun, Sidoarjo, Jawa Timur",,Brankas
50,"ABACUS KENCANA INDAH, PT","Ejip Plot 3b No. 3, Bekasi, Jawa Barat",021 -,Sheet Metal
51,"ABADI  KEMBANG API, PT","Jl. Kalijaten 71-a, Sidoarjo, Jawa Timur",031 - 787871,Mercon Kembang Api
-,-,-,-,-
53,ABADI ADI MULYA PT,"Jl. Gharu Blok F5 No.1, Bekasi, Jawa Barat",21 - 89907660,Kemsan Plastik
54,"ABADI AKSARA, PT","Jl. Dr Krt Radjiman Widyodiningrat, Jakarta Timur, DKI Jakarta",021 - 460926,Dos/layer
55,"ABADI BARINDO AUTOTECH, PT","Jl. Raya Purwosari No. 1 Km. 61, Pasuruan, Jawa Timur",0343 - 613700,Fiber Board/preboard
56,"ABADI BETON PERKASA, PT","Jl. Pulau Sumatera, Medan, Sumatera Utara",,Beton Siap Pakai (readymix)
57,ABADI CV ,"Kalijudan 35, Surabaya, Jawa Timur",31 - 3814397,Perhiasan Perak & Kuningan
58,ABADI ELTIGA/SATU FOAM PT,"Jl. Raya Narogong Km. 7, Bekasi, Jawa Barat",21 - 8250390,Aksesories Garment
59,"ABADI GENTENG, PT","Dusun 4, Majalengka, Jawa Barat",,Genteng
60,ABADI JAYA GARMEN,"Dk. Mijahan Rt.5, Sragen, Jawa Tengah",,Jasa Pakaian
61,"ABADI JAYA GARMENT, UD","Dukuh Kwangen Desa Ngembat Padas, Sragen, Jawa Tengah",,Jasa Pakaian
62,"ABADI JAYA MANUNGGAL, PT","Jl. Raya Nolokerto  Km. 19, Kendal, Jawa Tengah",024 - 866556,Besi Beton Polos
63,"ABADI JAYA PLATIK,  CV","Jl. Semarang-purwodadi Km. 17 Kembangarum, Demak, Jawa Tengah",024 - 673545,Plastik
64,ABADI JAYA PUTRA,"Jalan Ka Bachowi Purbalingga Lor, Purbalingga, Jawa Tengah",,Knalpot Mobil
65,"ABADI JAYA SENTOSA, PT","Jl. Kh. Wahid Hasyim Ii, Kudus, Jawa Tengah",0291 - 437761,Ambree Jarum
66,"ABADI KUKRNIA CITRA RASA, PT","Wilis Jl., Malang, Jawa Timur",,Roti
67,"ABADI KURNIA CITRA RASA, PT","Jl. Hayam Wuruk No. 79, Kediri, Jawa Timur",,Roti Holland
68,"ABADI KURNIA CITRA RASA, PT","Jl. Kertajaya No. 63, Surabaya, Jawa Timur",031 - 503318,Roti
69,"ABADI LEBEL, CV","Jl. Ibu Karees No. 270 C, Bandung, Jawa Barat",,Polyester Buttons
70,"ABADI MAKMUR PERKASA, PT","Jl. Raya Cikande Rangkas Bitung Km. 15, Serang, Banten",,Bata Ringan
71,"ABADI MURNI, CV","Jl. Wiyorowetan Rt. 04 Rw. 05, Jawa Tengah, Jawa Tengah",,Celana Panjang
72,"ABADI NILON, PT","Jl. Raya Sukodono, Sidoarjo, Jawa Timur",,Terpal
73,"ABADI NYLON ROPE  FISHING NET MANU, PT","Jl. Ketegan 42-44 Sepanjang, Sidoarjo, Jawa Timur",031 - 788105,Aneka Industri Tenun Plastik
74,"ABADI PELAMPUNG, PT","Rungkut Industri 3/48, Surabaya, Jawa Timur",,Pelampung Plastik
75,"ABADI PERDANA, PT","Jl. Rungkut Industri Ii/8, Surabaya, Jawa Timur",031 - 843771,Minyak Goreng
76,ABADI PLASINDO PT,"Jl. Paralon, Bandung, Jawa Barat",,Kantong Plastik
77,"ABADI PLASTIK, PT","Jl. Paralon I No. 2, Bandung, Jawa Barat",,Plastik
78,ABADI PRIMA LESTARI,"Jl. Raya Rancaekek-majalaya Kp. Sukarame, Bandung, Jawa Barat",,Tekstil
79,"ABADI PRIMA, UD","Jl. Margomulyo 68 A -b, Surabaya, Jawa Timur",31 - 7490630,Kayu Olahan
80,ABADI PT,"Jl. H Nilam Kampung Rawajulang, Bekasi, Jawa Barat",,Plastik
81,ABADI PUTRA PERDANA PT,"Jl. Raya, Bekasi, Jawa Barat",,Karton Box
82,"ABADI PUTRA PERDANA, PT","Jl. Raya  Telajung Rt. 01/04, Bekasi, Jawa Barat",,Karton Box
83,"ABADI SALIM ANGGADA, CV","Jl. Moh. Toha, Tangerang, Banten",021 - 593162,Kancing  Plastik
84,"ABADI SEJAHTERA MULIA, PT","Kp. Telagasari, Tangerang, Banten",,Kayu Olahan
85,"ABADI SENTOSO, PT","Jl. Raya Sumengko, Gresik, Jawa Timur",031 - 897616,Karton Box
86,"ABADI STABOPER, PT","Rawa Buaya No. 7, Jakarta Barat, DKI Jakarta",21 - 5401895,Buku Tulis
87,"ABADI TIGA MANDIRI, CV","Kompleks Stain Rt. 006/01 Batumerah, Ambon, Maluku",,Air Minum Dalam Kemasan
88,"ABADI, PD","Jl. Mekar Sari Abadi No. 46, Bandung, Jawa Barat",022 - 756312,Kerupuk
89,"ABADI, UD","Jl. Raya Situbondo No. 50, Situbondo, Jawa Timur",0338 - 891163,Beras
90,"ABADI,UD","Jl. Kol Sugiono 3e No. 12 Rt.3.rw.3, Pasuruan, Jawa Timur",0343 - 420584,Onderdil Sepeda Motor
91,ABADI.PT,"Pergudangan Miami Blok 03 No. 17, Jakarta Barat, DKI Jakarta",,Karton Box
92,"ABADI/KAHAPTEX, PT","Jl. Jembatan Besi I No. 8, Jakarta Barat, DKI Jakarta",021 - 634475,Kemeja
93,ABAH DESIGN,"Jl. Rayabanjaran, Karawang, Jawa Barat",,Kartu Undangan
94,"ABAI SIAT RAYA, PT","Jl. Raya Padang-painan Km. 9 Sungai Beremas, Padang, Sumatera Barat",0751 - 62079,Crumb Rubber Sir-20
95,ABANK IRENK,"Jl. Sukoharjo No. 136 B Gejayan, Sleman, D.I. Yogyakarta",,Buku Tahunan Sekolah
96,"ABAS, H/ANEKA MEUBEL, PT","Jl. Kutamaneh Rt. 33/xvii Kp. Gn. Guruh Rt. 31/15, Sukabumi, Jawa Barat",0266 - 212409,Tempat Tidur Dari Kayu
97,ABASATEK,"Jl. Sukamanah No.4, Bandung, Jawa Barat",022 - 595157,Kain Blacu
98,"ABASI, PT","Jl. H. Nilam Rawajulang, Bekasi, Jawa Barat",,Plastik
99,"ABASON BABY PROD IND, PT","Jl. Raya Driyorejo, Gresik, Jawa Timur",031 - 707366,Botol Plastik & Dot
100,"ABB SAKTI INDUSTRI, PT","Blok Dd 11 Kawasan Industri Mm 2100, Bekasi, Jawa Barat",021 - 286454,Mcb
101,"ABB SAKTI INDUSTRI, SERVICE AND WORKSH","Jl. Gajah Tunggal Km. 10, Tangerang, Banten",,Motor Listrik
102,"ABB, PT","Cikalong Sari, Karawang, Jawa Barat",,Glukosa
103,"ABB, PT","Cikalong Sari, Bekasi, Jawa Barat",,Glukosa
104,ABBERSA PRTAMA GLASS PT,"Jl Raya Narogong Km 115, Bekasi, Jawa Barat",,Tempered Glasa Dan Insulation Glass
105,"ABBOTT INDONESIA, PT","Jl. Raya Jakarta Bogor Km. 37, Depok, Jawa Barat",021 - 875173,Obat
106,"ABC BETON INDONESIA, PT","Jl. Besar Bangun Purba Dusun 4, Deli Serdang, Sumatera Utara",,Batu Pecah 
107,ABC PLASTIK,"Jl. Keputran Gg. 2 No. 4, Pekalongan, Jawa Tengah",0285 - 422447,Kantong Plastik
108,"ABC PLASTINDO, PT","Pergudangan Sentra Kosambi Blok J2 No. 23, Tangerang, Banten",,Biji Plastik
109,ABC PRESIDENT  ENTERPRISE PT,"Dusun Mangga Besar Ii, Karawang, Jawa Barat",267 - 436464,Tas
110,"ABC PRESIDENT  ENTERPRISE, PT","Dusun Mangga Besar Ii, Karawang, Jawa Barat",0267 - 431422,Mie Instan
111,"ABC, CV","Dusun Sempon, Magelang, Jawa Tengah",0293 - 310031,Paving Block
112,ABD HADI,"Pesisir Prenduan , Dsn, Sumenep, Jawa Timur",,Pengeringan Ikan
113,ABD. ROCHIM,"Dusun Krajan, Pasuruan, Jawa Timur",0343 - 744793,Pengrajin Perak
114,"ABDI ARIP DUTA PRIMA, PT","Kp Jatake Rt. 007 Rw. 02, Tangerang, Banten",,Genteng
115,"ABDI BANGUN CEMERLANG, PT (ABC)","Jl. Yos Sudarso No. 170 Teluk Betung, Bandar Lampung, Lampung",,Karoseri
116,"ABDI BUDI MULIA, PT","Desa Teluk Panji, Labuhan Batu Selatan, Sumatera Utara",,Minyak Mentah Kelapa Sawit
117,"ABDI BUDI MULIA, PT","Desa Tanjung Mulia, Sumatera Utara, Sumatera Utara",,Cpo
118,"ABDI JAYA,PR","Jl. Kyai Parseh Jaya No. 35a, Jawa Timur, Jawa Timur",,Rokok Kretek Tangan (ski)
119,ABDI METAL PRAKARSA PT,"Jl Radar Auri, Depok, Jawa Barat",,Gir Motor
120,ABDI TANI,"Jl. Raya Gumuk No. 95, Banyuwangi, Jawa Timur",0333 - 892299,Beras Giling
121,"ABDI, UD","Dusun Madyorenggo, Malang, Jawa Timur",,Snack Sereal
122,ABDUL AZIS,"Pengaletan Rt. 04/06 , Dsn, Pasuruan, Jawa Timur",852325,Ikan Trasak Kering
123,ABDUL BASLI BTR UD,"Jl. Lintas Timur Sipolu Polu, Mandailing Natal, Sumatera Utara",,Lemari
124,ABDUL CHOLIQ,"Jl. Botoran Barat, Tulungagung, Jawa Timur",,Sprei
125,ABDUL JALIL LAYANGAN,"Wonorejo Rt. 02 Rw. 02, Pasuruan, Jawa Timur",,Kerangka Layangan
126,"ABDUL MUKTI, KONVEKSI","Talunrejo, Rt. 03 Rw.04 , Dsn, Banyuwangi, Jawa Timur",0333 - 396976,Baju Seragam Sekolah
127,ABDUL ROKHIM,"Dukuh Mijen Rt. 04/ 06, Kudus, Jawa Tengah",,Gamis
128,"ABEBERSA PRATAMA, PT","Jl. Raya Narogong Km. 11.5, Bekasi, Jawa Barat",021 - 825008,Kaca Decorative
129,"ABHIRAMA KRESNA, PT","Jl. Ry Solo-wonogiri  Km. 21, Sukoharjo, Jawa Tengah",0271 - 707280,Plywood
130,"ABI ELANG INDO, PT","Jl. Kaliurang Km. 9,3 No. 77, Sleman, D.I. Yogyakarta",0274 - 882760,"Meja, Kursi, Kabinet, Rak"
131,"ABI MULYA KASMAN, UD","Dusun Plosorejo, Jombang, Jawa Timur",,Sepatu Laki-laki
132,"ABICAM, PT","Jl. Sultan Hasanudin, Balikpapan, Kalimantan Timur",812547,Ready Mix
133,"ABIDIN PUTRA JAYA, CV","Jl. Balige No. 17, Medan, Sumatera Utara",,Percetakan Kertas
134,"ABIEL ARCHIPELAGO PERSADA, PT","Jl. Bayu No.19, Sukoharjo, Jawa Tengah",,Kayu Olahan
135,"ABIMANYU SEKAR NUSANTARA, PT","Cikopo, Jawa Barat, Jawa Barat",,Jasa Painting Plastik
136,"ABIOSO, UD","Jl. Kenteng Tlatar Km. 1,5, Boyolali, Jawa Tengah",0276 - 334668,"Plywood, Barecore"
137,"ABLY METAL INDONESIA, PT","Jl. Mas Surya Negara Kav-1b No.12 Kawasan Industri Kabil, B A T A M, Kepulauan Riau",0778 - 711971,Scrap Metal
138,ABN PT,"Jl. Kopo Bihbul No. 86 B, Bandung, Jawa Barat",,Alat Kesehatan
139,"ABN, PT","Jl. Kopo Bihbul No. 86 B, Bandung, Jawa Barat",,Alat Kesehatan
140,ABON ABADI,"Jl. Raya Blotongan No. 123, Salatiga, Jawa Tengah",0298 - 327646,Abon Sapi Dan Abon Ayam
141,ABON FORTUNA,"Jl. Watubelang No.5 Pamot, Jawa Tengah, Jawa Tengah",,Abon Sapi
142,ABON INDRA,"Tangkisan, Boyolali, Jawa Tengah",,Abon Sapi
143,ABON JUARA,"Jl. Talang Tirto, Pancuran, Salatiga, Jawa Tengah",,Abon
144,ABON JUARA JUARA FOOD INDUSTRI,"Jl. Jend Sudirman No. 339, Salatiga, Jawa Tengah",0298 - 324060,Abon Sapi Dan Abon Ayam
145,ABON UNTUNG SUHARDI,"Kali Tengah, Boyolali, Jawa Tengah",276 - 331177,Abon Sapi
146,"ABON WINOTO ""99""","Jl. Besuki Rt. 02/03 Dk Besuki Ds Tanduk, Boyolali, Jawa Tengah",0276 - 331216,Abon Sapi
147,"ABP, UD","Jl. Ngingas Selatan Baru, Sidoarjo, Jawa Timur",,Bagasi Tangga Sepeda Motor
148,ABRASIK PT,"Kp Poncol, Bekasi, Jawa Barat",,Logam
149,"ABRASIK, PT","Lp. Poncol, Bekasi, Jawa Barat",,Logam
150,ABS,"Jl. Karya Km. 9 Kampung Lembah Rantau, Tanjung Pinang, Kepulauan Riau",853768,Batu Bata
151,ABU BAKAR FURNITURE,"Desa Pekalongan Rt. 02/ Rw. 03, Jepara, Jawa Tengah",,Jasa Finishing
152,"ACC ADVERTISING, CV","Jl. Sutomo No. 33 D, Medan, Sumatera Utara",,Reklame
153,ACC GRAFIK RAYA,"Jl. Mangga Dua Raya No.2f, Jakarta Barat, DKI Jakarta",,Hasil Cetakan
154,"ACC, UD","Jl. Kyai Tambak Deres No. 94 B, Surabaya, Jawa Timur",031 - 381072,Mesin Paving
155,"ACCASIA NUSANTARA INDAH, PT/ MULTI IN","Jl. Krikilan Km. 28, Gresik, Jawa Timur",031 - 750762,Meubeller/furniture
156,"ACCENT HOUSE, CV","Desa Troso Rt. 05 Rw. 08, Jepara, Jawa Tengah",,Mebel Jati
157,ACCESORIES SEPATU / ANEKA FORTU,"Jl. Pasir Raya Wedi Meiko Abadi, Sidoarjo, Jawa Timur",,Asesoris Sepatu
158,ACCESORIS MOTOR < HASAN BASRI>,"Dusun Krajan Selatan, Pasuruan, Jawa Timur",,Asesoris Sepeda Motor
159,"ACCO MAS PERTIWI, PT","Jl. Meruya Utara Raya No. 63, Jakarta Barat, DKI Jakarta",021 - 585241,Fastoner
160,"ACCU ""DUA SEKAWAN""","Jl. Imam Bonjol No. 21 Gg.usaha Ii, Tangerang, Banten",021 - 552421,Accu
161,"ACCUPIX INDONESIA, PT","Jababeka Tahap 2 Blok Kk, Bekasi, Jawa Barat",,"Radio Televisi, Kacamata Hdm"
162,"ACE INDUSTRIES INDONESIA, PT","Blok D Ii/07 Komp. Repindo Industrial Park, Batam, Kepulauan Riau",0778 - 413086,Kemasan Dari Kertas Dan Karton
163,"ACE MOLD TECH, PT","Jl. Industri Selatan I Blok Oo No. 1e Jababeka Ii, Bekasi, Jawa Barat",021 - 893784,Molading/mola Base
164,"ACE OLDFIELDS, PT","Jl. Raya Cileungsi-jonggol Km. 2.5, Bogor, Jawa Barat",021 - 821012,Chip Brush
165,"ACEH MEDIA GRAFIKA, PT","Jl. Raya Lambaro Km. 4,5 Tanjung Permai, Manyang Pa, Aceh Besar, Nanggroe Aceh Darussalam",,Harian Serambi Indonesia
166,"ACEH UNGGAS MANDIRI, PT","Jl. Mohd Hasan  Lampeuneurut, Aceh Besar, Nanggroe Aceh Darussalam",,Rumah Potong Unggas
167,"ACEMOLD TECH, PT","Kp. Bitung, Bekasi, Jawa Barat",,Molding
168,ACEN KONFEKSI,"Jl. Kebon Jahe Pasar Alam, Jakarta Barat, DKI Jakarta",21 - 54374330,Celana Dalam Pria 
169,"ACEPLAS INDONESIA, PT","Excecutive Blok C2 No.15, Batam, Kepulauan Riau",,Pakaian Jadi
170,"ACHIKIKI AUTOPARTS INDONESIA, PT","Jl. Maligi 4 Kawasan Industri Kiic Lot M/5, Karawang, Jawa Barat",0267 - 645404,Komponen Kendaraan Roda Dua
171,"ACHMADI PASCA PERINTIS, PT","Jl. Mayjend Sungkono No.11, Gresik, Jawa Timur",,Kayu
172,"ACI ""H.M ENOCH""/CIKUJANG, PA","Dusun Cisetra, Sumedang, Jawa Barat",085317945033,Tapioka
173,ACI BANGKIT,"Desa Nangkod, Purbalingga, Jawa Tengah",,Aci
174,"ACI BERKAH, UD","Dusun Kemiri Rt. 03 Rw. 03, Dusun Kemiri, Jlamprang, Wonosobo, Jawa Tengah",,Tepung Tapioka
175,ACI BK KOYUN,"Jl. Perintis Kemerdekaan Km. 4,5, Tasikmalaya, Jawa Barat",0265 - 334152,Tapioka Halus
176,ACI DERMA JAYA,"Jl. 11 April Km. .11, Sumedang, Jawa Barat",207246,Tapioka
177,ACI DERMA JAYA,"Jl. Terusan 11 April Km. 12, Sumedang, Jawa Barat",,Sagu/aci
178,ACI GANEAS/ACI KARTAWIJAYA,"Jl. Raya Ganeas Km.7, Sumedang, Jawa Barat",0261 - 201715,Tapioka
179,ACI NARSIN NARSITO,"Dusun Karangjoho Rt. 03/01, Purbalingga, Jawa Tengah",,Aci Ubi Kayu
180,ACI SINGKONG H. BAHRUDIN,"Kampung Parung Ponteng Rt. 01/07, Bogor, Jawa Barat",,Sagu Singkong
181,ACI USAHA BERSAMA,"Desa Panunggalan, Purbalingga, Jawa Tengah",812287,Aci Ubi Kayu
182,"ACINTI PRIMA, PT","Jl. Pengantin Ali No. 40a, Jakarta Timur, DKI Jakarta",,Minuman Sari Buah
183,"ACON INDONESIA, PT","Jl. Interchange Dawuan No.88, Karawang, Jawa Barat",0264 - 838717,Bata
184,"ACT METAL INDONESIA, PT","Jl. Maligi Vi Lot E6 Kiic, Karawang, Jawa Barat",,Jasa Platign Otomotif
185,ACTAVIS INDONESIA PT,"Jl. Tb Simatupang Kav 22-26, Jakarta Selatan, DKI Jakarta",,Dumocyclin
186,"ACTAVIS, PT","Jl. Raya Bogor Km. 28, Jakarta Timur, DKI Jakarta",021 - 871031,Obat
187,"ACTEM, PT/ACRYL TEXTIL MILLS, PT","Jl. Raya Moch .toha Km. 1, Tangerang, Banten",021 -,Acrylic 100%
188,"ACTEX TEXTILE MILLS, PT","Jl. Lengkong Kecil No.5, Bandung, Jawa Barat",,Grey Fabrics
189,"ACTIVE MARINE INDUSTRIES, PT","Jl. Sei Binti Tanjunguncang, B A T A M, Kepulauan Riau",077 - 735509,Shipyard Dan Repair
190,"ACTMETAL INDONESIA, PT","Kiic, Karawang, Jawa Barat",,Plating And Coating
191,AD PRINT,"Jl. Simpang Hasanuddin No. 108, Banjarmasin, Kalimantan Selatan",,Percetakan Outdoor Media
192,"ADA BARU METAL PERKASA,  PT","Jl. Mahar Martanegara, Cimahi, Jawa Barat",,Pembuatan Spart Part Motor
193,"ADA MEBELINDO, PT/ BELLA SPRING BED","Jl. Raya Sambanlor 32, Sidoarjo, Jawa Timur",031 - 896696,Spring Bed
194,ADA PLASTIK,"Jl. Simo Kwagean 22, Surabaya, Jawa Timur",031 - 534370,Barang Olahan Dari Plastik
195,ADAJAYA CHEMICAL/BINTANG CHEMICAL INDO,"Jl. Kamal Raya No.8, Jakarta Barat, DKI Jakarta",021 - 550680,Cat Dan Sejenisnya
196,"ADAM PUTRA, PB/RAHMAT, HULLER","Blok Penyingkiran, Indramayu, Jawa Barat",,Beras
197,ADANG WILMAN/YAYAT,"Jl. Raya Laswi No. 80, Bandung, Jawa Barat",022 - 595104,Kain Cetak
198,"ADAS SEJAHTERA, PT","Desa Labuan Lelea, Donggala, Sulawesi Tengah",0451 - 491369,Tambang Galian C
199,"ADCO PAKIS MAS, PT","Jl. Raya Pakis Wonosari Km. 4, Jawa Tengah, Jawa Tengah",0272 -,Sepatu
200,"ADDITON KARYA SEMBADA, PT","Desa Lemahbang, Pasuruan, Jawa Timur",0343 - 632529,Additon He
201,ADE CARMO,"Kampung Rancawaas Rt.03 Rw. 09, Bandung, Jawa Barat",,Waring
202,ADE KONVEKSI,"Dusun Sukamaju, Ciamis, Jawa Barat",,Pakaian Jadi
203,ADE MULYA,"Rangdu Utara, Jawa Barat, Jawa Barat",,Beras
204,"ADE PRIATNA SUNDA JAYA,CV","Jl. Sukapura No.38/133b, Bandung, Jawa Barat",022 - 731271,Tutup Botol
205,"ADE TEXTILES INDUSTRIES, PT","Jl. Raya Banjaran No. 590, Bandung, Jawa Barat",022 - 594185,Kain Dyeing  Printing
206,"ADE, SE","Kp Cibeber Iv Desa Cibeber Ii, Bogor, Jawa Barat",,Bata Merah
207,"ADEE ""ROSNAH YAHYA""","Jl. Babussalam Gang Meuraksa, Dusun Meuraksa Barat, Pidie Jaya, Nanggroe Aceh Darussalam",813605,Kue Basah (kue Adee)
208,"ADEHA METALINDO, PT","Jl. Angsana Raya Kav,a5-6 Kawasan Industri Delta Silicon, Bekasi, Jawa Barat",021 - 897302,Barang Logam
209,"ADEI CRUMB RUBBER INDUSTRY, PT","Jl. Imam Bonjol No. 239, Tebing Tinggi, Sumatera Utara",0621 - 21492,Crumb Rubber Sir 20
210,"ADEI PLANTATION  INDUSTRY, PT/MKCP","Jl. Raya Pekanbaru-duri Km. 101, Bengkalis, Riau",0765 - 91711,Pko
211,"ADEI PLANTATION AND INDUSTRY, PT","Jl. Lintas Timur, Pelalawan, Riau",0761 - 571885,Cpo (crude Palm Oil)
212,"ADEI PLANTATION AND INDUSTRY, PT/MPOM","Jl. Raya Pekanbaru-duri Km. 101, Bengkalis, Riau",0765 - 91867,Cpo (crude Palm Oil)
213,ADEI PLANTATION DAN INDUSTRI NILO POM2,"Desa Sungai Buluh, Pelalawan, Riau",,Cpo (crude Palm Oil)
214,"ADEK, USAHA KACANG TOJIN","Jl. Bhineka Tunggal Ika No. 1, Jorong Tanjung Alai, Pasaman, Sumatera Barat",,Kacang Tojin
215,ADELA GARMEN,"Jl. Kemlaten Xi/3, Surabaya, Jawa Timur",031 - 766132,Jasa Jahit Pakaian
216,"ADEM AYEM, UD","Jl. Raya Jember No. 1, Banyuwangi, Jawa Timur",0333 - 631207,Beras Biasa Giling
217,"ADEMIX PRICAST, PT","Jln Acces Road Inalum, Batu Bara, Sumatera Utara",,Readymix
218,"ADETEX, PT","Jl. Dayang Sumbi No. 4, Bandung, Jawa Barat",,"Benang, Kain Grey, Kain Jadi"
219,"ADHI BANDONO LESTARI, PT","Jl. Raya Pait Km. 10, Pekalongan, Jawa Tengah",0285 - 425425,Kain Batik Printing
220,"ADHI CANDRA/ ABADI CANDRA JAYA, PT","Jl. Gatot Subroto Km. 4, Tangerang, Banten",021 - 551792,Spare Part Otomotif
