no,title,year,certificate,run time,genre,rating,description,director and actor,vote,release date
23,Small Engine Repair,2021,R,102,"Comedy, Drama, Thriller",6.6,"
Events spin wildly out of control when three lifelong friends agree to do a favor on behalf of the brash young woman they all adore.","Director:
John Pollono
| 
    Stars:
Jon Bernthal, 
Shea Whigham, 
Jordana Spiro, 
John Pollono",1867,"DVD/Blu-ray Release Date: Tuesday, Dec. 21"
24,Antlers,2021,D17+,99,"Drama, Horror, Mystery",5.9,"
In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.","Director:
Scott Cooper
| 
    Stars:
Keri Russell, 
Jesse Plemons, 
Jeremy T. Thomas, 
Graham Greene",22511,"VOD Release Date: Tuesday, Dec. 21DVD/Blu-ray Release Date: Tuesday, Jan. 4"
25,C'mon C'mon,2021,R,109,Drama,7.6,"
When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.","Director:
Mike Mills
| 
    Stars:
Joaquin Phoenix, 
Gaby Hoffmann, 
Woody Norman, 
Scoot McNairy",12997,"VOD Release Date: Thursday, Dec. 23"
26,Mass,2021,PG-13,111,Drama,7.7,"
Aftermath of a violent tragedy that affects the lives of two couples in different ways.","Director:
Fran Kranz
| 
    Stars:
Jason Isaacs, 
Martha Plimpton, 
Ann Dowd, 
Reed Birney",7091,"VOD Release Date: Tuesday, Dec. 28DVD/Blu-ray Release Date: Tuesday, Jan. 11"
27,Castle Falls,2021,Unrated,90,"Action, Drama, Thriller",5.2,"
Rival gangs seek out millions of dollars hidden inside a luxury condominium that's scheduled to be demolished, but first they have to deal with the janitor who found the loot first.","Director:
Dolph Lundgren
| 
    Stars:
Scott Adkins, 
Dolph Lundgren, 
Vas Sanchez, 
Scott Hunter",1124,"DVD/Blu-ray Release Date: Tuesday, Dec. 28"
28,Mayday,2021,Unrated,100,"Drama, Fantasy, Mystery",4.0,"
Ana is transported to a dreamlike and dangerous land where she joins an army of girls engaged in a never-ending war. Though she finds strength in this exhilarating world, she realizes that she's not the killer they want her to be.","Director:
Karen Cinorre
| 
    Stars:
Grace Van Patten, 
Mia Goth, 
Soko, 
Havana Rose Liu",911,"DVD/Blu-ray Release Date: Tuesday, Dec. 28"
29,Ghostbusters: Afterlife,2021,SU,124,"Adventure, Comedy, Fantasy",7.3,"
When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Director:
Jason Reitman
| 
    Stars:
Carrie Coon, 
Paul Rudd, 
Finn Wolfhard, 
Mckenna Grace",103261,"VOD Release Date: Tuesday, Jan. 4"
30,American Siege,2021,R,100,"Action, Thriller",3.6,"
An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.","Director:
Edward Drake
| 
    Stars:
Bruce Willis, 
Rob Gough, 
Timothy V. Murphy, 
Johann Urb",684,"VOD Release Date: Friday, Jan. 7"
31,The Kindred,2021,Unrated,94,Thriller,4.7,"
A woman suffering from amnesia pieces together the events that led to her father's suicide, only to be haunted by the ghosts of children that she begins to suspect were murdered by him.","Director:
Jamie Patterson
| 
    Stars:
April Pearson, 
Samantha Bond, 
James Cosmo, 
Patrick Bergin",323,"VOD Release Date: Friday, Jan. 7"
32,Dune: Part One,2021,SU,155,"Action, Adventure, Drama",8.1,"
Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Director:
Denis Villeneuve
| 
    Stars:
Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",469699,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
33,Halloween Kills,2021,D17+,105,"Horror, Thriller",5.6,"
The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.","Director:
David Gordon Green
| 
    Stars:
Jamie Lee Curtis, 
Judy Greer, 
Andi Matichak, 
James Jude Courtney",64340,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
34,Spencer,2021,R,117,"Biography, Drama",6.8,"
During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.","Director:
Pablo Larraín
| 
    Stars:
Kristen Stewart, 
Timothy Spall, 
Jack Nielen, 
Freddie Spry",34587,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
35,Billions,2016– ,18+,60,Drama,8.4,"
New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances only one thing's for certain - wealth means war.","Stars:
Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile",86349,"Season 5 DVD/Blu-ray Release Date: Tuesday, Jan. 11"
36,Cobra Kai,2018– ,13+,30,"Action, Comedy, Drama",8.6,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Stars:
Ralph Macchio, 
William Zabka, 
Xolo Maridueña, 
Courtney Henggeler",156310,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
37,Heart of Champions,2021,PG-13,119,"Drama, Sport",5.6,"
During their last year at an Ivy League college in 1999, a group of friends and crew teammates' lives are changed forever when an army vet takes over as coach of their dysfunctional rowing team.","Director:
Michael Mailer
| 
    Stars:
Michael Shannon, 
Alexander Ludwig, 
Charles Melton, 
Alex MacNicoll",491,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
38,Ich bin dein Mensch,2021,R,108,"Comedy, Drama, Romance",7.1,"
In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy.","Director:
Maria Schrader
| 
    Stars:
Maren Eggert, 
Dan Stevens, 
Sandra Hüller, 
Hans Löw",5339,"DVD/Blu-ray Release Date: Tuesday, Jan. 11"
39,The Addams Family 2,2021,SU,93,"Animation, Adventure, Comedy",5.4,"
The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters. Sequel to the 2019 animated film, 'The Addams Family'.","Directors:
Greg Tiernan, 
Conrad Vernon, 
Laura Brousseau, 
Kevin Pavlovic
| 
    Stars:
Oscar Isaac, 
Charlize Theron, 
Chloë Grace Moretz, 
Javon 'Wanna' Walton",8817,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
40,Last Night in Soho,2021,D17+,116,"Drama, Horror, Mystery",7.1,"
An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.","Director:
Edgar Wright
| 
    Stars:
Thomasin McKenzie, 
Anya Taylor-Joy, 
Matt Smith, 
Diana Rigg",81496,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
41,Animal Kingdom,2016–2022,18+,60,"Crime, Drama",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","Stars:
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole",32269,"Season 5 DVD/Blu-ray Release Date: Tuesday, Jan. 18"
42,Annie Live!,2021 TV Movie,Unrated,127,"Comedy, Drama, Family",6.0,"
A young orphan opens the heart of billionaire Sir Oliver ""Daddy"" Warbucks.","Directors:
Lear Debessonet, 
Alex Rudzinski
| 
    Stars:
Celina Smith, 
Harry Connick Jr., 
Taraji P. Henson, 
Nicole Scherzinger",2053,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
43,Dynasty,2017– ,16+,42,Drama,7.3,"
Follows two of America's wealthiest families as they feud for control over their fortune and their children.","Stars:
Elizabeth Gillies, 
Rafael de la Fuente, 
Robert Christopher Riley, 
Sam Adegoke",20415,"Season 4 DVD/Blu-ray Release Date: Tuesday, Jan. 18"
44,Red Stone,2021,Unrated,97,"Crime, Drama, Mystery",5.4,"
A dangerous hitman (Neal McDonough) is tasked with hunting down a teenager who witnessed the murder of his older brother at the hands of a ruthless Southern crime lord (Michael Cudlitz). ...                See full summary »
","Director:
Derek Presley
| 
    Stars:
Neal McDonough, 
Michael Cudlitz, 
Alexandria DeBerry, 
Dominic Scott Kay",885,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
45,Riverdale,2017– ,18+,45,"Crime, Drama, Mystery",6.7,"
While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Stars:
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse, 
K.J. Apa",136410,"Season 5 DVD/Blu-ray Release Date: Tuesday, Jan. 18"
46,The Dry,2020,R,117,"Crime, Drama, Mystery",6.9,"
Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.","Director:
Robert Connolly
| 
    Stars:
Eric Bana, 
Genevieve O'Reilly, 
Keir O'Donnell, 
John Polson",20282,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
47,Titane,2021,R,108,"Drama, Horror, Sci-Fi",6.7,"
Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","Director:
Julia Ducournau
| 
    Stars:
Vincent Lindon, 
Agathe Rousselle, 
Garance Marillier, 
Laïs Salameh",28881,"DVD/Blu-ray Release Date: Tuesday, Jan. 18"
48,Moffie,2019,Unrated,104,"Drama, Romance, War",6.8,"
A young man in 1981 South Africa must complete his brutal and racist two years of compulsory military service while desperately maintaining the secrecy of his homosexuality.","Director:
Oliver Hermanus
| 
    Stars:
Kai Luke Brummer, 
Barbara-Marié Immelman, 
Michael Kirch, 
Remano De Beer",2767,"DVD/Blu-ray Release Date: Tuesday, Jan. 25"
