no,rank,character,animeography,mangaography,favorites
1,1,"Lamperouge, Lelouch","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps']","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hankou no Suzaku', 'Code Geass: Nightmare of Nunnally']",149848
2,2,Levi,"['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin Season 3', 'Shingeki no Kyojin Season 3 Part 2']","['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin: Kuinaki Sentaku - Prologue', 'Shingeki no Kyojin']",125429
3,3,"Lawliet, L","['Death Note', 'Death Note: Rewrite']","['Death Note', 'Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken', 'L Change the WorLd']",115275
4,4,"Monkey D., Luffy","['One Piece', 'One Piece Movie 1', 'One Piece Movie 2: Nejimaki-jima no Daibouken']","['One Piece', 'Wanted!', 'Cross Epoch']",109038
5,5,"Roronoa, Zoro","['One Piece', 'One Piece Movie 1', 'One Piece Movie 2: Nejimaki-jima no Daibouken']","['One Piece', 'Cross Epoch', 'One Piece Log Book Omake']",87916
6,6,"Okabe, Rintarou","['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu']","['Steins;Gate', 'Steins;Gate: Boukan no Rebellion', 'Steins;Gate: Hiyoku Renri no Sweets Honey']",85446
7,7,"Yagami, Light","['Death Note', 'Death Note: Rewrite']",['Death Note'],85246
8,8,"Zoldyck, Killua","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island']",['Hunter x Hunter'],83917
9,9,"Elric, Edward","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections']","['Fullmetal Alchemist', 'Fullmetal Alchemist', 'Full Metal Alchemist: Prototype']",80627
10,10,"Uzumaki, Naruto","['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!']","['Naruto', 'Naruto: Shiro no Douji, Keppu no Kijin', 'Naruto']",74182
11,11,"Sakata, Gintoki","['Gintama', 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi', 'Gintama: Shiroyasha Koutan']","['Gintama', '3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",66064
12,12,Guts,"['Kenpuu Denki Berserk', 'Berserk: Ougon Jidai-hen I - Haou no Tamago', 'Berserk: Ougon Jidai-hen II - Doldrey Kouryaku']",['Berserk'],59364
13,13,"Makise, Kurisu","['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu']","['Steins;Gate', 'Steins;Gate: Hiyoku Renri no Sweets Honey', 'Steins;Gate: Shijou Saikyou no Slight Fever']",58928
14,14,"Uchiha, Itachi","['Naruto: Shippuuden - Sunny Side Battle', 'Naruto', 'Naruto: Shippuuden']","['Naruto Hiden Series', 'Naruto Shinden Series', 'Naruto']",56623
15,15,"Yeager, Eren","['Shingeki no Kyojin', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin Picture Drama']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",53696
16,16,"Ackerman, Mikasa","['Shingeki no Kyojin', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin Picture Drama']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",50095
17,17,"Hikigaya, Hachiman","['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku']","['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.']",48389
18,18,"Kaneki, Ken","['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re']","['Tokyo Ghoul', 'Tokyo Ghoul', 'Tokyo Ghoul']",45187
19,19,Rem,"['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Break Time', 'Re:Petit kara Hajimeru Isekai Seikatsu']","['Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",43252
20,20,Saitama,"['One Punch Man', 'One Punch Man: Road to Hero', 'One Punch Man Specials']",['One Punch-Man'],42647
21,21,"Hatake, Kakashi","['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!']","['Naruto', 'Naruto Hiden Series', 'Naruto Shinden Series']",42156
22,22,"Spiegel, Spike","['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues']","['Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",41070
23,23,"Gojou, Satoru","['Jujutsu Kaisen', 'Jujutsu Kaisen (TV)', 'Jujutsu Kaisen 0 Movie']","['Jujutsu Kaisen', 'Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou']",39670
24,24,"Kirigaya, Kazuto","['Sword Art Online', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Extra Edition']","['Sword Art Online', 'Sword Art Online: Aincrad', 'Sword Art Online: Material Edition']",38369
25,25,"Senjougahara, Hitagi","['Bakemonogatari', 'Bakemonogatari Recap', 'Monogatari Series: Second Season']","['Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",38041
26,26,Yato,"['Noragami', 'Noragami OVA', 'Noragami Aragoto']","['Noragami', 'Noragami: Shuuishuu', 'Noragami: Awase Kagami']",37768
27,27,Megumin,"['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! 2']","['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!']",37640
28,28,"Joestar, Joseph","['JoJo no Kimyou na Bouken: Adventure', 'JoJo no Kimyou na Bouken', 'JoJo no Kimyou na Bouken (TV)']","['JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu', 'JoJo no Kimyou na Bouken']",35706
29,29,"Mustang, Roy","['Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: The Sacred Star of Milos Specials', 'Fullmetal Alchemist']","['Fullmetal Alchemist', 'Fullmetal Alchemist']",34016
30,30,"Morow, Hisoka","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island']",['Hunter x Hunter'],33933
31,31,Zero Two,['Darling in the FranXX'],"['Darling in the FranXX', 'Darling in the FranXX!']",33861
32,32,"Sakurajima, Mai","['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama']","['Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai', 'Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai']",33578
33,33,"Oshino, Shinobu","['Kizumonogatari I: Tekketsu-hen', 'Nisemonogatari', 'Monogatari Series: Second Season']","['Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Monogatari Series: Final Season']",31256
34,34,Kamina,"['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!', 'Tengen Toppa Gurren Lagann Movie 1: Gurren-hen']","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Gurren Gakuen-hen', 'Tengen Toppa Gurren Lagann 4-koma Kingdom: Yoko no Oheso-hen']",30772
35,35,"Aisaka, Taiga","['Toradora!', 'Toradora!: SOS! Kuishinbou Banbanzai', 'Toradora!: Bentou no Gokui']","['Toradora!', 'Toradora!', 'Toradora Spin-off!']",30739
36,36,Emilia,"['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Break Time', 'Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow']","['Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",30528
37,37,Saber,"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction']","['Fate/stay night', 'Take Moon', 'Fate/Zero']",29917
38,38,"Dazai, Osamu","['Bungou Stray Dogs', 'Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Dead Apple']","['Bungou Stray Dogs', 'Bungou Stray Dogs Wan!', 'Bungou Stray Dogs']",28923
39,39,"Evergarden, Violet","['Violet Evergarden', 'Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou', 'Violet Evergarden Movie']",['Violet Evergarden'],28484
40,40,"Gasai, Yuno","['Mirai Nikki', 'Mirai Nikki (TV)', 'Mirai Nikki: Redial']","['Mirai Nikki', 'Mirai Nikki: Redial', 'Mirai Nikki']",28108
41,41,"Onizuka, Eikichi","['Great Teacher Onizuka', 'Shonan Junai Gumi!']","['GTO', 'Bad Company', 'Shonan Junai Gumi!']",27758
42,42,"Yuuki, Asuna","['Sword Art Online', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Extra Edition']","['Sword Art Online', 'Sword Art Online: Aincrad', 'Sword Art Online: Material Edition']",27568
43,43,"Araragi, Koyomi","['Bakemonogatari', 'Bakemonogatari Recap', 'Kizumonogatari I: Tekketsu-hen']","['Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",27023
44,44,"Reigen, Arataka","['Mob Psycho 100', 'Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha', 'Mob Psycho Mini']","['Mob Psycho 100', 'Reigen: Reikyuuchi Max 131 no Otoko']",26855
45,45,Holo,"['Ookami to Koushinryou', 'Ookami to Koushinryou II', 'Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu']","['Ookami to Koushinryou', 'Ookami to Koushinryou', 'Shinsetsu Ookami to Koushinryou: Ookami to Youhishi']",26081
46,46,"Kurosaki, Ichigo","['Bleach', 'Bleach: Memories in the Rain', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach', 'Bleach: Letters From the Other Side']",25903
47,47,"Uchiha, Sasuke","['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!']","['Naruto', 'Naruto: Shiro no Douji, Keppu no Kijin', 'Uchiha Sasuke no Sharingan Den']",25801
48,48,Alucard,"['Hellsing', 'Hellsing Ultimate', 'Hellsing: Digest for Freaks']","['Hellsing', 'Hellsing: The Dawn', 'Hellsing']",25670
49,49,"Todoroki, Shouto","['Boku no Hero Academia 2nd Season', 'Boku no Hero Academia the Movie 2: Heroes:Rising', ""Boku no Hero Academia the Movie 3: World Heroes' Mission""]","['Boku no Hero Academia', 'Boku no Hero Academia Smash!']",25058
50,50,Sanji,"['One Piece', 'One Piece Movie 2: Nejimaki-jima no Daibouken', 'One Piece Movie 3: Chinjuu-jima no Chopper Oukoku']","['One Piece', 'Cross Epoch', 'One Piece Log Book Omake']",24900
51,51,"Midoriya, Izuku","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']","['Boku no Hero Academia', 'Boku no Hero Academia Smash!', 'Boku no Hero Academia: Yuuei Hakusho']",24473
52,52,C.C.,"['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Recaps', 'Code Geass: Hangyaku no Lelouch R2']","['Code Geass: Hangyaku no Lelouch', 'Chibi Geass: 4-koma no Lelouch', 'Code Geass: Hangyaku no Lelouch']",23893
53,53,"Souryuu, Asuka Langley","['Neon Genesis Evangelion', 'Neon Genesis Evangelion: Death & Rebirth', 'Neon Genesis Evangelion: The End of Evangelion']","['Neon Genesis Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",23580
54,54,"Miyazono, Kaori","['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Moments']","['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Coda']",23348
55,55,"Orihara, Izaya","['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou']","['Durarara!!', 'Durarara!!', 'Durarara!! Comic Anthology: Duralove!!']",23332
56,56,"Son, Gokuu","['Dragon Ball', 'Dragon Ball GT', 'Dragon Ball Movie 1: Shen Long no Densetsu']","['Dragon Ball', 'Cross Epoch', 'Jump Super Stars']",23286
57,57,"Toosaka, Rin","['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction']","['Fate/stay night', 'Fate/kaleid liner Prisma☆Illya', 'Fate/stay night: Comic Battle']",22571
58,58,"Oreki, Houtarou","['Hyouka', 'Hyouka: Motsubeki Mono wa']","['Koten-bu Series', 'Hyouka']",22042
59,59,"Dragneel, Natsu","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Fairy Tail+']",21764
60,60,"Akemi, Homura","['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari']","['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica: Anthology Comic']",21637
61,61,"Smith, Erwin","['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin', 'Shingeki no Kyojin OVA']","['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou']",21498
62,62,"Bakugou, Katsuki","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']","['Boku no Hero Academia', 'Boku no Hero Academia: Deku & Bakugou:Rising']",21316
63,63,"Michaelis, Sebastian","['Kuroshitsuji', 'Kuroshitsuji Recap', 'Kuroshitsuji II']","['Kuroshitsuji', 'Kuroshitsuji Anthology Comic: Nijishitsuji']",21293
64,64,"Kuujou, Joutarou","['JoJo no Kimyou na Bouken: Adventure', 'JoJo no Kimyou na Bouken', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']","['JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'JoJo no Kimyou na Bouken Part 6: Stone Ocean']",21268
65,65,"Yukinoshita, Yukino","['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku']","['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.']",20952
66,66,"Kamado, Tanjirou","['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu Gakuen: Valentine-hen']","['Kimetsu no Yaiba', 'Kimetsu no Yaiba: Shiawase no Hana', 'Kimetsu no Yaiba: Kataha no Chou']",20728
67,67,"Fujiwara, Chika","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic']","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",20352
68,68,Kurapika,"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter Pilot']","['Hunter x Hunter', 'Hunter x Hunter: Kurapika Tsuioku-hen']",19478
69,69,"Shinomiya, Kaguya","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic']","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",19130
70,70,"Kageyama, Shigeo","['Mob Psycho 100', 'Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha', 'Mob Psycho Mini']",['Mob Psycho 100'],19023
71,71,"Ayanokouji, Kiyotaka","['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)']","['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: √Horikita']",18901
72,72,"Freecss, Gon","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island']",['Hunter x Hunter'],18888
73,73,Askeladd,['Vinland Saga'],['Vinland Saga'],18839
74,74,"Saiki, Kusuo","['Saiki Kusuo no Ψ-nan (ONA)', 'Saiki Kusuo no Ψ-nan', 'Saiki Kusuo no Ψ-nan 2']","['Chounouryokusha Saiki Kusuo no Ψ-nan 0', 'Saiki Kusuo no Ψ-nan']",18836
75,75,Revy,"['Black Lagoon', 'Black Lagoon: The Second Barrage', ""Black Lagoon: Roberta's Blood Trail""]","['Black Lagoon', 'Black Lagoon']",18813
76,76,"Nakano, Miku","['5-toubun no Hanayome', '5-toubun no Hanayome ∬', '5-toubun no Hanayome Movie']",['5-toubun no Hanayome'],18700
77,77,"Usui, Takumi","['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Omake dayo!', 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥']","['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Marriage']",18269
78,78,"Satou, Kazuma","['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! 2']","['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Nichijou wo!']",18241
79,79,"Takanashi, Rikka","['Chuunibyou demo Koi ga Shitai!', 'Chuunibyou demo Koi ga Shitai! Lite', 'Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou']",['Chuunibyou demo Koi ga Shitai!'],18235
80,80,Koro-sensei,"['Ansatsu Kyoushitsu: Jump Festa 2013 Special', 'Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu: Deai no Jikan']","['Ansatsu Kyoushitsu', 'Koro-sensei Q!']",18193
81,81,Senkuu,"['Dr. Stone', 'Dr. Stone: Stone Wars', 'Sekikashita Kusanagi']",['Dr. Stone'],18050
82,82,"Arlert, Armin","['Shingeki no Kyojin', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin Picture Drama']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",17995
83,83,"Scarlet, Erza","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail', 'Fairy Girls', 'Fairy Tail: 100 Years Quest']",17854
84,84,"Gremory, Rias","['High School DxD', 'High School DxD OVA', 'High School DxD Specials']","['High School DxD', 'High School DxD', 'High School DxD: Asia & Koneko no Himitsu no Keiyaku!?']",17621
85,85,"Tempest, Rimuru","['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken OVA', 'Tensei shitara Slime Datta Ken 2nd Season']","['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken', 'Tensura Nikki: Tensei shitara Slime Datta Ken']",17472
86,86,"Tokisaki, Kurumi","['Date A Live II: Kurumi Star Festival', 'Date A Bullet: Dead or Bullet', 'Date A Bullet: Nightmare or Queen']","['Date A Live Fragments: Date A Bullet', 'Date A Live', 'Date A Live']",17391
87,87,"Nakano, Itsuki","['5-toubun no Hanayome', '5-toubun no Hanayome ∬', '5-toubun no Hanayome Movie']",['5-toubun no Hanayome'],17276
88,88,"Liebert, Johan","['Monster', 'Monster Extra: Hottan']",['Monster'],17053
89,89,Vegeta,"['Dragon Ball Z', 'Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi', 'Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin']","['Dragon Ball', 'Cross Epoch', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!']",16927
90,90,"Hinata, Shouyou","['Haikyuu!!', 'Haikyuu!! Second Season', 'Haikyuu!! Movie 1: Owari to Hajimari']","['Haikyuu!!', 'Haikyuu!!', ""Let's! Haikyuu!?""]",16782
91,91,"Misaka, Mikoto","['Toaru Majutsu no Index-tan', 'Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun: Motto Marutto Railgun']","['Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun SS', 'Toaru Kagaku no Railgun SS2']",16727
92,92,"Yukihira, Souma","['Shokugeki no Souma', 'Shokugeki no Souma: Ni no Sara', 'Shokugeki no Souma: Ni no Sara OVA']","['Shokugeki no Souma', 'Shokugeki no Souma: à la Carte']",16716
93,93,"Heiwajima, Shizuo","['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou']","['Durarara!!', 'Durarara!!', 'Durarara!! Comic Anthology: Duralove!!']",16687
94,94,Hei,"['Darker than Black: Kuro no Keiyakusha', 'Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita', 'Darker than Black: Ryuusei no Gemini']","['Darker than Black: Kuro no Keiyakusha', 'Darker than Black: Shikkoku no Hana']",16684
95,95,"Shiina, Mashiro",['Sakura-sou no Pet na Kanojo'],"['Sakurasou no Pet na Kanojo', 'Sakurasou no Pet na Kanojo']",16511
96,96,"Trafalgar, Law","['One Piece', 'One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi', 'One Piece Movie 14: Stampede']","['One Piece', 'One Piece Party']",16436
97,97,"Ikari, Shinji","['Neon Genesis Evangelion', 'Neon Genesis Evangelion: Death & Rebirth', 'Neon Genesis Evangelion: The End of Evangelion']","['Neon Genesis Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",16398
98,98,"Zoë, Hange","['Shingeki no Kyojin OVA', 'Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Shingeki no Kyojin: Kuinaki Sentaku']",16256
99,99,"Natsuki, Subaru","['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Break Time', 'Re:Petit kara Hajimeru Isekai Seikatsu']","['Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",16201
100,100,"Ayanami, Rei","['Neon Genesis Evangelion', 'Neon Genesis Evangelion: Death & Rebirth', 'Neon Genesis Evangelion: The End of Evangelion']","['Neon Genesis Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",16035
101,101,"Emiya, Kiritsugu","['Fate/Zero', 'Fate/Zero 2nd Season', 'Fate/Zero Remix']","['Fate/Zero', 'Fate/Zero', 'Heart of Freaks']",15906
102,102,"Akabane, Karma","['Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu 2nd Season', 'Ansatsu Kyoushitsu: 365-nichi no Jikan']","['Ansatsu Kyoushitsu', 'Koro-sensei Q!']",15901
103,103,"Nara, Shikamaru","['Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!', 'The Last: Naruto the Movie', 'Naruto']","['Naruto Hiden Series', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden']",15819
104,104,"Ishigami, Yuu","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic']","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",15634
105,105,"Nico, Robin","['One Piece', 'One Piece Movie 4: Dead End no Bouken', 'One Piece Movie 5: Norowareta Seiken']","['One Piece', 'Cross Epoch', 'One Piece Log Book Omake']",15412
106,106,"Matoi, Ryuuko","['Kill la Kill', 'Kill la Kill Specials']",['Kill la Kill'],15389
107,107,Sora,"['No Game No Life', 'No Game No Life Specials', 'No Game No Life: Zero']","['No Game No Life', 'No Game No Life', 'No Game No Life, desu!']",15271
108,108,"Suzumiya, Haruhi","['Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi no Yuuutsu (2009)', 'Suzumiya Haruhi-chan no Yuuutsu']","['Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi Series']",15175
109,109,Shiro,"['No Game No Life', 'No Game No Life Specials', 'No Game No Life: Zero']","['No Game No Life', 'No Game No Life', 'No Game No Life, desu!']",14695
110,110,Ichigo,['Darling in the FranXX'],"['Darling in the FranXX', 'Darling in the FranXX!']",14662
111,111,Ginko,"['Mushishi', 'Mushishi: Hihamukage', 'Mushishi Zoku Shou']","['Mushishi', 'Mushishi Tokubetsu-hen: Hihamukage']",14596
112,112,Meruem,['Hunter x Hunter (2011)'],['Hunter x Hunter'],14500
113,113,"Agatsuma, Zenitsu","['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu Gakuen: Valentine-hen']","['Kimetsu no Yaiba', 'Kimetsu no Yaiba: Shiawase no Hana']",14379
