no,rank,character,animeography,mangaography,favorites
703,703,"Dunois, Charlotte","['IS: Infinite Stratos', 'IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou', 'IS: Infinite Stratos 2']","['IS: Infinite Stratos', 'IS: Infinite Stratos', 'IS: Infinite Stratos - Koushiki Anthology Comic']",2334
704,704,"Haninozuka, Mitsukuni",['Ouran Koukou Host Club'],"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",2329
705,705,"Fuwa, Aika",['Zetsuen no Tempest'],['Zetsuen no Tempest'],2328
706,706,"Asuka, Ryou","['Devilman: Tanjou-hen', 'Devilman: Yochou Sirene-hen', 'Amon: Devilman Mokushiroku']","['Devilman', 'Neo Devilman', 'Amon: Devilman Mokushiroku']",2325
707,707,Reze,['Chainsaw Man'],['Chainsaw Man'],2323
708,708,"Chidori, Kaname","['Full Metal Panic!', 'Full Metal Panic? Fumoffu', 'Full Metal Panic! The Second Raid']","['Full Metal Panic!', 'Full Metal Panic! Sigma', 'Ikinari! Full Metal Panic!']",2318
709,709,Orochimaru,"['Naruto', 'Naruto: Shippuuden', 'Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai']","['Naruto Gaiden: Michita Tsuki ga Terasu Michi', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden']",2316
710,710,Black★Rock Shooter,"['Black★Rock Shooter (OVA)', 'Black★Rock Shooter (TV)', 'Black★Rock Shooter']","['Black Rock-chan', 'Black★Rock Shooter: Innocent Soul', 'Black★Rock Shooter: The Game']",2311
711,711,Togame,['Katanagatari'],"['Katanagatari', 'Seishun Kijinden! Nishio Gakuen']",2308
712,712,"Hohenheim, Van","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections']","['Fullmetal Alchemist', 'Fullmetal Alchemist']",2304
713,713,"Souma, Hatsuharu","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season']",['Fruits Basket'],2300
