no,animal,link
1,Aardvark,https://a-z-animals.com/animals/aardvark/
2,Aardwolf,https://a-z-animals.com/animals/aardwolf/
3,Abyssinian,https://a-z-animals.com/animals/abyssinian/
4,Addax,https://a-z-animals.com/animals/addax/
5,Adelie Penguin,https://a-z-animals.com/animals/adelie-penguin/
6,Affenpinscher,https://a-z-animals.com/animals/affenpinscher/
7,Afghan Hound,https://a-z-animals.com/animals/afghan-hound/
8,African Bullfrog,https://a-z-animals.com/animals/african-bullfrog/
9,African Bush Elephant,https://a-z-animals.com/animals/african-bush-elephant/
10,African Civet,https://a-z-animals.com/animals/african-civet/
11,African Clawed Frog,https://a-z-animals.com/animals/african-clawed-frog/
12,African Forest Elephant,https://a-z-animals.com/animals/african-forest-elephant/
13,African Grey Parrot,https://a-z-animals.com/animals/african-grey-parrot/
14,African Palm Civet,https://a-z-animals.com/animals/african-palm-civet/
15,African Penguin,https://a-z-animals.com/animals/african-penguin/
16,African Tree Toad,https://a-z-animals.com/animals/african-tree-toad/
17,African Wild Dog,https://a-z-animals.com/animals/african-wild-dog/
18,Aidi,https://a-z-animals.com/animals/aidi/
19,Ainu,https://a-z-animals.com/animals/ainu/
20,Airedale Terrier,https://a-z-animals.com/animals/airedale-terrier/
21,Airedoodle,https://a-z-animals.com/animals/airedoodle/
22,Akbash,https://a-z-animals.com/animals/akbash/
23,Akita,https://a-z-animals.com/animals/akita/
24,Akita Shepherd,https://a-z-animals.com/animals/akita-shepherd/
25,Alabai,https://a-z-animals.com/animals/alabai/
26,Alaskan Husky,https://a-z-animals.com/animals/alaskan-husky/
27,Alaskan Klee Kai,https://a-z-animals.com/animals/alaskan-klee-kai/
28,Alaskan Malamute,https://a-z-animals.com/animals/alaskan-malamute/
29,Alaskan Shepherd,https://a-z-animals.com/animals/alaskan-shepherd/
30,Albacore Tuna,https://a-z-animals.com/animals/albacore-tuna/
31,Albatross,https://a-z-animals.com/animals/albatross/
32,Aldabra Giant Tortoise,https://a-z-animals.com/animals/aldabra-giant-tortoise/
33,Alligator,https://a-z-animals.com/animals/alligator/
34,Alligator Gar,https://a-z-animals.com/animals/alligator-gar/
35,Alpaca,https://a-z-animals.com/animals/alpaca/
36,Alpine Dachsbracke,https://a-z-animals.com/animals/alpine-dachsbracke/
37,Alpine Goat,https://a-z-animals.com/animals/alpine-goat/
38,Alusky,https://a-z-animals.com/animals/alusky/
39,Amazon Parrot,https://a-z-animals.com/animals/amazon-parrot/
40,Amazon River Dolphin (Pink Dolphin),https://a-z-animals.com/animals/pink-dolphin/
41,Ambrosia Beetle,https://a-z-animals.com/animals/ambrosia-beetle/
42,American Alsatian,https://a-z-animals.com/animals/american-alsatian/
43,American Bulldog,https://a-z-animals.com/animals/american-bulldog/
44,American Cocker Spaniel,https://a-z-animals.com/animals/american-cocker-spaniel/
45,American Cockroach,https://a-z-animals.com/animals/american-cockroach/
46,American Coonhound,https://a-z-animals.com/animals/american-coonhound/
47,American Eskimo Dog,https://a-z-animals.com/animals/american-eskimo-dog/
48,American Foxhound,https://a-z-animals.com/animals/american-foxhound/
49,American Hairless Terrier,https://a-z-animals.com/animals/american-hairless-terrier/
50,American Leopard Hound,https://a-z-animals.com/animals/american-leopard-hound/
51,American Pit Bull Terrier,https://a-z-animals.com/animals/american-pit-bull-terrier/
52,American Pygmy Goat,https://a-z-animals.com/animals/american-pygmy-goat/
53,American Robin,https://a-z-animals.com/animals/american-robin/
54,American Staffordshire Terrier,https://a-z-animals.com/animals/american-staffordshire-terrier/
55,American Toad,https://a-z-animals.com/animals/american-toad/
56,American Water Spaniel,https://a-z-animals.com/animals/american-water-spaniel/
57,Amur Leopard,https://a-z-animals.com/animals/amur-leopard/
58,Anatolian Shepherd Dog,https://a-z-animals.com/animals/anatolian-shepherd-dog/
59,Anchovies,https://a-z-animals.com/animals/anchovies/
60,Angelfish,https://a-z-animals.com/animals/angelfish/
61,Anglerfish,https://a-z-animals.com/animals/anglerfish/
62,Angora Goat,https://a-z-animals.com/animals/angora-goat/
63,Ant,https://a-z-animals.com/animals/ant/
64,Antarctic scale worm,https://a-z-animals.com/animals/antarctic-scale-worm/
65,Anteater,https://a-z-animals.com/animals/anteater/
66,Antelope,https://a-z-animals.com/animals/antelope/
67,Appenzeller Dog,https://a-z-animals.com/animals/appenzeller-dog/
68,Apple Head Chihuahua,https://a-z-animals.com/animals/apple-head-chihuahua/
69,Arapaima,https://a-z-animals.com/animals/arapaima/
70,Arctic Fox,https://a-z-animals.com/animals/arctic-fox/
71,Arctic Hare,https://a-z-animals.com/animals/arctic-hare/
72,Arctic Wolf,https://a-z-animals.com/animals/arctic-wolf/
73,Arizona Bark Scorpion,https://a-z-animals.com/animals/arizona-bark-scorpion/
74,Armadillo,https://a-z-animals.com/animals/armadillo/
75,Armadillo Lizard,https://a-z-animals.com/animals/armadillo-lizard/
76,Armyworm,https://a-z-animals.com/animals/armyworm/
