no,Kode Saham,Nama Perusahaan
595,STAR,Buana Artha Anugerah Tbk.
596,STTP,Siantar Top Tbk.
597,SUGI,Sugih Energy Tbk.
598,SULI,SLJ Global Tbk.
599,SUPR,Solusi Tunas Pratama Tbk.
600,SURE,Super Energy Tbk.
601,SWAT,Sriwahana Adityakarta Tbk.
602,TALF,Tunas Alfin Tbk.
603,TAMU,Pelayaran Tamarin Samudra Tbk.
604,TARA,Sitara Propertindo Tbk.
605,TAXI,Express Transindo Utama Tbk.
606,TBIG,Tower Bersama Infrastructure Tbk.
607,TBLA,Tunas Baru Lampung Tbk.
608,TBMS,Tembaga Mulia Semanan Tbk.
609,TCID,Mandom Indonesia Tbk.
610,TCPI,Transcoal Pacific Tbk.
611,TDPM,Tridomain Performance Materials Tbk.
612,TEBE,Dana Brata Luhur Tbk.
613,TELE,Tiphone Mobile Indonesia Tbk.
614,TFAS,Telefast Indonesia Tbk.
615,TFCO,Tifico Fiber Indonesia Tbk.
616,TGKA,Tigaraksa Satria Tbk.
617,TGRA,Terregra Asia Energy Tbk.
618,TIFA,Tifa Finance Tbk.
619,TINS,Timah Tbk.
620,TIRA,Tira Austenite Tbk
621,TIRT,Tirta Mahakam Resources Tbk
622,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.
624,TMAS,Temas Tbk.
625,TMPO,Tempo Intimedia Tbk.
626,TNCA,Trimuda Nuansa Citra Tbk.
627,TOBA,Toba Bara Sejahtra Tbk.
628,TOPS,Totalindo Eka Persada Tbk.
629,TOTL,Total Bangun Persada Tbk.
630,TOTO,Surya Toto Indonesia Tbk.
631,TOWR,Sarana Menara Nusantara Tbk.
632,TPIA,Chandra Asri Petrochemical Tbk.
633,TPMA,Trans Power Marine Tbk.
634,TRAM,Trada Alam Minera Tbk.
635,TRIL,Triwira Insanlestari Tbk.
636,TRIM,Trimegah Sekuritas Indonesia Tbk.
637,TRIN,Perintis Triniti Properti Tbk.
638,TRIO,Trikomsel Oke Tbk.
639,TRIS,Trisula International Tbk.
640,TRST,Trias Sentosa Tbk.
641,TRUK,Guna Timur Raya Tbk.
642,TRUS,Trust Finance Indonesia Tbk
643,TSPC,Tempo Scan Pacific Tbk.
644,TUGU,Asuransi Tugu Pratama Indonesia Tbk.
645,TURI,Tunas Ridean Tbk.
646,UCID,Uni-Charm Indonesia Tbk.
647,ULTJ,"Ultra Jaya Milk Industry & Trading Company, Tbk."
648,UNIC,Unggul Indah Cahaya Tbk.
649,UNIT,Nusantara Inti Corpora Tbk
650,UNSP,Bakrie Sumatera Plantations Tbk.
651,UNTR,United Tractors Tbk.
652,UNVR,Unilever Indonesia Tbk.
653,URBN,Urban Jakarta Propertindo Tbk.
654,VICO,Victoria Investama Tbk.
655,VINS,Victoria Insurance Tbk.
656,VIVA,Visi Media Asia Tbk.
657,VOKS,Voksel Electric Tbk.
658,VRNA,Verena Multi Finance Tbk.
659,WAPO,Wahana Pronatural Tbk.
660,WEGE,Wijaya Karya Bangunan Gedung Tbk.
661,WEHA,WEHA Transportasi Indonesia Tbk.
662,WICO,Wicaksana Overseas International Tbk.
663,WIIM,Wismilak Inti Makmur Tbk.
664,WIKA,Wijaya Karya (Persero) Tbk.
665,WINS,Wintermar Offshore Marine Tbk.
666,WOMF,Wahana Ottomitra Multiartha Tbk.
667,WOOD,Integra Indocabinet Tbk.
668,WOWS,Ginting Jaya Energi Tbk.
669,WSBP,Waskita Beton Precast Tbk.
670,WSKT,Waskita Karya (Persero) Tbk.
671,WTON,Wijaya Karya Beton Tbk.
672,YELO,Yelooo Integra Datanet Tbk.
673,YPAS,Yanaprima Hastapersada Tbk
674,YULE,Yulie Sekuritas Indonesia Tbk.
675,ZBRA,Zebra Nusantara Tbk
676,ZINC,Kapuas Prima Coal Tbk.
677,ZONE,Mega Perintis Tbk.
