no,Kode Saham,Nama Perusahaan
134,BTPN,Bank BTPN Tbk.
135,BTPS,Bank Tabungan Pensiunan Nasional Syariah Tbk.
136,BUDI,Budi Starch & Sweetener Tbk.
137,BUKK,Bukaka Teknik Utama Tbk.
138,BULL,Buana Lintas Lautan Tbk.
139,BUMI,Bumi Resources Tbk.
140,BUVA,Bukit Uluwatu Villa Tbk.
141,BVIC,Bank Victoria International Tbk.
142,BWPT,Eagle High Plantations Tbk.
143,BYAN,Bayan Resources Tbk.
144,CAKK,Cahayaputra Asa Keramik Tbk.
145,CAMP,Campina Ice Cream Industry Tbk.
146,CANI,Capitol Nusantara Indonesia Tbk.
147,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.
148,CASA,Capital Financial Indonesia Tbk.
149,CASS,Cardig Aero Services Tbk.
150,CCSI,Communication Cable Systems Indonesia Tbk.
151,CEKA,Wilmar Cahaya Indonesia Tbk.
152,CENT,Centratama Telekomunikasi Indonesia Tbk.
153,CFIN,Clipan Finance Indonesia Tbk.
154,CINT,Chitose Internasional Tbk.
155,CITA,Cita Mineral Investindo Tbk.
156,CITY,Natura City Developments Tbk.
157,CKRA,Cakra Mineral Tbk.
158,CLAY,Citra Putra Realty Tbk.
159,CLEO,Sariguna Primatirta Tbk.
160,CLPI,Colorpak Indonesia Tbk.
161,CMNP,Citra Marga Nusaphala Persada Tbk.
162,CMPP,AirAsia Indonesia Tbk.
163,CNKO,Exploitasi Energi Indonesia Tbk.
164,CNTB,Saham Seri B ( Centex Tbk )
165,CNTX,Century Textile Industry Tbk.
166,COCO,Wahana Interfood Nusantara Tbk.
167,COWL,Cowell Development Tbk.
168,CPIN,Charoen Pokphand Indonesia Tbk
169,CPRI,Capri Nusa Satu Properti Tbk.
170,CPRO,Central Proteina Prima Tbk.
171,CSAP,Catur Sentosa Adiprana Tbk.
172,CSIS,Cahayasakti Investindo Sukses Tbk.
173,CSRA,Cisadane Sawit Raya Tbk.
174,CTBN,Citra Tubindo Tbk.
175,CTRA,Ciputra Development Tbk.
176,CTTH,Citatah Tbk.
177,DART,Duta Anggada Realty Tbk.
178,DAYA,Duta Intidaya Tbk.
179,DEAL,Dewata Freightinternational Tbk.
180,DEFI,Danasupra Erapacific Tbk.
181,DEWA,Darma Henwa Tbk
182,DFAM,Dafam Property Indonesia Tbk.
183,DGIK,Nusa Konstruksi Enjiniring Tbk.
184,DIGI,Arkadia Digital Media Tbk.
185,DILD,Intiland Development Tbk.
186,DIVA,Distribusi Voucher Nusantara Tbk.
187,DKFT,Central Omega Resources Tbk.
188,DLTA,Delta Djakarta Tbk.
189,DMAS,Puradelta Lestari Tbk.
190,DMMX,Digital Mediatama Maxima Tbk.
191,DNAR,Bank Oke Indonesia Tbk.
192,DNET,Indoritel Makmur Internasional Tbk.
193,DOID,Delta Dunia Makmur Tbk.
194,DPNS,Duta Pertiwi Nusantara Tbk.
195,DPUM,Dua Putra Utama Makmur Tbk.
196,DSFI,Dharma Samudera Fishing Industries Tbk.
197,DSNG,Dharma Satya Nusantara Tbk.
198,DSSA,Dian Swastatika Sentosa Tbk
199,DUCK,Jaya Bersama Indo Tbk.
200,DUTI,Duta Pertiwi Tbk
201,DVLA,Darya-Varia Laboratoria Tbk.
202,DWGL,Dwi Guna Laksana Tbk.
203,DYAN,Dyandra Media International Tbk.
204,EAST,Eastparc Hotel Tbk.
205,ECII,Electronic City Indonesia Tbk.
206,EKAD,Ekadharma International Tbk.
207,ELSA,Elnusa Tbk.
208,ELTY,Bakrieland Development Tbk.
209,EMDE,Megapolitan Developments Tbk.
210,EMTK,Elang Mahkota Teknologi Tbk.
211,ENRG,Energi Mega Persada Tbk.
212,ENVY,Envy Technologies Indonesia Tbk.
213,EPMT,Enseval Putera Megatrading Tbk.
214,ERAA,Erajaya Swasembada Tbk.
215,ERTX,Eratex Djaja Tbk.
216,ESIP,Sinergi Inti Plastindo Tbk.
217,ESSA,Surya Esa Perkasa Tbk.
218,ESTI,Ever Shine Tex Tbk.
219,ETWA,Eterindo Wahanatama Tbk
220,EXCL,XL Axiata Tbk.
221,FAST,Fast Food Indonesia Tbk.
222,FASW,Fajar Surya Wisesa Tbk.
223,FILM,MD Pictures Tbk.
224,FINN,First Indo American Leasing Tbk.
225,FIRE,Alfa Energi Investama Tbk.
