no,product link,product title,product price
51,https://bibitonline.com/produk/planter-bag-hijau-50-liter,Planter Bag Hijau 50 Liter,16000
52,https://bibitonline.com/produk/grommet-gromet-karet-selang-5-mm-5mm-untuk-selang-pe-pu-pvc-hitam,Grommet Gromet Karet Selang 5 mm 5mm untuk Selang PE PU PVC – Hitam,700
53,https://bibitonline.com/produk/pupuk-npk-mutiara-16-16-16-cap-pak-tani-rusia-1-kg,Pupuk NPK Mutiara 16-16-16 Cap Pak Tani (Rusia) – 1 Kg,20000
54,https://bibitonline.com/produk/pupuk-organik-cair-bambu-ijo-12ml,Pupuk Organik Cair Bambu Ijo – 12ml,7000
55,https://bibitonline.com/produk/nepel-tusuk-dua-arah-5-mm,Nepel Tusuk Dua Arah 5 mm,600
56,https://bibitonline.com/produk/lumut-hidup-forest-moss,Lumut Hidup (Forest Moss),30000
57,https://bibitonline.com/produk/spuit-suntikan-10ml10cc-alat-takar-nutrisi-hidroponik,Spuit (Suntikan) 10ml/10cc – Alat Takar Nutrisi Hidroponik,2000
58,https://bibitonline.com/produk/minyak-mimba-neem-oil-pestisida-nabati-organik-250ml,Minyak Mimba (Neem Oil) – Pestisida Nabati Organik – 250ml,90000
59,https://bibitonline.com/produk/mulsa-plastik-hitam-perak-lebar-120cm-tebal-035mm,"Mulsa Plastik Hitam Perak Lebar 120cm Tebal 0,35mm",2500
60,https://bibitonline.com/produk/pestisida-nabati-organik-naturo-10-gram,Pestisida Nabati (Organik) Naturo – 10 gram,30000
61,https://bibitonline.com/produk/kain-flanel-hidroponik-46-x-46-cm,Kain Flanel Hidroponik 50 x 50cm,7000
62,https://bibitonline.com/produk/kompos-super-1-zak,Kompos Super – 1 Zak,25000
63,https://bibitonline.com/produk/nutrisi-ab-mix-sayuran-daun-500ml-hidroponik-surabaya,Nutrisi AB Mix Sayuran Daun 500ml – Hidroponik Surabaya,20000
64,https://bibitonline.com/produk/rockwool-cultilene-optimaxx-1-slab,Rockwool Cultilene Optimaxx – 1 Slab,65000
65,https://bibitonline.com/produk/stick-dripper-full-circle,Stick Dripper Full Circle,2000
66,https://bibitonline.com/produk/cocopeat,Cocopeat Pasteurisasi (Bebas Zat Tanin) 5 Liter – Halus,12000
67,https://bibitonline.com/produk/sarung-tangan-berkebun,Sarung Tangan Berkebun Bahan Latex,15000
68,https://bibitonline.com/produk/tutup-dop-pipa-pvc-2-1-2-polos,Tutup / Dop Pipa PVC 2 1/2” – Polos,4500
69,https://bibitonline.com/produk/label-tanaman-plant-label,Label Tanaman (Plant Label) – 50 Lembar,20000
