no,rank,title,type,total_eps,show_time,member,score,link_page
1,"
1
",Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009 - Jul 2010,"2,752,622",9.15,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,"
2
",Gintama°,TV,51,Apr 2015 - Mar 2016,"495,687",9.09,https://myanimelist.net/anime/28977/Gintama°
3,"
3
",Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019 - Jul 2019,"1,650,249",9.09,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
4,"
4
",Steins;Gate,TV,24,Apr 2011 - Sep 2011,"2,122,353",9.09,https://myanimelist.net/anime/9253/Steins_Gate
5,"
5
",Shingeki no Kyojin: The Final Season Part 2,TV,?,Jan 2022 -,"595,930",9.08,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
6,"
6
",Fruits Basket: The Final,TV,13,Apr 2021 - Jun 2021,"293,483",9.06,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
7,"
7
",Gintama',TV,51,Apr 2011 - Mar 2012,"437,491",9.06,https://myanimelist.net/anime/9969/Gintama
8,"
8
",Hunter x Hunter (2011),TV,148,Oct 2011 - Sep 2014,"2,199,656",9.05,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,"
9
",Ginga Eiyuu Densetsu,OVA,110,Jan 1988 - Mar 1997,"269,976",9.04,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
10,"
10
",Gintama': Enchousen,TV,13,Oct 2012 - Mar 2013,"265,703",9.04,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,"
11
",Gintama: The Final,Movie,1,Jan 2021 - Jan 2021,"84,926",9.03,https://myanimelist.net/anime/39486/Gintama__The_Final
12,"
12
",Gintama.,TV,12,Jan 2017 - Mar 2017,"251,616",8.98,https://myanimelist.net/anime/34096/Gintama
13,"
13
",Violet Evergarden Movie,Movie,1,Sep 2020 - Sep 2020,"367,577",8.98,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
14,"
14
",3-gatsu no Lion 2nd Season,TV,22,Oct 2017 - Mar 2018,"330,804",8.97,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15,"
15
",Koe no Katachi,Movie,1,Sep 2016 - Sep 2016,"1,823,491",8.96,https://myanimelist.net/anime/28851/Koe_no_Katachi
16,"
16
",Clannad: After Story,TV,24,Oct 2008 - Mar 2009,"1,048,547",8.95,https://myanimelist.net/anime/4181/Clannad__After_Story
17,"
17
",Gintama,TV,201,Apr 2006 - Mar 2010,"910,659",8.95,https://myanimelist.net/anime/918/Gintama
18,"
18
",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013 - Jul 2013,"199,214",8.94,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,"
19
",Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008 - Sep 2008,"1,511,069",8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
20,"
20
",Owarimonogatari 2nd Season,TV,7,Aug 2017 - Aug 2017,"329,566",8.91,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
21,"
21
",Shingeki no Kyojin: The Final Season,TV,16,Dec 2020 - Mar 2021,"1,400,196",8.88,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
22,"
22
",Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018 - Oct 2018,"151,022",8.88,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
23,"
23
",Kimi no Na wa.,Movie,1,Aug 2016 - Aug 2016,"2,209,772",8.88,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
24,"
24
",Ousama Ranking,TV,23,Oct 2021 -,"240,533",8.83,https://myanimelist.net/anime/40834/Ousama_Ranking
25,"
25
",Shiguang Dailiren,ONA,11,Apr 2021 - Jul 2021,"153,877",8.83,https://myanimelist.net/anime/44074/Shiguang_Dailiren
26,"
26
",Gintama.: Shirogane no Tamashii-hen,TV,12,Jan 2018 - Mar 2018,"164,368",8.82,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
27,"
27
",Kizumonogatari III: Reiketsu-hen,Movie,1,Jan 2017 - Jan 2017,"378,878",8.81,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
28,"
28
",Mob Psycho 100 II,TV,13,Jan 2019 - Apr 2019,"1,134,193",8.81,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
29,"
29
",Monster,TV,74,Apr 2004 - Sep 2005,"796,925",8.81,https://myanimelist.net/anime/19/Monster
30,"
30
",Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016 - Dec 2016,"964,964",8.80,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
31,"
31
",Kimetsu no Yaiba: Yuukaku-hen,TV,?,Dec 2021 -,"559,889",8.80,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
32,"
32
",Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001 - Jul 2001,"1,541,173",8.79,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
33,"
33
",Monogatari Series: Second Season,TV,26,Jul 2013 - Dec 2013,"584,513",8.78,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
34,"
34
",Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Oct 2021 - Dec 2021,"480,101",8.78,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
35,"
35
",Odd Taxi,TV,13,Apr 2021 - Jun 2021,"219,461",8.77,https://myanimelist.net/anime/46102/Odd_Taxi
36,"
36
",Kingdom 3rd Season,TV,26,Apr 2020 - Oct 2021,"60,329",8.77,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
37,"
37
",Cowboy Bebop,TV,26,Apr 1998 - Apr 1999,"1,544,127",8.76,https://myanimelist.net/anime/1/Cowboy_Bebop
38,"
38
",Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Jan 2017 - Mar 2017,"161,789",8.76,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
39,"
39
",Mushishi Zoku Shou 2nd Season,TV,10,Oct 2014 - Dec 2014,"226,967",8.74,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
40,"
40
",Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Aug 2020 - Aug 2020,"241,550",8.74,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
41,"
41
",Hajime no Ippo,TV,75,Oct 2000 - Mar 2002,"459,004",8.74,https://myanimelist.net/anime/263/Hajime_no_Ippo
42,"
42
",Vinland Saga,TV,24,Jul 2019 - Dec 2019,"987,629",8.73,https://myanimelist.net/anime/37521/Vinland_Saga
43,"
43
",Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Feb 1999 - Sep 1999,"250,786",8.72,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
44,"
44
",Mo Dao Zu Shi: Wanjie Pian,ONA,12,Aug 2021 - Oct 2021,"47,364",8.71,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
45,"
45
",Mushishi Zoku Shou,TV,10,Apr 2014 - Jun 2014,"258,406",8.71,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
46,"
46
",Jujutsu Kaisen (TV),TV,24,Oct 2020 - Mar 2021,"1,615,015",8.71,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
47,"
47
",Ashita no Joe 2,TV,47,Oct 1980 - Aug 1981,"39,079",8.70,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
48,"
48
",Code Geass: Hangyaku no Lelouch,TV,25,Oct 2006 - Jul 2007,"1,912,749",8.70,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
49,"
49
",Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,Oct 2020 - Oct 2020,"949,304",8.70,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
50,"
50
",Great Teacher Onizuka,TV,43,Jun 1999 - Sep 2000,"695,337",8.69,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
51,"
51
",Made in Abyss,TV,13,Jul 2017 - Sep 2017,"1,062,764",8.69,https://myanimelist.net/anime/34599/Made_in_Abyss
52,"
52
",Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,Jan 2020 - Jan 2020,"295,044",8.69,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
53,"
53
",Mononoke Hime,Movie,1,Jul 1997 - Jul 1997,"1,051,724",8.68,https://myanimelist.net/anime/164/Mononoke_Hime
54,"
54
",Mushishi,TV,26,Oct 2005 - Jun 2006,"715,585",8.68,https://myanimelist.net/anime/457/Mushishi
55,"
55
",Shigatsu wa Kimi no Uso,TV,22,Oct 2014 - Mar 2015,"1,817,859",8.68,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
56,"
56
",Natsume Yuujinchou Shi,TV,13,Jan 2012 - Mar 2012,"214,818",8.66,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
57,"
57
",Violet Evergarden,TV,13,Jan 2018 - Apr 2018,"1,394,488",8.66,https://myanimelist.net/anime/33352/Violet_Evergarden
58,"
58
",Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,Mar 2021 - Mar 2021,"266,424",8.66,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
59,"
59
",Haikyuu!! Second Season,TV,25,Oct 2015 - Mar 2016,"1,158,707",8.66,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
60,"
60
",Hajime no Ippo: New Challenger,TV,26,Jan 2009 - Jul 2009,"232,262",8.66,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
61,"
61
",Howl no Ugoku Shiro,Movie,1,Nov 2004 - Nov 2004,"1,071,602",8.66,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
62,"
62
",Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,12,Apr 2020 - Jun 2020,"964,915",8.66,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
63,"
63
",Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,Jun 2019 - Jun 2019,"532,904",8.64,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
64,"
64
",Tengen Toppa Gurren Lagann,TV,27,Apr 2007 - Sep 2007,"1,399,186",8.64,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
65,"
65
",Natsume Yuujinchou Roku,TV,11,Apr 2017 - Jun 2017,"156,803",8.63,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
66,"
66
",Suzumiya Haruhi no Shoushitsu,Movie,1,Feb 2010 - Feb 2010,"544,774",8.63,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
67,"
67
",Death Note,TV,37,Oct 2006 - Jun 2007,"3,262,104",8.63,https://myanimelist.net/anime/1535/Death_Note
68,"
68
",One Piece,TV,?,Oct 1999 -,"1,770,102",8.62,https://myanimelist.net/anime/21/One_Piece
69,"
69
",Ping Pong the Animation,TV,11,Apr 2014 - Jun 2014,"323,155",8.62,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
70,"
70
",Shingeki no Kyojin Season 3,TV,12,Jul 2018 - Oct 2018,"1,778,041",8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
71,"
71
",Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,May 2015 - May 2015,"109,997",8.61,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
72,"
72
",Ookami Kodomo no Ame to Yuki,Movie,1,Jul 2012 - Jul 2012,"703,715",8.60,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
73,"
73
",JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,?,Dec 2021 -,"280,674",8.60,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean
74,"
74
",Kizumonogatari II: Nekketsu-hen,Movie,1,Aug 2016 - Aug 2016,"370,482",8.60,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
75,"
75
",JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,Oct 2018 - Jul 2019,"761,058",8.59,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
76,"
76
",Shouwa Genroku Rakugo Shinjuu,TV,13,Jan 2016 - Apr 2016,"253,768",8.59,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
77,"
77
",Natsume Yuujinchou Go,TV,11,Oct 2016 - Dec 2016,"156,189",8.58,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
78,"
78
",Natsume Yuujinchou San,TV,13,Jul 2011 - Sep 2011,"222,324",8.58,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
79,"
79
",Yojouhan Shinwa Taikei,TV,11,Apr 2010 - Jul 2010,"374,136",8.58,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
80,"
80
",Fate/Zero 2nd Season,TV,12,Apr 2012 - Jun 2012,"953,405",8.58,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
81,"
81
",Hajime no Ippo: Rising,TV,25,Oct 2013 - Mar 2014,"203,874",8.58,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
82,"
82
",Kimi no Suizou wo Tabetai,Movie,1,Sep 2018 - Sep 2018,"688,373",8.58,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
83,"
83
",Fruits Basket 2nd Season,TV,25,Apr 2020 - Sep 2020,"352,643",8.57,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
84,"
84
",Kimetsu no Yaiba,TV,26,Apr 2019 - Sep 2019,"2,183,973",8.57,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
85,"
85
",Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,Apr 2009 - Apr 2009,"188,437",8.57,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
86,"
86
",Yakusoku no Neverland,TV,12,Jan 2019 - Mar 2019,"1,566,183",8.56,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
87,"
87
",Zoku Natsume Yuujinchou,TV,13,Jan 2009 - Mar 2009,"221,207",8.56,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
88,"
88
",Mushishi: Hihamukage,Special,1,Jan 2014 - Jan 2014,"119,541",8.55,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
89,"
89
",Bakuman. 3rd Season,TV,25,Oct 2012 - Mar 2013,"296,373",8.55,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
90,"
90
",Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,Jan 2019 - Jan 2019,"294,094",8.55,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
91,"
91
",Haikyuu!!: To the Top 2nd Season,TV,12,Oct 2020 - Dec 2020,"586,568",8.54,https://myanimelist.net/anime/40776/Haikyuu__To_the_Top_2nd_Season
92,"
92
",Kara no Kyoukai 5: Mujun Rasen,Movie,1,Aug 2008 - Aug 2008,"211,806",8.54,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
93,"
93
",Neon Genesis Evangelion: The End of Evangelion,Movie,1,Jul 1997 - Jul 1997,"747,475",8.54,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
94,"
94
",Sora yori mo Tooi Basho,TV,13,Jan 2018 - Mar 2018,"413,371",8.54,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
95,"
95
",Yuru Camp△ Season 2,TV,13,Jan 2021 - Apr 2021,"162,990",8.54,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
96,"
96
",Slam Dunk,TV,101,Oct 1993 - Mar 1996,"243,855",8.53,https://myanimelist.net/anime/170/Slam_Dunk
97,"
97
",Gintama.: Porori-hen,TV,13,Oct 2017 - Dec 2017,"161,254",8.53,https://myanimelist.net/anime/35843/Gintama__Porori-hen
98,"
98
",Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,Jan 2004 - Jan 2005,"206,743",8.53,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
99,"
99
",Ansatsu Kyoushitsu 2nd Season,TV,25,Jan 2016 - Jul 2016,"1,151,954",8.52,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
100,"
100
",Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Apr 2010 - Apr 2010,"138,894",8.52,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
101,"
101
",Kenpuu Denki Berserk,TV,25,Oct 1997 - Apr 1998,"510,379",8.52,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
102,"
102
",One Punch Man,TV,12,Oct 2015 - Dec 2015,"2,630,981",8.52,https://myanimelist.net/anime/30276/One_Punch_Man
103,"
103
",Perfect Blue,Movie,1,Feb 1998 - Feb 1998,"528,735",8.52,https://myanimelist.net/anime/437/Perfect_Blue
104,"
104
",Shingeki no Kyojin,TV,25,Apr 2013 - Sep 2013,"3,202,670",8.52,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
105,"
105
",Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,Jan 2021 - Mar 2021,"629,756",8.51,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
106,"
106
",Steins;Gate 0,TV,23,Apr 2018 - Sep 2018,"716,423",8.51,https://myanimelist.net/anime/30484/Steins_Gate_0
107,"
107
",Tian Guan Ci Fu Special,ONA,1,Feb 2021 - Feb 2021,"25,438",8.51,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
108,"
108
",Uchuu Kyoudai,TV,99,Apr 2012 - Mar 2014,"168,484",8.51,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
109,"
109
",Banana Fish,TV,24,Jul 2018 - Dec 2018,"647,400",8.51,https://myanimelist.net/anime/36649/Banana_Fish
110,"
110
",Josee to Tora to Sakana-tachi,Movie,1,Dec 2020 - Dec 2020,"233,573",8.51,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
111,"
111
",Aria the Origination,TV,13,Jan 2008 - Apr 2008,"111,095",8.50,https://myanimelist.net/anime/3297/Aria_the_Origination
112,"
112
",Hotaru no Haka,Movie,1,Apr 1988 - Apr 1988,"548,443",8.50,https://myanimelist.net/anime/578/Hotaru_no_Haka
113,"
113
",JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,Apr 2016 - Dec 2016,"853,714",8.50,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
114,"
114
",Nana,TV,47,Apr 2006 - Mar 2007,"518,799",8.50,https://myanimelist.net/anime/877/Nana
115,"
115
",Rainbow: Nisha Rokubou no Shichinin,TV,26,Apr 2010 - Sep 2010,"347,183",8.50,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
116,"
116
",Samurai Champloo,TV,26,May 2004 - Mar 2005,"1,061,081",8.50,https://myanimelist.net/anime/205/Samurai_Champloo
117,"
117
",Shingeki no Kyojin Season 2,TV,12,Apr 2017 - Jun 2017,"2,134,174",8.49,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
118,"
118
",Chihayafuru 3,TV,24,Oct 2019 - Mar 2020,"111,570",8.49,https://myanimelist.net/anime/37379/Chihayafuru_3
119,"
119
",Gintama: The Semi-Final,Special,2,Jan 2021 - Jan 2021,"47,159",8.49,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
120,"
120
",Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,Aug 2019 - Aug 2019,"587,948",8.48,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
121,"
121
",Mo Dao Zu Shi,ONA,15,Jul 2018 - Oct 2018,"178,213",8.48,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
122,"
122
",Mob Psycho 100,TV,12,Jul 2016 - Sep 2016,"1,609,834",8.48,https://myanimelist.net/anime/32182/Mob_Psycho_100
123,"
123
",Vivy: Fluorite Eye's Song,TV,13,Apr 2021 - Jun 2021,"350,530",8.48,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
124,"
124
",Saenai Heroine no Sodatekata Fine,Movie,1,Oct 2019 - Oct 2019,"135,743",8.47,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
125,"
125
",Zoku Owarimonogatari,Movie,6,Nov 2018 - Nov 2018,"185,487",8.47,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
126,"
126
",Doupo Cangqiong: San Nian Zhi Yue,ONA,13,Oct 2021 - Jan 2022,"2,589",8.47,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue
127,"
127
",Jujutsu Kaisen 0 Movie,Movie,1,Dec 2021 - Dec 2021,"282,444",8.47,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
128,"
128
",Haikyuu!!,TV,25,Apr 2014 - Sep 2014,"1,579,864",8.46,https://myanimelist.net/anime/20583/Haikyuu
129,"
129
",Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,Oct 2013 - Oct 2013,"323,464",8.46,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
130,"
130
",Mo Dao Zu Shi: Xian Yun Pian,ONA,8,Aug 2019 - Sep 2019,"76,912",8.46,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
131,"
131
",Nichijou,TV,26,Apr 2011 - Sep 2011,"750,519",8.46,https://myanimelist.net/anime/10165/Nichijou
132,"
132
",Owarimonogatari,TV,12,Oct 2015 - Dec 2015,"415,321",8.46,https://myanimelist.net/anime/31181/Owarimonogatari
133,"
133
",Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Apr 2013 - Apr 2013,"511,154",8.46,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
134,"
134
",Mushishi Zoku Shou: Odoro no Michi,Special,1,Aug 2014 - Aug 2014,"87,018",8.45,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
135,"
135
",Yuu☆Yuu☆Hakusho,TV,112,Oct 1992 - Jan 1995,"574,656",8.45,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
136,"
136
",86 Part 2,TV,12,Oct 2021 - Mar 2022,"230,487",8.45,https://myanimelist.net/anime/48569/86_Part_2
137,"
137
",Golden Kamuy 3rd Season,TV,12,Oct 2020 - Dec 2020,"114,010",8.45,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
138,"
138
",Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,Aug 2012 - Aug 2012,"37,321",8.44,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
139,"
139
",JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,Jan 2015 - Jun 2015,"853,446",8.44,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
140,"
140
",Kobayashi-san Chi no Maid Dragon S,TV,12,Jul 2021 - Sep 2021,"387,507",8.44,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
141,"
141
",Saiki Kusuo no Ψ-nan 2,TV,24,Jan 2018 - Jun 2018,"492,239",8.44,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
142,"
142
",Wu Liuqi Zhi Xuanwu Guo Pian,ONA,10,Jan 2021 - May 2021,"22,628",8.44,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
143,"
143
",Mononoke,TV,12,Jul 2007 - Sep 2007,"266,692",8.43,https://myanimelist.net/anime/2246/Mononoke
144,"
144
",Saiki Kusuo no Ψ-nan,TV,120,Jul 2016 - Dec 2016,"838,368",8.43,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
145,"
145
",Grand Blue,TV,12,Jul 2018 - Sep 2018,"583,392",8.43,https://myanimelist.net/anime/37105/Grand_Blue
146,"
146
",Holo no Graffiti,ONA,?,May 2019 -,"41,990",8.43,https://myanimelist.net/anime/44042/Holo_no_Graffiti
147,"
147
",Koukaku Kidoutai: Stand Alone Complex,TV,26,Oct 2002 - Oct 2003,"357,337",8.43,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
148,"
148
",Fumetsu no Anata e,TV,20,Apr 2021 - Aug 2021,"601,693",8.42,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
149,"
149
",Kara no Kyoukai 7: Satsujin Kousatsu (Go),Movie,1,Aug 2009 - Aug 2009,"184,633",8.42,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go
150,"
150
",Kono Oto Tomare! 2nd Season,TV,13,Oct 2019 - Dec 2019,"122,110",8.42,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_2nd_Season
151,"
151
",Major S5,TV,25,Jan 2009 - Jun 2009,"63,622",8.42,https://myanimelist.net/anime/5028/Major_S5
152,"
152
",Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1,Sep 2018 - Sep 2018,"56,329",8.42,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
153,"
153
",Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Feb 2018 - Feb 2018,"328,579",8.42,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
154,"
154
",Non Non Biyori Nonstop,TV,12,Jan 2021 - Mar 2021,"92,268",8.41,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
155,"
155
",Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Dec 2014 - Apr 2015,"412,303",8.41,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
156,"
156
",Tensei shitara Slime Datta Ken 2nd Season,TV,12,Jan 2021 - Mar 2021,"649,482",8.41,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
