no,nama file,tahun,tautan
149,Daftar Arsip Tekstual Marine (1695-1930),1695,https://anri.go.id//download/daftar-arsip-tekstual-marine-16951930-1633665139
150,Daftar Arsip Tekstual Marine (1695-1930),1695,https://anri.go.id//download/daftar-arsip-tekstual-marine-16951930-1633328307
151,Daftar Arsip Tekstual Marine 1695-1930,1695,https://anri.go.id//download/daftar-arsip-tekstual-marine-16951930-1585907410
152,Daftar Arsip Tekstual Residensi Banjoewangi-Banyuwangi 1691-1881,1691,https://anri.go.id//download/daftar-arsip-tekstual-residensi-banjoewangibanyuwangi-16911881-1585908755
153,Daftar Arsip Tekstual Residensi Palembang 1683-1890,1683,https://anri.go.id//download/daftar-arsip-tekstual-residensi-palembang-16831890-1585912915
154,Daftar Arsip Tekstual Residensi Manado 1677-1914,1677,https://anri.go.id//download/daftar-arsip-tekstual-residensi-manado-16771914-1585912806
155,Daftar Arsip Tekstual Residensi Bantam-Banten (1674-1891),1674,https://anri.go.id//download/daftar-arsip-tekstual-residensi-bantambanten-16741891-1585909174
156,Daftar Arsip Tekstual Makassar (1667-1888),1667,https://anri.go.id//download/daftar-arsip-tekstual-makassar-16671888-1633665117
157,Daftar Arsip Tekstual Makassar (1667-1888),1667,https://anri.go.id//download/daftar-arsip-tekstual-makassar-16671888-1633328286
158,Daftar Arsip Tekstual Makassar (1667-1888),1667,https://anri.go.id//download/daftar-arsip-tekstual-makassar-16671888-1630544125
159,Daftar Arsip Tekstual Residensi Borneo Zuid en Oostkust- Kalimantan Selatan dan Timur 1664-1890,1664,https://anri.go.id//download/daftar-arsip-tekstual-residensi-borneo-zuid-en-oostkust-kalimantan-selatan-dan-timur-16641890-1585912876
160,Daftar Arsip Tekstual Residensi Sumatera Westkust -Pantai Barat Sumatera 1660-1881,1660,https://anri.go.id//download/daftar-arsip-tekstual-residensi-sumatera-westkust-pantai-barat-sumatera-16601881-1585913081
161,Daftar Arsip Tekstual Residensi Surakarta 1646-1890,1646,https://anri.go.id//download/daftar-arsip-tekstual-residensi-surakarta-16461890-1585913126
162,"Daftar Arsip Tekstual Kerk Diaconie (1618-1901, 1653-1839)",1618,https://anri.go.id//download/daftar-arsip-tekstual-kerk-diaconie-16181901-16531839-1633665087
163,"Daftar Arsip Tekstual Kerk Diaconie (1618-1901, 1653-1839)",1618,https://anri.go.id//download/daftar-arsip-tekstual-kerk-diaconie-16181901-16531839-1633328231
164,"Daftar Arsip Tekstual Kerk Diaconie (1618-1901 Kerk), (1653-1839 Diaconie)",1618,https://anri.go.id//download/daftar-arsip-tekstual-kerk-diaconie-16181901-kerk-16531839-diaconie-1585907323
165,Daftar Arsip Tekstual Residensi Batavia-Jakarta 1613-1904,1613,https://anri.go.id//download/daftar-arsip-tekstual-residensi-bataviajakarta-16131904-1585909215
166,Daftar Arsip Tekstual Residensi Borneo West-Kalimantan Barat 1609-1890,1609,https://anri.go.id//download/daftar-arsip-tekstual-residensi-borneo-westkalimantan-barat-16091890-1585912257
167,Daftar Arsip Tekstual Buitenland 1606-1825,1606,https://anri.go.id//download/daftar-arsip-tekstual-buitenland-16061825-1585906519
168,Daftar Arsip Tekstual Residensi Ambon 1605-1890,1605,https://anri.go.id//download/daftar-arsip-tekstual-residensi-ambon-16051890-1585907943
169,Daftar Arsip Tekstual Varia (1603-1874),1603,https://anri.go.id//download/daftar-arsip-tekstual-varia-16031874-1633665201
