no,nama file,tahun,tautan
97,Daftar Arsip Tekstual Departement Van Binnenlandsch Bestuur Jilid I 1910-1942,1910,https://anri.go.id//download/daftar-arsip-tekstual-departement-van-binnenlandsch-bestuur-jilid-i-19101942-1585906576
98,Daftar Arsip Tekstual Mijnwezen Jilid V (1908-1940),1908,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-v-19081940-1630544316
99,Daftar Arsip Tekstual Mijnwezen Jilid IV (1908-1940),1908,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-iv-19081940-1630544281
100,Daftar Arsip Tekstual Mijnwezen Jilid VIII (1899-1959),1899,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-viii-18991959-1630544505
101,Daftar Arsip Microfilm Minister der Besluiten 1897-1940,1897,https://anri.go.id//download/daftar-arsip-microfilm-minister-der-besluiten-18971940-1586346404
102,Daftar Arsip Microfilm Indeks Folio dan Klapper 1890-1941,1890,https://anri.go.id//download/daftar-arsip-microfilm-indeks-folio-dan-klapper-18901941-1588059482
103,Daftar Arsip Tekstual Algemeene Secretarie Seri Toegangen 1887-1942,1887,https://anri.go.id//download/daftar-arsip-tekstual-algemeene-secretarie-seri-toegangen-18871942-1585906478
104,Daftar Arsip Microfische Indonesia Imprints 1885 - 1945,1885,https://anri.go.id//download/daftar-arsip-microfische-indonesia-imprints-1885-1945-1589115212
105,Daftar Arsip Tekstual Varia (1603-1874),1874,https://anri.go.id//download/daftar-arsip-tekstual-varia-16031874-1633328418
106,Daftar Arsip Tekstual Militaria (1740-1870),1870,https://anri.go.id//download/daftar-arsip-tekstual-militaria-17401870-1633328360
107,Daftar Arsip Tekstual Residensi Probolinggo 1855-1890,1855,https://anri.go.id//download/daftar-arsip-tekstual-residensi-probolinggo-18551890-1585913004
108,Daftar Arsip Microfilm Indeks Folio dan Klapper 1851-1890,1851,https://anri.go.id//download/daftar-arsip-microfilm-indeks-folio-dan-klapper-18511890-1589854268
109,Daftar Arsip Tekstual Reizen (1742-1838),1838,https://anri.go.id//download/daftar-arsip-tekstual-reizen-17421838-1633328382
