no,nama perusahaan,jenis perizinan,tautan detail
60,ADITYA BUMI PERTAMBANGAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/100?jp=1
61,ADITYA KIRANA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/101?jp=1
62,ADIWIGNYA ADARMA JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13388?jp=7
63,ADNIS GLOBAL MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11558?jp=1
64,ADRIANSYAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12290?jp=1
65,ADRIAN TRILANGGA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11468?jp=1
66,ADYATMA GIANDRA LOHJINAWI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13081?jp=7
67,AEGA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/106?jp=1
68,AERO MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/108?jp=1
69,AERO SARANA PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9977?jp=7
70,AEX DURAME,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11356?jp=1
71,AFIT LINTAS JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10852?jp=1
72,AGARO TRI NIAGA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14846?jp=7
73,AGINCOURT RESOURCES,KK,https://modi.esdm.go.id/portal/detailPerusahaan/119?jp=2
74,AGRABUDI GASUTAMA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/126?jp=1
75,AGRABUDI JASA BERSAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/127?jp=1
76,AGREGAT PRIMA TAMBANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10866?jp=1
77,AGRO MINING,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10346?jp=7
78,AGRO NUSANTARA SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13462?jp=7
79,AGTIKA DWI SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/143?jp=1
80,AGUNG BARA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/144?jp=1
81,AGUNG BARA SEJATI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10005?jp=1
82,AGUNG BARA SEJATI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10005?jp=7
83,AGUNG DWI SULISTYO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13338?jp=1
84,AGUNG KENCANA ABADI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15976?jp=7
85,AGUNG MANDIRI PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10169?jp=7
86,"AGUNG PANGESTU WIJAYA, FOENG",IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15152?jp=1
87,AGUNG PERDANA SAKTI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16045?jp=7
88,AGUNG PERKASA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11001?jp=1
89,AGUNG PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/154?jp=1
90,AGUNG PERSADA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/155?jp=1
91,AGUNG PRASETYO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15383?jp=1
92,AGUNG PRATAMA MINERAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13497?jp=7
93,AGUNG SANGUN JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8267?jp=1
94,AGUNG SARI PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11555?jp=1
95,AGUNG SATRYA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11122?jp=1
96,AGUS GUNAWIJAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14095?jp=1
97,AGUS HS,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14270?jp=1
98,AGUS NAWAWI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10709?jp=1
99,AGUS PRIYANTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12253?jp=1
100,AGUS SALIM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11440?jp=1
101,AGUS SALIM. SE,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11664?jp=1
102,AGUS SANTOSO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11502?jp=1
103,AGUS SUPRIADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13292?jp=1
104,AHIMKA DUTA PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15456?jp=1
105,AHMAD,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/174?jp=1
106,AHMAD ABDUL QODIR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11152?jp=1
107,AHMAD FATHONI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12271?jp=1
108,AHMAD FAUZI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14600?jp=1
109,Ahmad Sayadi,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14760?jp=1
110,AHMAD SUBANDI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13722?jp=1
111,AHMAD SUMITRO HASIBUAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12548?jp=1
112,AHMAD YAFI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12691?jp=1
113,Air Mata Alam,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15019?jp=1
114,AIR MATA EMAS,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/191?jp=1
115,AJI BAYU RAHARJO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13367?jp=1
116,AJI JAYA SAKTI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10740?jp=1
117,AJI PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/197?jp=1
118,AJI SUKSES MAKMUR,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13410?jp=7
119,AJI WATU GUNUNG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14110?jp=1
120,AKADA ANANTA SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14905?jp=7
121,AKAM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14920?jp=1
122,AKAR MAS INTERNATIONAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/201?jp=1
123,AKARNA MARINDO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/202?jp=1
124,AKAR PONDASI RIZKY,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13114?jp=1
125,AKAT SRIDA AMRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/203?jp=1
126,AKBAR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/204?jp=1
127,AKBAR (2),IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9533?jp=1
128,AKBAR MITRA JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/207?jp=1
129,"AKBAR TANJUNG, S.P",IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12707?jp=1
130,AKBAR TOMPO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14312?jp=1
131,AK ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10137?jp=7
132,AKHSA ENERGI INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14351?jp=1
133,ALAMANDA INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/270?jp=1
134,ALAM BAHTERA BARITO RAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/220?jp=1
135,ALAM BARAJO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14107?jp=1
136,ALAM BHANA LESTARI RESOURCES,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12656?jp=1
137,ALAM BUMI KARYA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/228?jp=1
138,ALAM BUMI KHATULISTIWA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13547?jp=1
139,ALAM CIPTA SENTOSA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11726?jp=7
140,ALAM DERAS TIARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10423?jp=7
141,ALAMINDO JAYA PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13476?jp=7
142,ALAM INTI REZEKI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15862?jp=7
143,ALAM JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14237?jp=1
144,ALAM JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13116?jp=1
145,ALAM JAYA BARAPRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/238?jp=1
146,ALAM JAYA INDAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/240?jp=1
147,ALAM KARYA GEMILANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9272?jp=1
148,ALAM MINERAL INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/247?jp=1
149,ALAM MITRA GLOBALINDO,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13256?jp=7
150,ALAM MITRA INDAH NUGRAHA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/249?jp=1
151,ALAM MITRA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/250?jp=1
152,AL AMOUDI NATURAL RESOURCES TRADMIN,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10343?jp=7
153,ALAM PERMAI ARTHA UTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/255?jp=7
154,ALAM PERMAI MAKMUR RAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12669?jp=1
155,ALAM PERMATA BATANGHARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12053?jp=1
156,ALAM PERSADA NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/258?jp=1
157,ALAM RAYA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/259?jp=1
158,ALAM RAYA INDAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/260?jp=1
159,ALAM SANGKARA GEMILANG,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15753?jp=7
160,ALAM SEMESTA SUKSES BATU BARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11325?jp=1
161,ALAM SUBUR INDAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/265?jp=1
162,ALAM SULTRA PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14792?jp=7
163,ALAM SUTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/267?jp=1
164,ALASKA DWIPA PERDANA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/275?jp=1
