no,nama perusahaan,jenis perizinan,tautan detail
1802,DINATA PILAR ALAM,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11224?jp=7
1803,DINI MURNI ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12330?jp=1
1804,DIO PUTRA KARYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11845?jp=1
1805,DIPAYANA OKTA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15412?jp=1
1806,DIPO RESOURCES INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13269?jp=7
1807,DIRAR DUAGE ENERGI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2343?jp=1
1808,DIRLAN BERKAH PRATAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13360?jp=7
1809,Dito Reynaldi Dwi Hardono,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14857?jp=1
1810,DIVA ENERGI INVESTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15975?jp=7
1811,DIVA ENERGI NUSANTARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13166?jp=7
1812,DIVA KENCANA BORNEO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2349?jp=1
1813,DIZAMATRA POWERINDO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2350?jp=1
1814,DJAN RESOURCES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10398?jp=7
1815,DJAVA ENERGI TRADABARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14409?jp=7
1816,DJAVU SUKSES MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14204?jp=7
1817,DJOJO SOEPARTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10904?jp=1
1818,DNR INTERNATIONAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10291?jp=7
1819,DONI ARPEN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12909?jp=1
1820,DONY SAPUTRA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12217?jp=1
1821,DOTY NAINABAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2374?jp=1
1822,DRAGON FLY MINERAL INDUSTRY,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9681?jp=7
1823,D RATNA DEWI W.,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12511?jp=1
1824,DRIDJI KENTJANA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2380?jp=1
1825,DRILLINDO PERKASA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10836?jp=1
1826,DR. LIET INGAI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12878?jp=1
1827,"DRS. EC. H. GUNTUR, H.A.A",IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13904?jp=1
1828,DRS. H. A. ANWAR AKSA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11529?jp=1
1829,DRS. H. MOHD. ASRIE HAMZAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14031?jp=1
1830,DRS. H. PARADUAN SIREGAR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12554?jp=1
1831,DRS. IKHWAN NURYADIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12005?jp=1
1832,DRS.M.AMIN  THOHARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2395?jp=1
1833,DRS. MARSIS AK,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13341?jp=1
1834,DRS. MUCHSON,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13005?jp=1
1835,DRS. SOEGIATMO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12430?jp=1
1836,DUA BERLIAN MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9931?jp=7
1837,DUA BINTANG KREASINDO,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13352?jp=7
1838,DUA DELAPAN MINERALS,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9671?jp=7
1839,DUA KOTA LAUT,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13233?jp=7
1840,Dua Mitra Sejati,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13813?jp=1
1841,DUA RAJAWALI PROENERGI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2400?jp=1
1842,DUA SAHABAT JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2401?jp=1
1843,DUA SATU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2402?jp=1
1844,DUA SEKAWAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2404?jp=1
1845,DUA SULTAN MINERAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16294?jp=7
1846,DUHUP LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2410?jp=1
1847,DUMA MENTARI GEMILANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13810?jp=1
1848,DUMILAH BUMI MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14497?jp=1
1849,DUMIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14178?jp=1
1850,DUNIA BARU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2414?jp=1
1851,DUNIA MAS,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13471?jp=1
1852,DUNIA SARANA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11698?jp=1
1853,DUNIA USAHA MAJU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2418?jp=1
1854,DUO PANDAWA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11354?jp=1
1855,DU-QINTHARI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9915?jp=7
1856,DUTA ALAM EKAPRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2421?jp=1
1857,DUTA ALAM JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2422?jp=1
1858,DUTA ALAM SUMATERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2423?jp=1
1859,DUTA BARA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2424?jp=1
1860,DUTA BIKA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13465?jp=1
1861,DUTA BORNEO PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2426?jp=1
1862,DUTA BUANA MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9993?jp=7
1863,DUTA BUANA MITRA INVESTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15085?jp=7
1864,DUTA DAYA TAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11352?jp=1
1865,DUTADHARMA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2458?jp=1
1866,DUTA ENERGY INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2430?jp=1
1867,DUTA ENERGY MINERATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2431?jp=1
1868,DUTA ENERGY TRANSPORTER,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2432?jp=1
1869,DUTA GEMILANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2433?jp=1
1870,DUTA HARAPAN MAS,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14334?jp=7
1871,DUTA INDAH MANGANINDO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8497?jp=1
1872,DUTA LIMAS,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12863?jp=1
1873,DUTA MEGAH PESONA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15688?jp=7
1874,DUTAM MINERAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2459?jp=1
1875,DUTA NURCAHYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2446?jp=1
1876,DUTA NUSA GEMILANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9483?jp=1
1877,DUTA PASIR SEMERU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15055?jp=1
1878,DUTAPRIMA EKASARANA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12864?jp=1
1879,DUTA RAKSA SUMBER ARTHA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12090?jp=1
1880,DUTA REKA BUMI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16501?jp=7
1881,DUTA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2452?jp=1
1882,DUTA TAMBANG GUNUNG PERKASA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2454?jp=1
1883,DUTA TAMBANG REKAYASA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2455?jp=1
1884,DUTA TAMBANG SUMBER ALAM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2456?jp=1
1885,DUTA TIGA BERSAUDARA SUKSES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14308?jp=7
1886,DUTA UTAMA KAHURIPAN,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11366?jp=7
1887,DWI BANUNTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11872?jp=1
1888,DWI BUDI PRANATA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12788?jp=1
1889,DWI CAKRA INDOTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13201?jp=7
1890,DWI GHITA KARYA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2466?jp=1
1891,DWI INDO CIPTA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14725?jp=1
1892,DWI ISTANTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12725?jp=1
1893,DWI JOYO UTOMO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13893?jp=1
1894,DWI KARYA JAYA PERKASA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13090?jp=7
1895,DWI KARYA UTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13439?jp=7
1896,DWIMITRA ENGGANG KHATULISTIWA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2478?jp=1
1897,DWIMITRA MULTIGUNA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2479?jp=1
1898,DWINAD NUSA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2480?jp=1
1899,DWI PERMATA KUARRY,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11062?jp=1
1900,DWI PRABOWO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15197?jp=1
1901,DWI PUTRANTO HERMAWAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13048?jp=1
1902,DWI SAKTI PUTRA FERINA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16031?jp=7
1903,DWI SAPUTRO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11923?jp=1
1904,DYLSOCN INDO PRATAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13873?jp=7
1905,ECKRIEL UTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9630?jp=7
1906,ECOMAS JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10217?jp=7
1907,EDI SUSANTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11567?jp=1
1908,EDI SUSWANTORO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13339?jp=1
1909,EDO JULIAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14161?jp=1
1910,EDY BINTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11743?jp=1
1911,EFATA ANEKA USAHA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13777?jp=7
1912,EFRATA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13153?jp=1
1913,EGI PRIMA DAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14373?jp=7
1914,EITU SUKSES BERSAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9904?jp=7
1915,EKA BIMA PAMULA SAKTI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14530?jp=7
1916,EKA ENERGY MENTARI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13229?jp=7
1917,EKA MINERAL INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13933?jp=7
1918,EKA PANCA REKSA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2516?jp=1
1919,EKA PRAYA JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2517?jp=1
1920,EKA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14362?jp=1
1921,EKASA YAD ENERGY,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10141?jp=7
1922,EKASA YAD RESOURCES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9646?jp=7
1923,EKA SETIYA ADIWIDODO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11552?jp=1
1924,EKA TAMBANG UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2521?jp=1
1925,EKINOMA CITRA NUSANTARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16293?jp=7
1926,EKO PRAYITNO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13627?jp=1
1927,ELANG BERKAH SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10420?jp=7
1928,ELANG GAGAH PERKASA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16074?jp=7
1929,ELANG MANDIRI PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13200?jp=7
1930,ELANG PERKASA MINING,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2537?jp=1
1931,ELECTRA GLOBAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2539?jp=1
1932,ELEKTRIKAL DAYA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13647?jp=1
1933,ELGA ASTA JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2540?jp=1
1934,ELGARY RESOURCES INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2542?jp=1
1935,ELIAN INDO KALTENG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9154?jp=1
1936,ELI SISWONDO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11126?jp=1
1937,ELIT KHARISMA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2548?jp=1
1938,ELLY MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14347?jp=7
1939,ELOK INDAH SUBUR JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2552?jp=1
1940,ELOK & SON,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8509?jp=1
1941,ELSADAY MULIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2554?jp=1
1942,ELS ENERGY INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10044?jp=7
1943,ELYON COAL TEBO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10808?jp=1
1944,ELYON INTI COALINDO,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10349?jp=7
1945,ELYSKA INDO PLANTATION,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14592?jp=1
1946,EMAS MINERAL MURNI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2560?jp=1
1947,EMBUN PAGI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2561?jp=1
1948,EMPAT LIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10669?jp=1
1949,EMPAT PILAR ANUGERAH SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10790?jp=1
1950,EMPAT SAMITRA ARTHA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/12065?jp=7
1951,EMPORIUM BUKIT MARMER,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13906?jp=1
1952,ENAM BELAS BARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11462?jp=7
1953,ENAM BELAS ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13203?jp=7
1954,ENAM SEMBILAN NIAGA NIKEL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14060?jp=7
1955,ENDANG JAENUDIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12512?jp=1
1956,ENERGATAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10235?jp=7
1957,ENERGEN PACIFIC,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14960?jp=7
1958,ENERGI ALAM JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13074?jp=7
1959,ENERGI AMZAL BERSAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2576?jp=1
1960,ENERGI BARA BERSINAR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2577?jp=1
1961,ENERGI BARA LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2579?jp=1
1962,ENERGI BATUBARA LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2582?jp=1
1963,ENERGI BATUBARA PERKASA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10059?jp=7
1964,ENERGI BATU HITAM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2581?jp=1
1965,ENERGI BEBARA SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11380?jp=1
1966,ENERGI BUMI JAYA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9346?jp=1
1967,ENERGI BUMI TAPIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2586?jp=1
1968,ENERGI BUMMI KHATULISTIWA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14006?jp=7
1969,ENERGI CITA HARAPAN,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13657?jp=7
1970,ENERGI GLOBAL INDOBARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13961?jp=7
1971,ENERGI INTI BARA PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2588?jp=1
1972,ENERGI LAMANDAU MINING,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2590?jp=1
1973,ENERGI LINTAS ASIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15010?jp=7
1974,ENERGI LINTAS SAMUDRA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10000?jp=7
1975,ENERGI LINTAS SEMESTA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10238?jp=7
1976,ENERGI MASA DEPAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13707?jp=1
1977,ENERGI MINERAL SUKSES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10348?jp=7
1978,ENERGI NUSA MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10438?jp=7
1979,ENERGI PRIMER TEBO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9322?jp=1
1980,ENERGI SEMESTA INTERNASIONAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13608?jp=7
1981,ENERGI SINAR BARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13271?jp=7
1982,ENERGI SINGKEP BERTUAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12816?jp=1
1983,ENERGI SUKSES ANDALAN,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10368?jp=7
1984,ENERGI SWA DINAMIKA MUDA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2597?jp=1
1985,ENERGITAMA BUMI ARUM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2598?jp=1
1986,ENERGI TUJUHRIBU,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9983?jp=7
1987,ENERGY CAHAYA INDUSTRITAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2600?jp=1
1988,ENERGY METAL INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14014?jp=7
1989,ENERGY PERSADA KHATULISTIWA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2593?jp=1
1990,ENERGY PERSADA NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2594?jp=1
1991,ENERGY PURI TUJUH,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9950?jp=7
1992,ENERGY UTAMA ALAM MULIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9956?jp=7
1993,ENERSTEEL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8515?jp=1
1994,ENGKAR KARNAWI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2606?jp=1
1995,ENIMAX POWER ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10025?jp=7
1996,ENSBURY KALTENG MINING,KK,https://modi.esdm.go.id/portal/detailPerusahaan/2612?jp=2
1997,ERABARA PERSADA NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2622?jp=1
1998,ERA ENERGI MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2617?jp=1
1999,ERA KARYA MULYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14727?jp=7
2000,ERA PERKASA MINING,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2620?jp=1
2001,ERASAKTI WIRAFORESTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14416?jp=7
2002,ERIC ASTRAWINATA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14349?jp=1
2003,ERLIANTI PERMATA TOP INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2629?jp=1
2004,ERNA KURNIAWATI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10690?jp=1
2005,ERSINDO BETON ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11879?jp=1
2006,ERSINDO MULIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11954?jp=1
2007,ERWIN LIM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12060?jp=1
2008,ERWIN ROZALI & SISWANTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13697?jp=1
2009,ERWIN SYAHPUTRA RITONGA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12555?jp=1
2010,ERY SETIAWAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13348?jp=1
2011,ERZA MUSTIKA MANDIRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15721?jp=7
2012,ESA GEMILANG INSANI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13242?jp=7
2013,ESA HARAPAN BARU,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13390?jp=7
2014,ESA JAYA LABDAGATI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14537?jp=7
2015,ESA YASA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12972?jp=1
2016,ESTAMO MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2643?jp=1
2017,ESTETIKA KARYA UTAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15230?jp=1
2018,ESTONA ONIX,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12824?jp=1
2019,ETAM MANUNGGAL JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2645?jp=1
2020,ETERNAL RICHWAY,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2647?jp=1
2021,ETERNUM SINAR AGUNG,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14609?jp=7
2022,ETIKA REALTINDO,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16270?jp=7
2023,ETIKA SUMBER ALAM,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10211?jp=7
2024,EUNINDO USAHA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2649?jp=1
2025,EVERCHEM RESOURCES INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13490?jp=7
2026,EXA ENERGI NIAGA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9955?jp=7
2027,EXPERTINDO SOLUSI PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2655?jp=1
2028,F2 PUTRA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15676?jp=1
2029,FABRIK KOMPONEN INDUSTRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2659?jp=1
2030,FADLAN MULIA JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2663?jp=1
2031,FAHRURROZIE,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12746?jp=1
2032,FAJAR ANEKA PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13624?jp=1
2033,FAJAR BHAKTI LINTAS NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2667?jp=1
2034,FAJAR CEMERLANG INDOMULYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2670?jp=1
2035,FAJAR INTI MARMER,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12780?jp=1
2036,FAJAR SAKTI PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2674?jp=1
2037,FAJAR SEMEN BARRU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2675?jp=1
2038,FAJAR TIMUR SENTOSA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13971?jp=7
2039,FALAH RAHMAT INTERNUSA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12990?jp=1
2040,FALUTRA MITRA BERSAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10374?jp=7
2041,FAMILY GROUP,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2684?jp=1
2042,FAMINDO BUMI KHATULISWA MINING,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2685?jp=1
2043,FAMINGLEVTO BAKTIABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2687?jp=1
2044,FARHAN FADILLAH LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2692?jp=1
2045,FARIEZ HASAN AZARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11087?jp=1
2046,FARINDO AGUNG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2696?jp=1
2047,FARINDO BERSAUDARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2697?jp=1
2048,FARIS MOTOR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/2698?jp=1
2049,FATHAN BUMI SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14231?jp=7
2050,FATHUL JAYA PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12970?jp=1
