no,tautan,gambar,tipe,judul,lokasi,harga
6286,https://infolelang.bri.co.id/home/detailAsset?id_aset=LQM7J&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/09/RMHSUROSO1_20200928082751.JPG,jual_damai,RUMAH MURAH DAERAH BANDUNG,"CIMAUNG, BANDUNG KAB.",IDR 552.500.000
6287,https://infolelang.bri.co.id/home/detailAsset?id_aset=2Z6LW&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/08/IMG20200526WA0020_20200826171830.jpg,jual_damai,JUAL TOKO DAN RUMAH TINGGAL DAERAH BANDUNG,"CILEUNYI, BANDUNG KAB.",IDR 600.000.000
6288,https://infolelang.bri.co.id/home/detailAsset?id_aset=98W76&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/20210810_124808_20211123102827.jpg,lelang,Rumah Tinggal,"PONDOK AREN, TANGERANG KAB.",IDR 1.421.000.000
6289,https://infolelang.bri.co.id/home/detailAsset?id_aset=I3ZFT&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/20210506_100620_20211123104259.jpg,lelang,Rumah Tinggal,"PONDOK AREN, TANGERANG KAB.",IDR 2.388.000.000
6290,https://infolelang.bri.co.id/home/detailAsset?id_aset=V4EN3&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/tampakdepan_20211123114151.JPG,lelang,Rumah Tinggal,"KELAPA GADING, JAKARTA UTARA",IDR 3.403.000.000
6291,https://infolelang.bri.co.id/home/detailAsset?id_aset=WBMOK&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/TampakDepan_20211123130001.JPG,lelang,Rumah Tinggal,"TANGERANG, TANGERANG KOT.",IDR 1.940.000.000
6292,https://infolelang.bri.co.id/home/detailAsset?id_aset=HROF8&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20210915WA00291_20211123131241.jpg,lelang,Rumah Tinggal,"JATIASIH, BEKASI KAB.",IDR 302.400.000
6293,https://infolelang.bri.co.id/home/detailAsset?id_aset=FEA42&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/depanmujahidin_20211123133233.JPG,lelang,Rumah Tinggal,"CAKUNG, JAKARTA TIMUR",IDR 1.530.000.000
6294,https://infolelang.bri.co.id/home/detailAsset?id_aset=OABC7&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/DepanAwesom_20211123134415.JPG,lelang,Rumah Tinggal,"GUNUNG PUTRI, BOGOR KAB.",IDR 632.500.000
6295,https://infolelang.bri.co.id/home/detailAsset?id_aset=AQLDM&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Veto_20211125182017.jpg,jual_damai,SHM 384,"PENDOPO LINTANG, LAHAT KAB.",IDR 263.000.000
6296,https://infolelang.bri.co.id/home/detailAsset?id_aset=AN89V&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/AriAntoni2_20211125203149.jpg,jual_damai,TANAH DAN BANGUNAN,"TEBINGTINGGI, LAHAT KAB.",IDR 194.000.000
6297,https://infolelang.bri.co.id/home/detailAsset?id_aset=WYIF6&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Sutikno8094_20211125204828.jpg,jual_damai,TANAH DAN BANGUNAN,"PAGARALAM SELATAN, LAHAT KAB.",IDR 272.000.000
6298,https://infolelang.bri.co.id/home/detailAsset?id_aset=5XC6F&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/AliBurza4_20211125210004.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 216.000.000
6299,https://infolelang.bri.co.id/home/detailAsset?id_aset=DHCBR&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Asmir4_20211125210837.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 417.000.000
6300,https://infolelang.bri.co.id/home/detailAsset?id_aset=DKLTO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/AsmirToko_20211125211152.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 400.000.000
6301,https://infolelang.bri.co.id/home/detailAsset?id_aset=T9FDN&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/CecepIbrahim_20211125211810.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 216.000.000
6302,https://infolelang.bri.co.id/home/detailAsset?id_aset=3JTK9&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/EfrizalNoveri1_20211125212217.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 270.000.000
6303,https://infolelang.bri.co.id/home/detailAsset?id_aset=JUIZD&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Pahrolrozi2_20211125212732.jpg,jual_damai,TANAH DAN BANGUNAN,"TANJUNGSAKTI, LAHAT KAB.",IDR 220.000.000
6304,https://infolelang.bri.co.id/home/detailAsset?id_aset=M2CJS&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Junainimabok2_20211125213650.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 300.000.000
6305,https://infolelang.bri.co.id/home/detailAsset?id_aset=NSX6G&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Sukarjo4_20211125220228.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 300.000.000
6306,https://infolelang.bri.co.id/home/detailAsset?id_aset=D1HIP&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Hidayati_20211125221534.jpg,jual_damai,TANAH DAN BANGUNAN,"PAGARALAM UTARA, LAHAT KAB.",IDR 205.000.000
6307,https://infolelang.bri.co.id/home/detailAsset?id_aset=STZVO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/MaryatiDepan_20211126084530.jpg,jual_damai,TANAH DAN BANGUNAN,"PAGARALAM SELATAN, LAHAT KAB.",IDR 250.000.000
6308,https://infolelang.bri.co.id/home/detailAsset?id_aset=41UV6&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Herlianto1_20211126085314.jpg,jual_damai,TANAH DAN BANGUNAN,"JARAI, LAHAT KAB.",IDR 400.000.000
6309,https://infolelang.bri.co.id/home/detailAsset?id_aset=FHCBS&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Zuhairi3_20211126085708.jpg,jual_damai,TANAH DAN BANGUNAN,"PENDOPO LINTANG, LAHAT KAB.",IDR 700.000.000
6310,https://infolelang.bri.co.id/home/detailAsset?id_aset=8WE2S&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/JhonsiH2_20211126090148.jpg,jual_damai,TANAH DAN BANGUNAN,"PAGARALAM SELATAN, LAHAT KAB.",IDR 605.000.000
6311,https://infolelang.bri.co.id/home/detailAsset?id_aset=RLM2X&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20210215WA0003_20211126101047.jpg,lelang,Rumah Tinggal,"CIRACAS, JAKARTA TIMUR",IDR 2.150.000.000
6312,https://infolelang.bri.co.id/home/detailAsset?id_aset=GTOBZ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Tampakdepan_20211126103357.jpg,lelang,Rumah Tinggal,"CIMANGGIS, DEPOK KOT.",IDR 1.850.000.000
6313,https://infolelang.bri.co.id/home/detailAsset?id_aset=9OFL5&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20200918WA0002_20211126104933.jpg,lelang,Kantor Atau Gudang,"KRAMATJATI, JAKARTA TIMUR",IDR 2.925.000.000
6314,https://infolelang.bri.co.id/home/detailAsset?id_aset=MGB9Q&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/PHOTO2020012108413952_20211126112226.jpg,lelang,Apartemen Sunter Icon,"TANJUNG PRIOK, JAKARTA UTARA",IDR 300.000.000
6315,https://infolelang.bri.co.id/home/detailAsset?id_aset=U5QCO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/TampakDepan_20211126112418.jpg,lelang,Rumah Tinggal,"TAMBUN, BEKASI KAB.",IDR 200.000.000
6316,https://infolelang.bri.co.id/home/detailAsset?id_aset=EQ1NO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/3b4db35f16c642f88c3ca69c81d9e2_20211126113219.JPG,lelang,Tanah dan Bangunan Jl. Raya Villa Bekasi Tambun,"TAMBUN, BEKASI KAB.",IDR 1.700.000.000
6317,https://infolelang.bri.co.id/home/detailAsset?id_aset=BED9P&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/TampakDepan_20211126113323.jpg,lelang,Rumah Tinggal,"CIBITUNG, BEKASI KAB.",IDR 150.000.000
6318,https://infolelang.bri.co.id/home/detailAsset?id_aset=SPEKL&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/TampakDepan_20211126160419.jpg,lelang,Rumah Tinggal,"MATRAMAN, JAKARTA TIMUR",IDR 900.000.000
